batch,time_s,timestamp_epoch_s,acq_seconds,peak_01,peak_01_ref,peak_01_freq_mhz,peak_01_spike_sig,peak_01_spike_ref,peak_02,peak_02_ref,peak_02_freq_mhz,peak_02_spike_sig,peak_02_spike_ref,peak_03,peak_03_ref,peak_03_freq_mhz,peak_03_spike_sig,peak_03_spike_ref,peak_04,peak_04_ref,peak_04_freq_mhz,peak_04_spike_sig,peak_04_spike_ref,peak_05,peak_05_ref,peak_05_freq_mhz,peak_05_spike_sig,peak_05_spike_ref,peak_06,peak_06_ref,peak_06_freq_mhz,peak_06_spike_sig,peak_06_spike_ref,peak_07,peak_07_ref,peak_07_freq_mhz,peak_07_spike_sig,peak_07_spike_ref,peak_08,peak_08_ref,peak_08_freq_mhz,peak_08_spike_sig,peak_08_spike_ref,peak_09,peak_09_ref,peak_09_freq_mhz,peak_09_spike_sig,peak_09_spike_ref,peak_10,peak_10_ref,peak_10_freq_mhz,peak_10_spike_sig,peak_10_spike_ref,peak_11,peak_11_ref,peak_11_freq_mhz,peak_11_spike_sig,peak_11_spike_ref,peak_12,peak_12_ref,peak_12_freq_mhz,peak_12_spike_sig,peak_12_spike_ref,peak_13,peak_13_ref,peak_13_freq_mhz,peak_13_spike_sig,peak_13_spike_ref,peak_14,peak_14_ref,peak_14_freq_mhz,peak_14_spike_sig,peak_14_spike_ref,peak_15,peak_15_ref,peak_15_freq_mhz,peak_15_spike_sig,peak_15_spike_ref,peak_16,peak_16_ref,peak_16_freq_mhz,peak_16_spike_sig,peak_16_spike_ref,delta_f_mhz_b01,f_new_mhz_b01,delta_f_mhz_b02,f_new_mhz_b02,delta_f_mhz_b03,f_new_mhz_b03,delta_f_mhz_b04,f_new_mhz_b04,delta_f_mhz_b05,f_new_mhz_b05,delta_f_mhz_b06,f_new_mhz_b06,delta_f_mhz_b07,f_new_mhz_b07,delta_f_mhz_b08,f_new_mhz_b08
0,0.011604750528931618,1782160259.232182,0.022553416900336742,7673.049289360271,7691.764747684692,2783.7188906487277,False,False,7685.67235535043,7704.193349023444,2789.999965667725,False,False,7693.037463703886,7707.1483173885135,2809.304011875775,False,False,7706.190180945686,7722.978642601706,2815.999955749512,False,False,7721.07580157105,7731.90298468686,2831.5480992912067,False,False,7734.032984381209,7740.693098389214,2841.064850982016,False,False,7732.206423266191,7738.693411682,2857.494637762509,False,False,7738.029061344256,7743.038689366384,2863.9999374389654,False,False,7746.222931503498,7750.167918818964,2883.4227843082444,False,False,7748.201872115414,7753.002902160954,2897.246322378631,False,False,7742.711755356542,7736.564040101477,2908.170712382221,False,False,7730.210803252133,7733.8875370602445,2918.007295656395,False,False,7706.666094079529,7707.689077543784,2930.9999118804935,False,False,7700.810034538619,7707.566309563836,2937.331413253914,False,False,7680.151781948222,7696.046098358651,2952.99990348816,False,False,7679.517073692577,7699.566775682368,2959.3247911153,False,False,-0.0068185427291395165,2786.509187066934,0.07119385999041845,2812.265761594774,-0.36683042700282037,2835.357541875927,-0.15174359522867595,2860.021153823502,-0.8669195078238513,2888.570194212379,0.7560551813053551,2913.324426193004,0.17147634807751178,2933.952431895013,0.12597243493895807,2955.959582586481
1,0.09213281259872019,1782160259.306956,0.011048624757677317,7676.067072164318,7691.764747684692,2783.7188906487277,False,False,7685.67235535043,7704.193349023444,2789.999965667725,False,False,7693.037463703886,7707.1483173885135,2809.304011875775,False,False,7706.190180945686,7722.978642601706,2815.999955749512,False,False,7721.07580157105,7731.90298468686,2831.5480992912067,False,False,7734.032984381209,7740.693098389214,2841.064850982016,False,False,7732.206423266191,7738.693411682,2857.494637762509,False,False,7738.029061344256,7743.038689366384,2863.9999374389654,False,False,7746.222931503498,7750.167918818964,2883.4227843082444,False,False,7748.201872115414,7753.002902160954,2897.246322378631,False,False,7742.711755356542,7736.564040101477,2908.170712382221,False,False,7730.210803252133,7733.8875370602445,2918.007295656395,False,False,7706.666094079529,7707.689077543784,2930.9999118804935,False,False,7700.810034538619,7707.566309563836,2937.331413253914,False,False,7680.151781948222,7696.046098358651,2952.99990348816,False,False,7679.517073692577,7699.566775682368,2959.3247911153,False,False,0.08490200780811663,2786.600907617471,0.07119385999041845,2812.265761594774,-0.36683042700282037,2835.357541875927,-0.15174359522867595,2860.021153823502,-0.8669195078238513,2888.570194212379,0.7560551813053551,2913.324426193004,0.17147634807751178,2933.952431895013,0.12597243493895807,2955.959582586481
2,0.16461545904166996,1782160259.3793302,0.010837249923497438,7672.081280374116,7699.379409786961,2783.7188906487277,False,False,7680.9120869884155,7703.271177063912,2789.999965667725,False,False,7682.1435079622215,7704.456109973408,2809.304011875775,False,False,7700.428356817557,7715.305565913744,2815.999955749512,False,False,7716.623116422654,7730.049376470948,2831.5480992912067,False,False,7729.045364795061,7737.798399914417,2841.064850982016,False,False,7727.634410245437,7735.802468135832,2857.494637762509,False,False,7734.464093590488,7740.582495338815,2863.9999374389654,False,False,7741.702944952165,7749.1784103065675,2883.4227843082444,False,False,7746.497780970138,7755.928755692759,2897.246322378631,False,False,7743.554632148424,7746.653369807745,2908.170712382221,False,False,7738.813091053581,7746.168034966531,2918.007295656395,False,False,7703.777358865421,7716.04968976373,2930.9999118804935,False,False,7702.233303787022,7718.393796802887,2937.331413253914,False,False,7681.266687043433,7701.182605373355,2952.99990348816,False,False,7676.955243451417,7701.514406883272,2959.3247911153,False,False,-0.15030850895020123,2786.3656971007126,-0.2009042630268021,2811.9936634717574,-0.3986323582401855,2835.3257399446893,-0.2105917604743438,2859.9623056582564,-0.6975674891166264,2888.7395462310865,0.2560406630447445,2912.8244116747433,0.11601577038889029,2933.896971317324,0.14094714824549975,2955.9745572997876
3,0.23538922960869968,1782160259.449835,0.010299791116267443,7671.0834413301955,7696.615964177645,2783.7188906487277,False,False,7680.224383348106,7705.105740135097,2789.999965667725,False,False,7682.441897178837,7703.636221230552,2809.304011875775,False,False,7697.640870189809,7720.390922150563,2815.999955749512,False,False,7720.083695020937,7732.281538649632,2831.5480992912067,False,False,7733.358778310969,7743.562187853409,2841.064850982016,False,False,7725.850773298285,7733.495106519546,2857.494637762509,False,False,7730.239569642693,7737.803556255158,2863.9999374389654,False,False,7740.092248678057,7749.4148913408935,2883.4227843082444,False,False,7749.038949170157,7756.548754470154,2897.246322378631,False,False,7741.293316930036,7744.96110126234,2908.170712382221,False,False,7737.659681511141,7746.7516887245165,2918.007295656395,False,False,7704.426487758657,7713.263083412292,2930.9999118804935,False,False,7701.899359660116,7718.386413790996,2937.331413253914,False,False,7681.116581593667,7702.678861142526,2952.99990348816,False,False,7677.140619555583,7707.390500351498,2959.3247911153,False,False,-0.020611363468333584,2786.4953942461943,0.04059184867648689,2812.2351595834602,-0.23139783466052458,2835.492974468269,-0.00867453521399733,2860.1642228835167,-1.2811681599150126,2888.155945560288,0.36054625423944076,2912.9289172659383,0.22831994823819896,2934.0092754951734,0.26316234976336067,2956.096772501305
4,0.3297786875627935,1782160259.5444171,0.010680625215172768,7703.063060488431,7671.303131399577,2783.7188906487277,False,False,7699.922043585902,7680.814276981386,2789.999965667725,False,False,7705.532854479323,7685.036111196014,2809.304011875775,False,False,7702.662692178378,7699.969549469693,2815.999955749512,False,False,7718.72490295565,7718.2233105113555,2831.5480992912067,False,False,7730.636381697588,7732.02412048782,2841.064850982016,False,False,7745.415837332273,7729.205012684538,2857.494637762509,False,False,7736.8310327964045,7734.950651037687,2863.9999374389654,False,False,7743.146506403398,7744.398428951308,2883.4227843082444,False,False,7752.827282452547,7750.095525262096,2897.246322378631,False,False,7756.561839410705,7743.191010789499,2908.170712382221,False,False,7745.361203655591,7738.86678638017,2918.007295656395,False,False,7746.546728000733,7702.071927438335,2930.9999118804935,False,False,7714.947965889293,7700.995898156922,2937.331413253914,False,False,7719.017030901367,7679.808454320383,2952.99990348816,False,False,7702.264801173701,7675.570845432038,2959.3247911153,False,False,0.3862884378695042,2786.9022940475325,0.48105672811253236,2812.6756244628964,0.012482159331111825,2835.736854462261,1.4710689262727452,2861.6439663450037,-1.6164939537686422,2887.8206197664344,0.4906632394425242,2913.0590342511414,0.9134911400899169,2934.694446687025,0.38058060589294873,2956.214190757435
5,0.3968792506493628,1782160259.613638,0.014920417219400406,7671.952148730018,7694.171212213834,2783.7188906487277,False,False,7684.198367821009,7700.719783293089,2789.999965667725,False,False,7688.142415258122,7700.999122780207,2809.304011875775,False,False,7703.571235137696,7718.0440917565775,2815.999955749512,False,False,7718.007025399638,7728.427905981601,2831.5480992912067,False,False,7731.697223156158,7740.5183604853755,2841.064850982016,False,False,7729.86492954733,7734.357214903566,2857.494637762509,False,False,7735.169676315066,7741.458034049577,2863.9999374389654,False,False,7741.908348870618,7748.820657456368,2883.4227843082444,False,False,7747.393506433965,7747.381807622948,2897.246322378631,False,False,7737.801924076169,7739.855970901978,2908.170712382221,False,False,7736.351367790446,7736.917007977504,2918.007295656395,False,False,7704.75991227802,7709.08994865055,2930.9999118804935,False,False,7704.123848457988,7717.741059693738,2937.331413253914,False,False,7682.576666564784,7697.8137329217225,2952.99990348816,False,False,7678.606449246569,7702.365152672923,2959.3247911153,False,False,-0.17354336873063136,2786.3424622409325,0.042703766502103384,2812.237271501286,-0.20669631579800637,2835.5176759871315,0.18364054067991065,2860.3565379594106,-2.0720042596612074,2887.3651094605416,-0.25869136206380405,2912.3096796496347,0.27725690163356576,2934.058212448569,0.2584226831286437,2956.0920328346706
6,0.4666777716483921,1782160259.6812081,0.010466125328093767,7673.522390500351,7694.171212213834,2783.7188906487277,False,False,7684.198367821009,7700.719783293089,2789.999965667725,False,False,7688.142415258122,7700.999122780207,2809.304011875775,False,False,7703.571235137696,7718.0440917565775,2815.999955749512,False,False,7718.007025399638,7728.427905981601,2831.5480992912067,False,False,7731.697223156158,7740.5183604853755,2841.064850982016,False,False,7729.86492954733,7734.357214903566,2857.494637762509,False,False,7735.169676315066,7741.458034049577,2863.9999374389654,False,False,7741.908348870618,7748.820657456368,2883.4227843082444,False,False,7747.393506433965,7747.381807622948,2897.246322378631,False,False,7737.801924076169,7739.855970901978,2908.170712382221,False,False,7736.351367790446,7736.917007977504,2918.007295656395,False,False,7704.75991227802,7709.08994865055,2930.9999118804935,False,False,7704.123848457988,7717.741059693738,2937.331413253914,False,False,7682.576666564784,7697.8137329217225,2952.99990348816,False,False,7678.606449246569,7702.365152672923,2959.3247911153,False,False,-0.12583337647329526,2786.39017223319,0.042703766502103384,2812.237271501286,-0.20669631579800637,2835.5176759871315,0.18364054067991065,2860.3565379594106,-2.0720042596612074,2887.3651094605416,-0.25869136206380405,2912.3096796496347,0.27725690163356576,2934.058212448569,0.2584226831286437,2956.0920328346706
7,0.5356311879586428,1782160259.750304,0.01075345790013671,7675.70016963658,7700.69504386099,2783.7188906487277,False,False,7682.947822233089,7707.333184582938,2789.999965667725,False,False,7683.610048292937,7704.339581868754,2809.304011875775,False,False,7698.403336186081,7717.667241800899,2815.999955749512,False,False,7720.388146834979,7732.571718067059,2831.5480992912067,False,False,7732.158785952258,7742.905038664915,2841.064850982016,False,False,7729.427427637008,7734.322936088273,2857.494637762509,False,False,7731.462210777272,7738.902961762998,2863.9999374389654,False,False,7739.702834917627,7748.44761591833,2883.4227843082444,False,False,7747.31954488492,7756.596043341383,2897.246322378631,False,False,7743.287862579086,7744.863914784364,2908.170712382221,False,False,7740.150293425437,7743.850499740198,2918.007295656395,False,False,7704.33211021793,7714.211431365957,2930.9999118804935,False,False,7705.29122168903,7720.000403459975,2937.331413253914,False,False,7686.542982241648,7699.150660207231,2952.99990348816,False,False,7679.596564477183,7701.19804077391,2959.3247911153,False,False,-0.019141226008789248,2786.496864383654,-0.04038710485179812,2812.154180629932,-0.19651977887572059,2835.5278525240537,0.2606278050381906,2860.433525223769,-0.9183788361223783,2888.5187348840805,0.06510103165949924,2912.6334720433583,0.14400128367273077,2933.924956830608,0.27296942793474477,2956.1065795794766
8,0.6043959590606391,1782160259.8190389,0.010691000148653984,7673.14204694807,7700.69504386099,2783.7188906487277,False,False,7682.947822233089,7707.333184582938,2789.999965667725,False,False,7683.610048292937,7704.339581868754,2809.304011875775,False,False,7698.403336186081,7717.667241800899,2815.999955749512,False,False,7720.388146834979,7732.571718067059,2831.5480992912067,False,False,7732.158785952258,7742.905038664915,2841.064850982016,False,False,7729.427427637008,7734.322936088273,2857.494637762509,False,False,7731.462210777272,7738.902961762998,2863.9999374389654,False,False,7739.702834917627,7748.44761591833,2883.4227843082444,False,False,7747.31954488492,7756.596043341383,2897.246322378631,False,False,7743.287862579086,7744.863914784364,2908.170712382221,False,False,7740.150293425437,7743.850499740198,2918.007295656395,False,False,7704.33211021793,7714.211431365957,2930.9999118804935,False,False,7705.29122168903,7720.000403459975,2937.331413253914,False,False,7686.542982241648,7699.150660207231,2952.99990348816,False,False,7679.596564477183,7701.19804077391,2959.3247911153,False,False,-0.09680099790769843,2786.419204611755,-0.04038710485179812,2812.154180629932,-0.19651977887572059,2835.5278525240537,0.2606278050381906,2860.433525223769,-0.9183788361223783,2888.5187348840805,0.06510103165949924,2912.6334720433583,0.14400128367273077,2933.924956830608,0.27296942793474477,2956.1065795794766
9,0.6747449999675155,1782160259.889399,0.010715249925851822,7672.00440443806,7695.428193294007,2783.7188906487277,False,False,7683.162906134426,7701.381391936913,2789.999965667725,False,False,7686.015383439801,7704.68653299508,2809.304011875775,False,False,7700.258960173609,7717.982441849803,2815.999955749512,False,False,7718.0744460066635,7729.01801051441,2831.5480992912067,False,False,7731.531301769722,7740.59299905248,2841.064850982016,False,False,7730.761964727816,7736.958903628083,2857.494637762509,False,False,7734.788421921326,7743.281202432986,2863.9999374389654,False,False,7743.198988293548,7749.349813552588,2883.4227843082444,False,False,7747.163492985298,7752.222252957178,2897.246322378631,False,False,7739.868169453189,7745.662262738026,2908.170712382221,False,False,7739.052870067548,7746.868134303269,2918.007295656395,False,False,7701.91409206223,7711.351133967051,2930.9999118804935,False,False,7704.307881223828,7715.700294953695,2937.331413253914,False,False,7684.917310572486,7695.312657028457,2952.99990348816,False,False,7676.657563346273,7699.129787266558,2959.3247911153,False,False,-0.1585591444435678,2786.3574464652193,-0.026356021463271807,2812.1682117133205,-0.2243258134128415,2835.500046489517,0.23470580571264255,2860.4076032244434,-1.1687277871016144,2888.2683859331014,0.05570279914963623,2912.624073810848,0.058262148153398044,2933.839217695089,0.3666220914440155,2956.200232242986
