batch,sample,time_s,timestamp_epoch_s,acq_seconds,peak_01,peak_01_freq_mhz,peak_01_raw,peak_01_spike_sig,peak_02,peak_02_freq_mhz,peak_02_raw,peak_02_spike_sig,peak_03,peak_03_freq_mhz,peak_03_raw,peak_03_spike_sig,peak_04,peak_04_freq_mhz,peak_04_raw,peak_04_spike_sig,pk1_z_minus,pk1_z_plus,pk1_lockin_signal,pk1_delta_f_mhz,pk1_peak_shift_kHz,pk1_f0_mhz,pk1_f_new_mhz,pk1_B_shift_uT,pk2_z_minus,pk2_z_plus,pk2_lockin_signal,pk2_delta_f_mhz,pk2_peak_shift_kHz,pk2_f0_mhz,pk2_f_new_mhz,pk2_B_shift_uT,z_minus,z_plus,lockin_signal,delta_f_mhz,peak_shift_kHz,f_new_mhz,B_shift_uT
0,0,0.0084380415501073,1787090037.58553,0.01624658307991922,1790.0051025390626,2794.0895817609085,1790.0051025390626,False,1797.3279052734374,2800.0895794720896,1797.3279052734374,False,1789.6506483289934,2944.8173197317374,1789.6506483289934,False,1795.84755859375,2950.8173174429194,1795.84755859375,False,0.9478250879301886,0.9517025831036711,0.003877495173482459,-0.08234198968244319,-82.34198968244318,2797.1459848103937,2797.0636428207113,-2.93826683137465,0.9476374009831796,0.9509187251583213,0.003281324175141709,-0.022317163186296098,-22.3171631862961,2947.8450790264806,2947.822761863294,-0.7963589489828753,0.9478250879301886,0.9517025831036711,0.003877495173482459,-0.08234198968244319,-82.34198968244318,2797.0636428207113,-2.93826683137465
1,0,0.02486145857255906,1787090037.602025,0.016410832991823554,1795.246034071181,2794.0895817609085,1795.246034071181,False,1796.3435329861113,2800.0895794720896,1796.3435329861113,False,1790.0947238498266,2944.8173197317374,1790.0947238498266,False,1798.9698160807288,2950.8173174429194,1798.9698160807288,False,0.950600212081075,0.951181348416425,0.0005811363353499521,0.03862454702611118,38.62454702611118,2797.1459848103937,2797.18460935742,1.3782667365868961,0.9478725432847207,0.9525719908238429,0.004699447539122215,-0.07492896201813533,-74.92896201813532,2947.8450790264806,2947.7701500644625,-2.6737425784376008,0.950600212081075,0.951181348416425,0.0005811363353499521,0.03862454702611118,38.62454702611118,2797.18460935742,1.3782667365868961
2,0,0.041859500110149384,1787090037.61952,0.017413333989679813,1797.2205023871527,2794.0895817609085,1797.2205023871527,False,1796.0879123263887,2800.0895794720896,1796.0879123263887,False,1791.5528428819446,2944.8173197317374,1791.5528428819446,False,1801.6539469401043,2950.8173174429194,1801.6539469401043,False,0.9516457122321901,0.9510459947942846,-0.0005997174379054337,0.08195835815659422,81.95835815659422,2797.1459848103937,2797.22794316855,2.9245774392161796,0.9486446314747876,0.9539932641845698,0.005348632709782142,-0.09901346726703328,-99.01346726703328,2947.8450790264806,2947.7460655592135,-3.5331668308247672,0.9516457122321901,0.9510459947942846,-0.0005997174379054337,0.08195835815659422,81.95835815659422,2797.22794316855,2.9245774392161796
3,0,0.058823604485951364,1787090037.6359758,0.016377874882891774,1790.5642279730903,2794.0895817609085,1790.5642279730903,False,1786.1809814453122,2800.0895794720896,1786.1809814453122,False,1788.0385362413192,2944.8173197317374,1788.0385362413192,False,1797.837730577257,2950.8173174429194,1797.837730577257,False,0.9481211502782342,0.9458001786677522,-0.0023209716104819478,0.14512325199129858,145.1232519912986,2797.1459848103937,2797.291108062385,5.178534541510797,0.9467837719744769,0.9519725405539243,0.005188768579447389,-0.09308257318600568,-93.08257318600569,2947.8450790264806,2947.7519964532944,-3.321530587568002,0.9481211502782342,0.9458001786677522,-0.0023209716104819478,0.14512325199129858,145.1232519912986,2797.291108062385,5.178534541510797
4,0,0.0753021874697879,1787090037.6524642,0.016404791036620736,1790.6384548611109,2794.0895817609085,1790.6384548611109,False,1795.1255859375,2800.0895794720896,1795.1255859375,False,1790.5211642795136,2944.8173197317374,1790.5211642795136,False,1799.1155381944445,2950.8173174429194,1799.1155381944445,False,0.9481604541363993,0.9505364336243907,0.0023759794879913976,-0.027240842869699442,-27.240842869699442,2797.1459848103937,2797.118743967524,-0.9720540561554183,0.9480983476342121,0.9526491520984394,0.004550804464227287,-0.06941436452066019,-69.41436452066019,2947.8450790264806,2947.77566466196,-2.476961337448622,0.9481604541363993,0.9505364336243907,0.0023759794879913976,-0.027240842869699442,-27.240842869699442,2797.118743967524,-0.9720540561554183
5,0,0.09256631252355874,1787090037.670502,0.017964040860533714,1793.3974175347223,2794.0895817609085,1793.3974175347223,False,1787.813734266493,2800.0895794720896,1787.813734266493,False,1794.198139105903,2944.8173197317374,1794.198139105903,False,1801.7211046006942,2950.8173174429194,1801.7211046006942,False,0.9496213516695976,0.946664737145328,-0.0029566145242696518,0.1684494508792189,168.4494508792189,2797.1459848103937,2797.3144342612727,6.010899617442867,0.9500453415188642,0.9540288248181474,0.003983483299283219,-0.04836698051924104,-48.36698051924104,2947.8450790264806,2947.796712045961,-1.725912807566409,0.9496213516695976,0.946664737145328,-0.0029566145242696518,0.1684494508792189,168.4494508792189,2797.3144342612727,6.010899617442867
6,0,0.10985056252684444,1787090037.687028,0.016456709010526538,1797.389306640625,2794.0895817609085,1797.389306640625,False,1793.9843994140624,2800.0895794720896,1793.9843994140624,False,1793.3590657552081,2944.8173197317374,1793.3590657552081,False,1797.991921657986,2950.8173174429194,1797.991921657986,False,0.9517350957239821,0.9499321642760029,-0.0018029314479791614,0.12611272328035253,126.11272328035253,2797.1459848103937,2797.272097533674,4.500168544117632,0.949601044029838,0.9520541862288125,0.002453142198974523,0.008408050594796386,8.408050594796386,2947.8450790264806,2947.8534870770754,0.30003035236926867,0.9517350957239821,0.9499321642760029,-0.0018029314479791614,0.12611272328035253,126.11272328035253,2797.272097533674,4.500168544117632
7,0,0.1262243955861777,1787090037.703261,0.016158875077962875,1803.6073160807289,2794.0895817609085,1803.6073160807289,False,1805.8378390842013,2800.0895794720896,1805.8378390842013,False,1799.328125,2944.8173197317374,1799.328125,False,1810.1922064887153,2950.8173174429194,1810.1922064887153,False,0.9550275921174043,0.9562086757125838,0.001181083595179544,0.016608272162514055,16.608272162514055,2797.1459848103937,2797.162593082556,0.5926445961502304,0.9527617188768148,0.9585143555467975,0.005752636669982714,-0.11400184953419905,-114.00184953419905,2947.8450790264806,2947.731077176946,-4.06800776242503,0.9550275921174043,0.9562086757125838,0.001181083595179544,0.016608272162514055,16.608272162514055,2797.162593082556,0.5926445961502304
8,0,0.14306827099062502,1787090037.7207072,0.01736779185011983,1789.7439480251735,2794.0895817609085,1789.7439480251735,False,1789.3655571831598,2800.0895794720896,1789.3655571831598,False,1786.0320475260414,2944.8173197317374,1786.0320475260414,False,1794.797691514757,2950.8173174429194,1794.797691514757,False,0.9476868040785174,0.9474864424523997,-0.00020036162611769548,0.06730319109542426,67.30319109542427,2797.1459848103937,2797.213288001489,2.4016268589574743,0.9457213167109185,0.9503628103427434,0.004641493631824867,-0.07277889567715863,-72.77889567715863,2947.8450790264806,2947.7723001308036,-2.597020256821247,0.9476868040785174,0.9474864424523997,-0.00020036162611769548,0.06730319109542426,67.30319109542427,2797.213288001489,2.4016268589574743
9,0,0.1601992705836892,1787090037.737511,0.016716625075787306,1791.6678412543406,2794.0895817609085,1791.6678412543406,False,1793.1672037760418,2800.0895794720896,1793.1672037760418,False,1792.2039550781253,2944.8173197317374,1792.2039550781253,False,1791.9797444661458,2950.8173174429194,1791.9797444661458,False,0.9487055242299387,0.9494994512483337,0.0007939270183949798,0.030815763687951442,30.815763687951442,2797.1459848103937,2797.1768005740814,1.099620457035093,0.9489894017068512,0.9488706800100735,-0.00011872169677773492,0.10382315293567297,103.82315293567297,2947.8450790264806,2947.948902179416,3.7047942098084845,0.9487055242299387,0.9494994512483337,0.0007939270183949798,0.030815763687951442,30.815763687951442,2797.1768005740814,1.099620457035093
