peak,live_freq_mhz,batch_freq_mhz,plan_freq_mhz,live_minus_batch_mhz,live_minus_plan_mhz
peak_01,2762.6782471497686,2762.6782471497686,2762.6782471497686,0.0,0.0
peak_02,2772.902259762475,2772.902259762475,2772.902259762475,0.0,0.0
peak_03,2798.5743886005043,2798.5743886005043,2798.5743886005043,0.0,0.0
peak_04,2811.205923930612,2811.205923930612,2811.205923930612,0.0,0.0
peak_05,2834.900998297384,2834.900998297384,2834.900998297384,0.0,0.0
peak_06,2846.566788581379,2846.566788581379,2846.566788581379,0.0,0.0
peak_07,2869.0592264031256,2869.0592264031256,2869.0592264031256,0.0,0.0
peak_08,2875.751831132393,2875.751831132393,2875.751831132393,0.0,0.0
peak_09,2877.1583926076537,2877.1583926076537,2877.1583926076537,0.0,0.0
peak_10,2884.382751127911,2884.382751127911,2884.382751127911,0.0,0.0
peak_11,2904.4342455818605,2904.4342455818605,2904.4342455818605,0.0,0.0
peak_12,2920.419747695074,2920.419747695074,2920.419747695074,0.0,0.0
peak_13,2937.7002853231734,2937.7002853231734,2937.7002853231734,0.0,0.0
peak_14,2949.15820684722,2949.15820684722,2949.15820684722,0.0,0.0
peak_15,2969.468369204371,2969.468369204371,2969.468369204371,0.0,0.0
peak_16,2979.433000494655,2979.433000494655,2979.433000494655,0.0,0.0
