batch,time_s,timestamp_epoch_s,acq_seconds,peak_01,peak_01_ref,peak_01_freq_mhz,peak_02,peak_02_ref,peak_02_freq_mhz,peak_03,peak_03_ref,peak_03_freq_mhz,peak_04,peak_04_ref,peak_04_freq_mhz,peak_05,peak_05_ref,peak_05_freq_mhz,peak_06,peak_06_ref,peak_06_freq_mhz,peak_07,peak_07_ref,peak_07_freq_mhz,peak_08,peak_08_ref,peak_08_freq_mhz,peak_09,peak_09_ref,peak_09_freq_mhz,peak_10,peak_10_ref,peak_10_freq_mhz,peak_11,peak_11_ref,peak_11_freq_mhz,peak_12,peak_12_ref,peak_12_freq_mhz,peak_13,peak_13_ref,peak_13_freq_mhz,peak_14,peak_14_ref,peak_14_freq_mhz,peak_15,peak_15_ref,peak_15_freq_mhz,peak_16,peak_16_ref,peak_16_freq_mhz,delta_f_mhz_b01,f_new_mhz_b01,delta_f_mhz_b02,f_new_mhz_b02,delta_f_mhz_b03,f_new_mhz_b03,delta_f_mhz_b04,f_new_mhz_b04,delta_f_mhz_b05,f_new_mhz_b05,delta_f_mhz_b06,f_new_mhz_b06,delta_f_mhz_b07,f_new_mhz_b07,delta_f_mhz_b08,f_new_mhz_b08
0,0.008067937567830086,1778252247.147402,0.015584791079163551,6606.462163401289,6613.901908793593,2627.9999897003177,6614.311995292967,6613.420478650243,2630.999988555908,6595.105602591926,6601.085716905584,2762.9999382019046,6589.982959929088,6595.472425650274,2770.9999351501465,6588.825167344194,6585.804476266161,2802.9999229431155,6585.622561665189,6591.106375890211,2807.999921035767,6591.574773053764,6591.016168964148,2837.999909591675,6600.208275514259,6602.745398416725,2842.9999076843264,6572.248474799034,6579.795477886114,2877.999894332886,6542.764283094415,6555.821210685576,2880.9998931884766,6561.043404040713,6574.837121374209,2877.999894332886,6556.979698627625,6572.600901671913,2881.9998928070067,6574.830080691996,6586.243492679647,2938.9998710632326,6586.221358926552,6592.219176574869,2943.999869155884,6569.343356664731,6580.563543417795,2970.999858856201,6574.853802304611,6586.76856374362,2977.9998561859134,-0.739889155415342,2673.161728747852,-0.08059401568557037,2799.443241482399,0.7528956437762048,2800.276731141861,1.709482380909291,2838.5122293670333,-0.6406084036818084,2836.1621385824424,-0.3431588365773116,2836.4595881495466,-0.0009165115270096463,2941.0955636915396,-0.010267597626962083,2973.3422823802
1,0.07502670853864402,1778252247.212866,0.01259558298625052,6610.033563590793,6613.901908793593,2627.9999897003177,6614.311995292967,6613.420478650243,2630.999988555908,6595.105602591926,6601.085716905584,2762.9999382019046,6589.982959929088,6595.472425650274,2770.9999351501465,6588.825167344194,6585.804476266161,2802.9999229431155,6585.622561665189,6591.106375890211,2807.999921035767,6591.574773053764,6591.016168964148,2837.999909591675,6600.208275514259,6602.745398416725,2842.9999076843264,6572.248474799034,6579.795477886114,2877.999894332886,6542.764283094415,6555.821210685576,2880.9998931884766,6561.043404040713,6574.837121374209,2877.999894332886,6556.979698627625,6572.600901671913,2881.9998928070067,6574.830080691996,6586.243492679647,2938.9998710632326,6586.221358926552,6592.219176574869,2943.999869155884,6569.343356664731,6580.563543417795,2970.999858856201,6574.853802304611,6586.76856374362,2977.9998561859134,-0.44875723804030954,2673.452860665227,-0.08059401568557037,2799.443241482399,0.7528956437762048,2800.276731141861,1.709482380909291,2838.5122293670333,-0.6406084036818084,2836.1621385824424,-0.3431588365773116,2836.4595881495466,-0.0009165115270096463,2941.0955636915396,-0.010267597626962083,2973.3422823802
2,0.1403313330374658,1778252247.280994,0.01824200013652444,6597.547290399486,6605.248502307669,2627.9999897003177,6601.530540697498,6603.8698413668735,2630.999988555908,6590.913234709784,6594.943240517163,2762.9999382019046,6582.4685209524105,6595.206534828988,2770.9999351501465,6587.179260017727,6590.341984289514,2802.9999229431155,6585.318125133723,6590.1973026255455,2807.999921035767,6590.304205764587,6595.362728856558,2837.999909591675,6599.456948986766,6603.951343338325,2842.9999076843264,6571.859863373781,6578.195483999143,2877.999894332886,6541.912236757649,6559.92552801296,2880.9998931884766,6561.270422104717,6576.6316960601525,2877.999894332886,6557.508460433414,6571.560072745056,2881.9998928070067,6576.222132224837,6586.278433230431,2938.9998710632326,6585.631098511476,6590.27332579393,2943.999869155884,6569.491429532047,6580.750267445059,2970.999858856201,6571.313175107743,6583.390471314607,2977.9998561859134,-0.4983623206167483,2673.4032555826507,0.2252959099057968,2799.7491314079907,0.20624905463016627,2799.7300845527147,1.1257064454962595,2837.9284534316203,-0.5013048066236416,2836.3014421795006,-0.41073268730425094,2836.39201429882,-0.0005469868523493548,2941.0959332162142,-0.006028768250790314,2973.3465212095757
3,0.20696820854209363,1778252247.34495,0.012883916962891817,6605.076857596968,6605.248502307669,2627.9999897003177,6601.530540697498,6603.8698413668735,2630.999988555908,6590.913234709784,6594.943240517163,2762.9999382019046,6582.4685209524105,6595.206534828988,2770.9999351501465,6587.179260017727,6590.341984289514,2802.9999229431155,6585.318125133723,6590.1973026255455,2807.999921035767,6590.304205764587,6595.362728856558,2837.999909591675,6599.456948986766,6603.951343338325,2842.9999076843264,6571.859863373781,6578.195483999143,2877.999894332886,6541.912236757649,6559.92552801296,2880.9998931884766,6561.270422104717,6576.6316960601525,2877.999894332886,6557.508460433414,6571.560072745056,2881.9998928070067,6576.222132224837,6586.278433230431,2938.9998710632326,6585.631098511476,6590.27332579393,2943.999869155884,6569.491429532047,6580.750267445059,2970.999858856201,6571.313175107743,6583.390471314607,2977.9998561859134,0.11623392804053909,2674.017851831308,0.2252959099057968,2799.7491314079907,0.20624905463016627,2799.7300845527147,1.1257064454962595,2837.9284534316203,-0.5013048066236416,2836.3014421795006,-0.41073268730425094,2836.39201429882,-0.0005469868523493548,2941.0959332162142,-0.006028768250790314,2973.3465212095757
4,0.2753053540363908,1778252247.413601,0.013509457930922508,6600.679507595441,6607.41457193508,2627.9999897003177,6607.792072928448,6613.338689366385,2630.999988555908,6589.227812757893,6597.593867102731,2762.9999382019046,6584.035612984076,6596.398161506251,2770.9999351501465,6590.044796283277,6597.149801326527,2802.9999229431155,6586.52945257817,6593.234801479353,2807.999921035767,6589.53603478314,6590.104506831312,2837.999909591675,6598.480698108016,6598.128135220222,2842.9999076843264,6566.3209936730145,6576.072039001131,2877.999894332886,6535.1409970351815,6554.098283766849,2880.9998931884766,6558.665941253783,6574.280066937678,2877.999894332886,6554.787338386772,6566.917909649417,2881.9998928070067,6576.264361035547,6583.868870923373,2938.9998710632326,6587.317741541095,6592.232982852952,2943.999869155884,6567.566399731028,6577.323680349667,2970.999858856201,6567.696717302931,6580.8077345111105,2977.9998561859134,-0.158119450981881,2673.7434984522856,0.06856238726784321,2799.5923978853525,0.03621569764470425,2799.5600511957296,1.0697123020885648,2837.8724592882127,-0.5567201654744007,2836.2460268206496,-0.4576006523695989,2836.345146333754,0.24039257060474997,2941.3368727736715,0.07647047574013092,2973.429020453567
5,0.33971687499433756,1778252247.4770188,0.011522084008902311,6606.307196564478,6607.41457193508,2627.9999897003177,6607.792072928448,6613.338689366385,2630.999988555908,6589.227812757893,6597.593867102731,2762.9999382019046,6584.035612984076,6596.398161506251,2770.9999351501465,6590.044796283277,6597.149801326527,2802.9999229431155,6586.52945257817,6593.234801479353,2807.999921035767,6589.53603478314,6590.104506831312,2837.999909591675,6598.480698108016,6598.128135220222,2842.9999076843264,6566.3209936730145,6576.072039001131,2877.999894332886,6535.1409970351815,6554.098283766849,2880.9998931884766,6558.665941253783,6574.280066937678,2877.999894332886,6554.787338386772,6566.917909649417,2881.9998928070067,6576.264361035547,6583.868870923373,2938.9998710632326,6587.317741541095,6592.232982852952,2943.999869155884,6567.566399731028,6577.323680349667,2970.999858856201,6567.696717302931,6580.8077345111105,2977.9998561859134,0.3010865796711135,2674.2027044829383,0.06856238726784321,2799.5923978853525,0.03621569764470425,2799.5600511957296,1.0697123020885648,2837.8724592882127,-0.5567201654744007,2836.2460268206496,-0.4576006523695989,2836.345146333754,0.24039257060474997,2941.3368727736715,0.07647047574013092,2973.429020453567
6,0.41754464607220143,1778252247.555209,0.012245957972481847,6609.586082159122,6620.114845493168,2627.9999897003177,6616.79710089556,6618.965210746707,2630.999988555908,6595.479973713971,6602.183994559404,2762.9999382019046,6588.139242595591,6596.630092918055,2770.9999351501465,6592.067536754594,6597.567364061497,2802.9999229431155,6592.542982241648,6593.108380964024,2807.999921035767,6595.458293853348,6599.5499831891675,2837.999909591675,6604.809968823548,6607.169797047407,2842.9999076843264,6572.417668184737,6577.622434819818,2877.999894332886,6537.939684262003,6559.397892532933,2880.9998931884766,6558.849506372833,6576.592800379008,2877.999894332886,6554.957839960877,6574.2139392364825,2881.9998928070067,6579.094320995202,6587.408601033104,2938.9998710632326,6588.331604364704,6595.355697343888,2943.999869155884,6569.6494788641985,6582.369981966562,2970.999858856201,6572.942995995964,6586.456128312498,2977.9998561859134,-0.7416094948962735,2673.160008408371,-0.00481100452931223,2799.519024493555,-0.32878832533105495,2799.1950471727537,0.9402887475093443,2837.7430357336334,-0.39777503011245013,2836.4049719560117,-0.34992284483187447,2836.4528241412922,0.3642159997362719,2941.460696202803,-0.006990863165399598,2973.3455591146612
7,0.4858562914887443,1778252247.623997,0.01320008304901421,6600.747787083167,6605.677954885839,2627.9999897003177,6610.187914539842,6613.832163706941,2630.999988555908,6593.174704282178,6597.3661659076315,2762.9999382019046,6586.08038023046,6593.621725708346,2770.9999351501465,6592.978191765748,6596.179235565609,2802.9999229431155,6592.344719870403,6593.3001237888575,2807.999921035767,6593.004188953755,6595.910126234067,2837.999909591675,6601.291660298926,6608.274044074945,2842.9999076843264,6572.4494284317025,6581.763159825168,2877.999894332886,6540.909282635938,6558.439375553993,2880.9998931884766,6560.60974264144,6576.259589815692,2877.999894332886,6557.301830852462,6573.713253048874,2881.9998928070067,6578.572726716996,6588.077432221781,2938.9998710632326,6588.234549316869,6594.193720390012,2943.999869155884,6572.707257694778,6584.984576825504,2970.999858856201,6573.739658281627,6585.950721337531,2977.9998561859134,-0.1660617078804907,2673.735556195387,0.04712739137280426,2799.5709628894574,-0.11257325232517569,2799.4112622457596,1.8640284655395198,2838.6667754516634,-0.5792600383799444,2836.2234869477443,-0.3661426880866687,2836.4366042980373,0.16479103146781032,2941.2612712345344,-0.034721090420923806,2973.3178288874055
8,0.5567845205077901,1778252247.6940658,0.011479874840006232,6607.6714704893475,6605.677954885839,2627.9999897003177,6610.187914539842,6613.832163706941,2630.999988555908,6593.174704282178,6597.3661659076315,2762.9999382019046,6586.08038023046,6593.621725708346,2770.9999351501465,6592.978191765748,6596.179235565609,2802.9999229431155,6592.344719870403,6593.3001237888575,2807.999921035767,6593.004188953755,6595.910126234067,2837.999909591675,6601.291660298926,6608.274044074945,2842.9999076843264,6572.4494284317025,6581.763159825168,2877.999894332886,6540.909282635938,6558.439375553993,2880.9998931884766,6560.60974264144,6576.259589815692,2877.999894332886,6557.301830852462,6573.713253048874,2881.9998928070067,6578.572726716996,6588.077432221781,2938.9998710632326,6588.234549316869,6594.193720390012,2943.999869155884,6572.707257694778,6584.984576825504,2970.999858856201,6573.739658281627,6585.950721337531,2977.9998561859134,0.3990429110697235,2674.300660814337,0.04712739137280426,2799.5709628894574,-0.11257325232517569,2799.4112622457596,1.8640284655395198,2838.6667754516634,-0.5792600383799444,2836.2234869477443,-0.3661426880866687,2836.4366042980373,0.16479103146781032,2941.2612712345344,-0.034721090420923806,2973.3178288874055
9,0.6265476455446333,1778252247.764061,0.011946124956011772,6600.877117400739,6610.905046306201,2627.9999897003177,6615.720304428891,6620.263627471957,2630.999988555908,6595.392395390775,6601.54799186967,2762.9999382019046,6590.386076046093,6600.251985206468,2770.9999351501465,6595.337691414248,6598.399772289636,2802.9999229431155,6590.846796772321,6593.030395513037,2807.999921035767,6592.872465384969,6596.438064309074,2837.999909591675,6601.21480270196,6605.406097747349,2842.9999076843264,6570.17960540392,6577.323194363786,2877.999894332886,6539.94107039154,6557.59466790965,2880.9998931884766,6560.604190482011,6577.1414723232565,2877.999894332886,6558.628602867012,6573.290433108171,2881.9998928070067,6578.050722865788,6588.793333740867,2938.9998710632326,6588.177936546749,6594.1205474218295,2943.999869155884,6569.838542653667,6580.221299324509,2970.999858856201,6570.772654888895,6585.938366904056,2977.9998561859134,-0.5085577946801164,2673.393060108587,0.05895971453204589,2799.582795212617,-0.002460964309130002,2799.5213745337755,1.315326518702039,2838.118073504826,-0.5275632594113682,2836.275183726713,-0.42298483666051273,2836.3797621494637,0.05382664033221725,2941.150306843399,0.12273766604553261,2973.475287643872
