batch,time_s,timestamp_epoch_s,acq_seconds,peak_01,peak_01_ref,peak_01_freq_mhz,peak_01_spike_sig,peak_01_spike_ref,peak_02,peak_02_ref,peak_02_freq_mhz,peak_02_spike_sig,peak_02_spike_ref,peak_03,peak_03_ref,peak_03_freq_mhz,peak_03_spike_sig,peak_03_spike_ref,peak_04,peak_04_ref,peak_04_freq_mhz,peak_04_spike_sig,peak_04_spike_ref,peak_05,peak_05_ref,peak_05_freq_mhz,peak_05_spike_sig,peak_05_spike_ref,peak_06,peak_06_ref,peak_06_freq_mhz,peak_06_spike_sig,peak_06_spike_ref,peak_07,peak_07_ref,peak_07_freq_mhz,peak_07_spike_sig,peak_07_spike_ref,peak_08,peak_08_ref,peak_08_freq_mhz,peak_08_spike_sig,peak_08_spike_ref,peak_09,peak_09_ref,peak_09_freq_mhz,peak_09_spike_sig,peak_09_spike_ref,peak_10,peak_10_ref,peak_10_freq_mhz,peak_10_spike_sig,peak_10_spike_ref,peak_11,peak_11_ref,peak_11_freq_mhz,peak_11_spike_sig,peak_11_spike_ref,peak_12,peak_12_ref,peak_12_freq_mhz,peak_12_spike_sig,peak_12_spike_ref,peak_13,peak_13_ref,peak_13_freq_mhz,peak_13_spike_sig,peak_13_spike_ref,peak_14,peak_14_ref,peak_14_freq_mhz,peak_14_spike_sig,peak_14_spike_ref,peak_15,peak_15_ref,peak_15_freq_mhz,peak_15_spike_sig,peak_15_spike_ref,peak_16,peak_16_ref,peak_16_freq_mhz,peak_16_spike_sig,peak_16_spike_ref,delta_f_mhz_b01,f_new_mhz_b01,delta_f_mhz_b02,f_new_mhz_b02,delta_f_mhz_b03,f_new_mhz_b03,delta_f_mhz_b04,f_new_mhz_b04,delta_f_mhz_b05,f_new_mhz_b05,delta_f_mhz_b06,f_new_mhz_b06,delta_f_mhz_b07,f_new_mhz_b07,delta_f_mhz_b08,f_new_mhz_b08
0,0.006400062469765544,1778777595.930277,0.012124875094741583,6923.62874957973,6928.41252712657,2762.49209368396,False,False,6917.585851392243,6926.3400434025125,2771.5043991561597,False,False,6936.607969862763,6938.979623743008,2798.7442158306376,False,False,6944.682678729712,6942.416665647828,2812.1090266779856,False,False,6944.534514166946,6944.504829293641,2827.0731107243623,False,False,6949.4210624446005,6946.151256227649,2843.360524081882,False,False,6938.870518384938,6935.4792615459855,2863.2708243820166,False,False,6944.988651159947,6945.396798300579,2875.8666026405513,False,False,6936.514030931932,6938.0275712932125,2878.357373483409,False,False,6932.711521533148,6936.398363236239,2889.6086675123897,False,False,6945.904826237124,6948.1805162453775,2909.7417051873094,False,False,6949.939957820095,6949.9742641440225,2926.4412762972174,False,False,6949.031836659839,6944.948788091817,2936.1482972947406,False,False,6948.20364030932,6947.212808325948,2950.035968338274,False,False,6919.906725861173,6923.561811902068,2970.8631774223413,False,False,6929.209186355717,6933.08400831372,2980.7893909439117,False,False,0.006926293237502769,2766.8191222969012,-1.094193776049672,2803.985229743601,-1.929682063704273,2831.985034639734,0.6163459410227737,2870.162492437979,-0.3667154083924797,2883.7402667773467,-0.9214891496993265,2917.030748803805,0.39055058976143375,2944.0133767733378,-0.10062475749796647,2975.427578733124
1,0.07279452052898705,1778777595.999439,0.017636790871620178,6922.42136656784,6925.089840144266,2762.49209368396,False,False,6917.491024543815,6921.814882171349,2771.5043991561597,False,False,6934.489635357766,6937.156889384724,2798.7442158306376,False,False,6943.157384540148,6944.825373658954,2812.1090266779856,False,False,6947.0856588318,6947.832160650427,2827.0731107243623,False,False,6950.114431335392,6947.87417550509,2843.360524081882,False,False,6940.664041629733,6939.886881437786,2863.2708243820166,False,False,6947.867417550509,6943.59660268362,2875.8666026405513,False,False,6937.366861264786,6936.965183238071,2878.357373483409,False,False,6931.877627838738,6932.694648042302,2889.6086675123897,False,False,6941.055879206529,6943.0490341412715,2909.7417051873094,False,False,6947.466471559128,6947.426892746889,2926.4412762972174,False,False,6946.039455023381,6943.755078399609,2936.1482972947406,False,False,6949.22940367393,6945.42076596265,2950.035968338274,False,False,6922.145480942629,6926.125602897577,2970.8631774223413,False,False,6928.839447382095,6930.694067304461,2980.7893909439117,False,False,-0.08855095481543086,2766.7236450488485,-0.6210234396941205,2804.4584000799564,-1.838683166745918,2832.076033536692,0.03750340655860505,2869.583649903515,-0.4157716505323084,2883.6912105352067,-0.8616958282908905,2917.0905421252137,-0.28610528845311395,2943.336720895123,-0.21193978257541043,2975.3162637080463
2,0.15844681207090616,1778777596.0816388,0.010756291914731264,6924.208243420852,6925.089840144266,2762.49209368396,False,False,6917.491024543815,6921.814882171349,2771.5043991561597,False,False,6934.489635357766,6937.156889384724,2798.7442158306376,False,False,6943.157384540148,6944.825373658954,2812.1090266779856,False,False,6947.0856588318,6947.832160650427,2827.0731107243623,False,False,6950.114431335392,6947.87417550509,2843.360524081882,False,False,6940.664041629733,6939.886881437786,2863.2708243820166,False,False,6947.867417550509,6943.59660268362,2875.8666026405513,False,False,6937.366861264786,6936.965183238071,2878.357373483409,False,False,6931.877627838738,6932.694648042302,2889.6086675123897,False,False,6941.055879206529,6943.0490341412715,2909.7417051873094,False,False,6947.466471559128,6947.426892746889,2926.4412762972174,False,False,6946.039455023381,6943.755078399609,2936.1482972947406,False,False,6949.22940367393,6945.42076596265,2950.035968338274,False,False,6922.145480942629,6926.125602897577,2970.8631774223413,False,False,6928.839447382095,6930.694067304461,2980.7893909439117,False,False,-0.014813572521839376,2766.797382431142,-0.6210234396941205,2804.4584000799564,-1.838683166745918,2832.076033536692,0.03750340655860505,2869.583649903515,-0.4157716505323084,2883.6912105352067,-0.8616958282908905,2917.0905421252137,-0.28610528845311395,2943.336720895123,-0.21193978257541043,2975.3162637080463
3,0.23520702053792775,1778777596.1588202,0.011603124905377626,6921.633173885137,6927.381122963598,2762.49209368396,False,False,6916.009112999357,6923.698378518813,2771.5043991561597,False,False,6934.458490998564,6937.53850444723,2798.7442158306376,False,False,6943.927316074211,6945.119612128251,2812.1090266779856,False,False,6945.368768530122,6945.316555613291,2827.0731107243623,False,False,6951.566904055995,6949.044316410429,2843.360524081882,False,False,6939.973179081212,6937.92425955925,2863.2708243820166,False,False,6945.917590243605,6947.376301311245,2875.8666026405513,False,False,6938.789296084605,6938.832646636305,2878.357373483409,False,False,6930.741913989669,6933.820458782897,2889.6086675123897,False,False,6944.78467004921,6945.0249747837515,2909.7417051873094,False,False,6947.7673915701325,6950.161096677568,2926.4412762972174,False,False,6947.750930708806,6947.431570743039,2936.1482972947406,False,False,6948.648370877525,6946.871420056852,2950.035968338274,False,False,6918.950058073785,6924.841732127029,2970.8631774223413,False,False,6931.129275300303,6935.558321361983,2980.7893909439117,False,False,-0.07669384692170247,2766.735502156742,-0.7366148122890398,2804.342808707361,-1.6536349119412976,2832.2610817914965,0.5929625803388839,2870.139109077295,-0.3223798890999556,2883.784602296639,0.3466360676022889,2918.298874021107,-0.27637261009227493,2943.346453573484,-0.1807031359041968,2975.3475003547173
4,0.30784681206569076,1778777596.231748,0.01113745803013444,6924.509032001712,6926.60815325366,2762.49209368396,False,False,6917.165337592078,6924.841860500657,2771.5043991561597,False,False,6936.482339456552,6938.43667817954,2798.7442158306376,False,False,6944.848843109086,6942.421733349634,2812.1090266779856,False,False,6946.091125408809,6944.944585383746,2827.0731107243623,False,False,6947.474199957209,6948.134859553136,2843.360524081882,False,False,6939.452232784179,6938.650583794358,2863.2708243820166,False,False,6946.422977351224,6944.635307332579,2875.8666026405513,False,False,6937.9636641501365,6935.14349726442,2878.357373483409,False,False,6930.239303725891,6931.9929608460425,2889.6086675123897,False,False,6944.326507626004,6943.049358131859,2909.7417051873094,False,False,6947.079626799523,6947.091935385273,2926.4412762972174,False,False,6948.166204114069,6943.252102882294,2936.1482972947406,False,False,6947.476548888958,6947.2669254516,2950.035968338274,False,False,6920.10154048354,6924.363555643856,2970.8631774223413,False,False,6927.633387841184,6932.603278112297,2980.7893909439117,False,False,0.07324120228517762,2766.885437205949,-1.060852551570717,2804.0185709680795,-0.12207092383875554,2833.7926457795993,0.236471237111395,2869.7826177340676,-0.24328312024158955,2883.8636990654973,0.09780044036666491,2918.0500383938715,0.6270220296562671,2944.249848213233,-0.07743890191923702,2975.4507645887024
5,0.38921710348222405,1778777596.312803,0.010697624878957868,6925.131450010698,6929.449408564355,2762.49209368396,False,False,6919.769014579576,6926.1250038206435,2771.5043991561597,False,False,6936.19837393404,6937.932990494238,2798.7442158306376,False,False,6944.663016168964,6944.65941559434,2812.1090266779856,False,False,6948.422410367699,6947.823472506648,2827.0731107243623,False,False,6950.6839487116795,6948.845999021915,2843.360524081882,False,False,6940.732848366293,6939.534226854541,2863.2708243820166,False,False,6945.19759757924,6944.909087018981,2875.8666026405513,False,False,6936.6232386832535,6937.174309991747,2878.357373483409,False,False,6933.369599902192,6936.7150961273965,2889.6086675123897,False,False,6947.90768560687,6946.4109300975015,2909.7417051873094,False,False,6952.935030717975,6950.030488736743,2926.4412762972174,False,False,6946.614831738852,6946.236523825535,2936.1482972947406,False,False,6948.162178683864,6947.5162942812585,2950.035968338274,False,False,6919.8643610355475,6926.709741113184,2970.8631774223413,False,False,6931.268253507352,6936.088933887581,2980.7893909439117,False,False,-0.07277215156311193,2766.7394238521006,-0.7169683991473947,2804.362455120503,-1.2128185223939045,2832.7018981810443,0.3868876046427059,2869.933034101599,-0.3348177307111807,2883.772164455028,-0.6805741621767385,2917.271663791328,-0.10196560658690304,2943.5208605769894,-0.2073907236995068,2975.3208127669222
6,0.46182639547623694,1778777596.386441,0.012770709116011858,6922.920629947733,6927.701665800654,2762.49209368396,False,False,6917.031994070361,6922.8959867958565,2771.5043991561597,False,False,6936.187659320842,6938.326830088334,2798.7442158306376,False,False,6942.590213039094,6943.480632392944,2812.1090266779856,False,False,6944.25782620656,6943.910638200325,2827.0731107243623,False,False,6949.884509582174,6945.495403001498,2843.360524081882,False,False,6938.0027172418,6937.58411223523,2863.2708243820166,False,False,6943.943391814653,6944.984255891433,2875.8666026405513,False,False,6936.22957331051,6935.4403154323445,2878.357373483409,False,False,6928.565721184705,6930.213975914662,2889.6086675123897,False,False,6941.456051899624,6942.231501971453,2909.7417051873094,False,False,6946.436898248617,6948.46388727573,2926.4412762972174,False,False,6948.07268851056,6945.444713757373,2936.1482972947406,False,False,6944.84578353761,6944.422807714643,2950.035968338274,False,False,6918.263006999419,6924.025391998043,2970.8631774223413,False,False,6928.885545740748,6935.544965919858,2980.7893909439117,False,False,-0.11210612816347489,2766.7000898755005,-0.6533250490689807,2804.4260984705816,-2.2169425704717587,2831.697774132966,0.43042128016357634,2869.9765677771197,-0.3530742014930102,2883.753907984246,0.08636824563628218,2918.0386061991408,0.2604187033560229,2943.8832448869325,-0.06868590647001999,2975.459517584152
7,0.5304094165330753,1778777596.45588,0.014088167110458016,6923.911570437388,6927.858130329798,2762.49209368396,False,False,6918.736626218786,6923.011964727817,2771.5043991561597,False,False,6933.440831983373,6936.902413118562,2798.7442158306376,False,False,6943.520062964209,6940.964399241985,2812.1090266779856,False,False,6942.456518018155,6943.161550570041,2827.0731107243623,False,False,6946.0266146040285,6945.816934621145,2843.360524081882,False,False,6938.220982975212,6937.179290582877,2863.2708243820166,False,False,6944.7009780847875,6942.515082373077,2875.8666026405513,False,False,6936.87555246508,6937.254535868202,2878.357373483409,False,False,6931.195966928508,6930.64532811688,2889.6086675123897,False,False,6940.2699850230765,6940.409201638293,2909.7417051873094,False,False,6947.056099275605,6949.073441941498,2926.4412762972174,False,False,6946.204873613106,6945.0233823394565,2936.1482972947406,False,False,6945.2675077177,6945.126669621297,2950.035968338274,False,False,6918.195824800563,6922.736407677966,2970.8631774223413,False,False,6926.524389461136,6932.219074181618,2980.7893909439117,False,False,-0.1432611370318269,2766.668934866632,-1.273951496989748,2803.8054720226605,-1.096992364961628,2832.817724338476,0.22390529230980596,2869.770051789266,-0.5262194228576893,2883.5807627628815,0.26729945001678307,2918.2195374035214,0.08977453938623729,2943.7126007229626,-0.056294039192314994,2975.4719094514294
8,0.6194217080483213,1778777596.5436952,0.012007415993139148,6923.144395879817,6927.858130329798,2762.49209368396,False,False,6918.736626218786,6923.011964727817,2771.5043991561597,False,False,6933.440831983373,6936.902413118562,2798.7442158306376,False,False,6943.520062964209,6940.964399241985,2812.1090266779856,False,False,6942.456518018155,6943.161550570041,2827.0731107243623,False,False,6946.0266146040285,6945.816934621145,2843.360524081882,False,False,6938.220982975212,6937.179290582877,2863.2708243820166,False,False,6944.7009780847875,6942.515082373077,2875.8666026405513,False,False,6936.87555246508,6937.254535868202,2878.357373483409,False,False,6931.195966928508,6930.64532811688,2889.6086675123897,False,False,6940.2699850230765,6940.409201638293,2909.7417051873094,False,False,6947.056099275605,6949.073441941498,2926.4412762972174,False,False,6946.204873613106,6945.0233823394565,2936.1482972947406,False,False,6945.2675077177,6945.126669621297,2950.035968338274,False,False,6918.195824800563,6922.736407677966,2970.8631774223413,False,False,6926.524389461136,6932.219074181618,2980.7893909439117,False,False,-0.17490676446355508,2766.6372892392,-1.273951496989748,2803.8054720226605,-1.096992364961628,2832.817724338476,0.22390529230980596,2869.770051789266,-0.5262194228576893,2883.5807627628815,0.26729945001678307,2918.2195374035214,0.08977453938623729,2943.7126007229626,-0.056294039192314994,2975.4719094514294
9,0.701670479029417,1778777596.626069,0.012318042106926441,6924.5651679554985,6927.49956903139,2762.49209368396,False,False,6917.584553901642,6925.574580493322,2771.5043991561597,False,False,6936.237416327904,6938.908952532323,2798.7442158306376,False,False,6944.512831249808,6942.271585108659,2812.1090266779856,False,False,6947.102164012593,6946.088509032001,2827.0731107243623,False,False,6954.053678515757,6949.917665128222,2843.360524081882,False,False,6938.49140355167,6939.389997554788,2863.2708243820166,False,False,6947.210665708958,6943.298954671884,2875.8666026405513,False,False,6936.912484335361,6935.923684934436,2878.357373483409,False,False,6934.134066387504,6936.461992236453,2889.6086675123897,False,False,6943.93582235535,6945.095082067426,2909.7417051873094,False,False,6949.304349420791,6949.285330256442,2926.4412762972174,False,False,6946.921169422625,6945.711153223095,2936.1482972947406,False,False,6946.35235351652,6947.296090717365,2950.035968338274,False,False,6921.411319803161,6924.222266711496,2970.8631774223413,False,False,6930.174591191125,6936.855478803069,2980.7893909439117,False,False,0.05169826454311254,2766.863894268207,-1.1300152297939887,2803.9494082898564,-1.8867038280282755,2832.02801287541,-0.0670378650098664,2869.4791086319465,-0.3079687410771885,2883.799013444662,-0.614818351508724,2917.337419601996,0.2528728966326125,2943.875699080209,0.07264824277560515,2975.6008517333976
