batch,time_s,timestamp_epoch_s,acq_seconds,peak_01,peak_01_ref,peak_01_freq_mhz,peak_02,peak_02_ref,peak_02_freq_mhz,peak_03,peak_03_ref,peak_03_freq_mhz,peak_04,peak_04_ref,peak_04_freq_mhz,peak_05,peak_05_ref,peak_05_freq_mhz,peak_06,peak_06_ref,peak_06_freq_mhz,peak_07,peak_07_ref,peak_07_freq_mhz,peak_08,peak_08_ref,peak_08_freq_mhz,peak_09,peak_09_ref,peak_09_freq_mhz,peak_10,peak_10_ref,peak_10_freq_mhz,peak_11,peak_11_ref,peak_11_freq_mhz,peak_12,peak_12_ref,peak_12_freq_mhz,peak_13,peak_13_ref,peak_13_freq_mhz,peak_14,peak_14_ref,peak_14_freq_mhz,peak_15,peak_15_ref,peak_15_freq_mhz,peak_16,peak_16_ref,peak_16_freq_mhz,delta_f_mhz_b01,f_new_mhz_b01,delta_B_proj_uT_b01,delta_f_mhz_b02,f_new_mhz_b02,delta_B_proj_uT_b02,delta_f_mhz_b03,f_new_mhz_b03,delta_B_proj_uT_b03,delta_f_mhz_b04,f_new_mhz_b04,delta_B_proj_uT_b04,delta_f_mhz_b05,f_new_mhz_b05,delta_B_proj_uT_b05,delta_f_mhz_b06,f_new_mhz_b06,delta_B_proj_uT_b06,delta_f_mhz_b07,f_new_mhz_b07,delta_B_proj_uT_b07,delta_f_mhz_b08,f_new_mhz_b08,delta_B_proj_uT_b08,delta_Bx_uT,delta_By_uT,delta_Bz_uT,delta_B_total_uT,B_residual_uT
0,0.00670043786522001,1778271314.2336068,0.012793542118743062,6564.230147935325,6571.750073356359,2628.999989318848,6578.532307363144,6583.526926368553,2630.999988555908,6554.395256288779,6561.329180548339,2763.9999378204348,6535.765875538711,6551.469555582725,2770.9999351501465,6542.933875355319,6553.019437906898,2802.9999229431155,6553.308333588044,6560.616577008894,2807.999921035767,6555.601916434881,6563.247661766055,2837.999909591675,6560.263560228627,6566.67772411896,2843.9999073028566,6525.401129382278,6538.974311520005,2877.999894332886,6513.576044563988,6532.254312742611,2881.9998928070067,6519.3282788764245,6539.327731760247,2877.999894332886,6517.328109239845,6536.925786288473,2881.9998928070067,6542.38251062139,6554.2384570712475,2938.9998710632326,6549.783870770547,6559.5570284561545,2944.999868774414,6521.328931442369,6539.075040498823,2970.999858856201,6537.980598771281,6552.839424458232,2977.9998561859134,-0.14366486579360677,2760.1618799279404,-5.1134302238535785,-0.006410200497806779,2770.103000853364,-0.2279601533149494,-0.4859227452547303,2769.6234883086067,-17.280430392994607,-0.4201340731129592,2872.616280915314,-17.17123574574701,-0.34733431724010194,2883.440013153964,-16.001458733058982,-0.46677632329999397,2883.320571147904,-21.50407173757807,-0.5357683102932996,2976.4768016312114,-19.05196356853549,0.2303587366248412,2977.24292867813,8.19157492810232,5.429030596484058,-16.843552517671842,-29.937432465033567,34.77685289429702,32.02901192222585
1,0.19239216682035476,1778271314.419221,0.012644415954127908,6562.901052969404,6572.541111654491,2628.999989318848,6578.348328086315,6582.615852614848,2630.999988555908,6552.319411926522,6560.975112326923,2763.9999378204348,6534.149977076138,6550.004950025979,2770.9999351501465,6543.301794174283,6553.082160650427,2802.9999229431155,6551.147813063546,6560.118001344867,2807.999921035767,6556.251375431733,6562.774022679342,2837.999909591675,6561.391501360149,6567.408938778004,2843.9999073028566,6525.766596876242,6538.0636733196825,2877.999894332886,6512.638067365589,6533.89673564202,2881.9998928070067,6518.64362410979,6538.624250389706,2877.999894332886,6516.21496622551,6533.96773848458,2881.9998928070067,6541.510551089648,6554.088139193691,2938.9998710632326,6550.249539994498,6560.041110126234,2944.999868774414,6520.121044105511,6538.2123070574935,2970.999858856201,6537.085781092398,6552.132703181831,2977.9998561859134,-0.37924240042354845,2759.9263023933104,-13.498286736845658,-0.06294022831769391,2770.046470825544,-2.2382863222279052,-0.30534176935317,2769.8040692845084,-10.858592734973241,-0.3185944173895215,2872.717820571037,-13.021223933921512,-0.26396514371668567,2883.5233823274875,-12.160696897763554,-0.5061823459826161,2883.2811651252214,-23.319480738336498,-0.5841701708407977,2976.428399770664,-20.773137564988264,0.22466690862280275,2977.237236850128,7.989173073326993,4.02521196390313,-16.448180076881354,-30.676439250926354,35.039818554205446,33.006350070263494
2,0.4023407503264025,1778271314.628576,0.011458582943305373,6563.3652627074625,6571.942650609775,2628.999989318848,6576.66068404805,6582.728307913318,2630.999988555908,6552.233316013082,6562.477137268087,2763.9999378204348,6535.311634624201,6549.736669009994,2770.9999351501465,6543.478092429012,6553.415042638384,2802.9999229431155,6553.049871626371,6562.831045022465,2807.999921035767,6556.155336675123,6563.347703029006,2837.999909591675,6561.82635938503,6565.792956261272,2843.9999073028566,6526.4260873551975,6540.39227160192,2877.999894332886,6513.366972827582,6531.7731271204575,2881.9998928070067,6518.370593269554,6537.874633982333,2877.999894332886,6516.138071950362,6534.201696365804,2881.9998928070067,6540.3073386924225,6555.227753155852,2938.9998710632326,6549.347868080814,6558.813965216859,2944.999868774414,6520.13343827368,6539.069268270318,2970.999858856201,6538.574802090657,6554.182174404744,2977.9998561859134,-0.14245482314729166,2760.163089970587,-5.07036145679185,-0.17179207376899536,2769.9376189800923,-6.1092858933308385,-0.2456385445359005,2769.863772509326,-8.735421035835559,-0.6989915961308473,2872.337423392296,-28.56837911890022,-0.36164026477382877,2883.42570720643,-16.660524128373762,-0.4891969000300721,2883.298150571174,-22.53697265035982,-0.7672405066422352,2976.2453294348625,-27.28313321265762,0.21431594318928102,2977.226885884694,7.621091922296115,11.088611035153866,-8.218002745282117,-21.466415733858458,25.520577349841567,35.173432959525194
3,0.5892290419433266,1778271314.815944,0.012419416103512049,6562.247044350032,6571.062378885594,2628.999989318848,6575.802188464712,6581.5075771005895,2630.999988555908,6552.450929180549,6560.832021578996,2763.9999378204348,6534.4633095944,6550.65073967662,2770.9999351501465,6542.823541278234,6552.517710975945,2802.9999229431155,6549.55700094752,6559.131416389035,2807.999921035767,6554.708656050371,6560.748785035304,2837.999909591675,6560.73187945105,6565.453261301464,2843.9999073028566,6525.440147324021,6537.395459547025,2877.999894332886,6511.594440199285,6530.387640981753,2881.9998928070067,6517.638654216463,6536.101748326558,2877.999894332886,6514.941039826391,6534.355941865086,2881.9998928070067,6539.316575480638,6552.565155729438,2938.9998710632326,6548.633632362381,6557.30740746401,2944.999868774414,6517.488180456642,6536.2091726014,2970.999858856201,6536.793592016383,6551.840200813033,2977.9998561859134,-0.1921263812696806,2760.1134184124644,-6.838309696369199,-0.041085552811522555,2770.06832550105,-1.4610882953112967,-0.24192937687838523,2769.867481676983,-8.603515266559334,-0.4324097232583135,2872.6040052651683,-17.672951974131845,-0.30977562635437694,2883.47757184485,-14.271155067555645,-0.43751628318723756,2883.349831188017,-20.156081339991566,-0.7070060020696878,2976.305563939435,-25.141189457050412,0.20181643037241861,2977.214386371877,7.176608256061846,5.8326814527890685,-14.227120345291045,-25.882021191304695,30.10498542096058,31.515460279838543
4,0.7473052088171244,1778271314.974241,0.012861249968409538,6562.742080569735,6571.435849863985,2628.999989318848,6577.947771800592,6582.277053213926,2630.999988555908,6553.070649815081,6562.195112632578,2763.9999378204348,6534.744452425345,6550.385324143412,2770.9999351501465,6543.884579882018,6552.986095913439,2802.9999229431155,6550.894131491275,6559.179943148821,2807.999921035767,6554.6270593269555,6561.405037136657,2837.999909591675,6561.476998196657,6566.30437387291,2843.9999073028566,6525.916777210625,6538.459036586484,2877.999894332886,6514.054728428646,6532.355596478895,2881.9998928070067,6518.665893877801,6537.278344591496,2877.999894332886,6515.740868661553,6535.4930235045995,2881.9998928070067,6541.22246385671,6552.8846975578435,2938.9998710632326,6548.67490906868,6557.162823608522,2944.999868774414,6517.918530121956,6537.577412354433,2970.999858856201,6536.5995720879055,6552.431022098603,2977.9998561859134,-0.29586848502678825,2760.009676308707,-10.530778317053734,-0.0875579381146171,2770.021853115747,-3.113743634598963,-0.30568546649911377,2769.8037255873624,-10.870815325219843,-0.5208874456382558,2872.5155275427883,-21.289111496676135,-0.33322637251640363,2883.4541210986877,-15.351515194227826,-0.4334478913968406,2883.353899579807,-19.968653262451646,-0.6106679218943247,2976.4019020196106,-21.7153996921446,0.19633765699357233,2977.208907598498,6.9817826405697705,6.151030311194442,-13.575964741197813,-26.429350045754564,30.34225661325317,28.268210725902094
5,0.9135799999348819,1778271315.140872,0.013571749906986952,6562.684115291745,6570.015942782038,2628.999989318848,6576.06402634716,6581.2514961640745,2630.999988555908,6551.984564599445,6559.758951004066,2763.9999378204348,6532.404483907449,6548.439297612862,2770.9999351501465,6541.759400311765,6551.632085765809,2802.9999229431155,6550.489618546933,6560.8402359629545,2807.999921035767,6554.21900082526,6561.026000244521,2837.999909591675,6560.033640003667,6566.137975670141,2843.9999073028566,6524.841748937862,6538.211921936608,2877.999894332886,6511.829935507534,6531.490566066572,2881.9998928070067,6517.82453923037,6537.628272763395,2877.999894332886,6514.692988354678,6536.352437570682,2881.9998928070067,6542.204505303053,6553.111063055904,2938.9998710632326,6548.968389522266,6557.355263318765,2944.999868774414,6518.032197328606,6535.905917412966,2970.999858856201,6534.884564599444,6551.39960570957,2977.9998561859134,-0.11215221450787793,2760.1933925792264,-3.991807740666218,-0.024563470154386754,2770.084847583707,-0.8735284370991249,-0.1874681437063028,2769.9219429101554,-6.666759767589084,-0.3463312130265704,2872.6900837754,-14.154850286067722,-0.32164193498293236,2883.4657055362213,-14.817827936917743,-0.417975006833261,2883.369372464371,-19.255827861861146,-0.565653473822444,2976.4469164676825,-20.11468235174477,0.28504226005826383,2977.297612201563,10.136125354540175,3.5601891750622787,-15.691959781978824,-30.170730718842847,34.19335521516423,32.128467238392
6,1.081737749860622,1778271315.308574,0.01266224985010922,6562.811221994681,6570.59781612006,2628.999989318848,6575.575083290032,6581.657740624141,2630.999988555908,6552.304464040101,6559.542002628603,2763.9999378204348,6533.360301983679,6549.741004676468,2770.9999351501465,6541.9209952012725,6552.158037106092,2802.9999229431155,6549.78949322982,6559.4459760980535,2807.999921035767,6554.626929425069,6560.749005104381,2837.999909591675,6559.4085918635565,6565.415380383287,2843.9999073028566,6524.1755539933365,6537.511937219183,2877.999894332886,6512.080769936119,6530.3875492863035,2881.9998928070067,6515.95824494911,6537.986748479384,2877.999894332886,6514.631385823885,6533.597152856313,2881.9998928070067,6540.027129626799,6552.436048537458,2938.9998710632326,6549.053126814806,6558.379392976128,2944.999868774414,6518.849277134212,6537.283018002874,2970.999858856201,6537.298785035303,6553.067854632149,2977.9998561859134,-0.07576394153191138,2760.229780852202,-2.6966483862806165,0.007180941685258828,2770.116591995547,0.25536932395131706,-0.2843603566387149,2769.8250506972227,-10.112449761631321,-0.2640213068513537,2872.7723936815755,-10.790774640708294,-0.35020880890769795,2883.4371386622965,-16.133884633738884,-0.524256766645507,2883.2630907045586,-24.152157159887064,-0.6045814431274862,2976.407988498377,-21.49896402490069,0.23809670781191067,2977.250666649317,8.466737796674593,6.784699631163613,-17.348102043288037,-30.200979696497274,35.483629580662786,35.250128525402026
7,1.2253465838730335,1778271315.451804,0.011906750034540892,6561.333253354524,6570.2020218846465,2628.999989318848,6577.250256747257,6580.66139315952,2630.999988555908,6551.377343582847,6559.761663661094,2763.9999378204348,6533.305825717516,6549.630294648042,2770.9999351501465,6540.69089464193,6551.726333404652,2802.9999229431155,6548.504783445916,6559.28584680747,2807.999921035767,6554.155734022068,6559.910172081793,2837.999909591675,6560.576396063208,6565.827523917229,2843.9999073028566,6524.88890485069,6537.500330103616,2877.999894332886,6511.346622550967,6530.004655072286,2881.9998928070067,6518.131521838799,6534.959064095119,2877.999894332886,6514.719256044258,6533.96665189351,2881.9998928070067,6540.100440138154,6551.617680410795,2938.9998710632326,6546.590520218846,6557.531913072715,2944.999868774414,6517.211293822783,6535.820386954793,2970.999858856201,6536.623736895192,6551.764026347159,2977.9998561859134,-0.386359211881506,2759.9191855818526,-13.75159375527053,-0.03620821191358185,2770.073202841948,-1.2876398393317612,-0.25455310015514115,2769.8548579537064,-9.052441301643473,-0.3184275461883591,2872.717987442238,-13.014403766461385,-0.3268801416368636,2883.460467329567,-15.0591485995984,-0.40576993170351366,2883.3815775395005,-18.693548247297368,-0.4323492582369277,2976.5802206832677,-15.374373882441818,0.20917365124160509,2977.2217435927464,7.438231613159386,2.68046020209331,-17.555102176375858,-31.288781399871784,35.97713608400431,28.113748508069545
8,1.3702816043514758,1778271315.597089,0.012607375159859657,6561.211296879299,6569.104821652353,2628.999989318848,6576.332742916527,6582.137766298867,2630.999988555908,6550.908740104532,6559.985946144206,2763.9999378204348,6534.346379558027,6549.497748876732,2770.9999351501465,6542.203093193142,6550.75596937372,2802.9999229431155,6548.4421829629855,6558.425437845768,2807.999921035767,6552.899492618516,6559.489662866401,2837.999909591675,6559.390399486505,6564.553320903506,2843.9999073028566,6523.03959562307,6535.447004615338,2877.999894332886,6510.948176788825,6528.706722804658,2881.9998928070067,6516.039966989638,6536.268148057585,2877.999894332886,6514.102454381515,6533.607231714399,2881.9998928070067,6539.621650823731,6552.100667848519,2938.9998710632326,6546.780646147263,6556.770331937524,2944.999868774414,6517.773365528626,6535.789398477856,2970.999858856201,6535.7667527585045,6551.266113946878,2977.9998561859134,-0.10776722967204613,2760.197777564062,-3.83573399315098,-0.1035761263467843,2770.0058349275146,-3.683383951852987,-0.09968559884734322,2770.009725455014,-3.5450286468118954,-0.44772489165451845,2872.588690096772,-18.298895890245362,-0.34196549826674194,2883.4453819729374,-15.754120848538642,-0.47372796689984903,2883.3136195043044,-21.824329289650354,-0.5637094117645702,2976.44886052974,-20.04555135091848,0.2434505575744981,2977.256020499079,8.657121118473505,8.019744324871317,-11.638544169713674,-25.498768429613747,29.15405976624437,27.128712917568038
9,1.5189545003231615,1778271315.745876,0.012833917047828436,6561.318022740471,6570.178789314424,2628.999989318848,6574.106096219091,6579.124786808081,2630.999988555908,6550.76747103952,6559.574979368523,2763.9999378204348,6532.861063055903,6547.931008344286,2770.9999351501465,6539.061364122627,6549.745381605893,2802.9999229431155,6548.8430678240675,6558.083360332549,2807.999921035767,6553.745554298987,6558.934824403215,2837.999909591675,6557.816382920195,6563.983265580585,2843.9999073028566,6524.093115200049,6536.274149524712,2877.999894332886,6510.3069581563095,6530.052084543203,2881.9998928070067,6517.339046978634,6537.295462603538,2877.999894332886,6514.210610691689,6533.470272335483,2881.9998928070067,6538.400733563591,6549.850997952135,2938.9998710632326,6546.345089708715,6556.846462083931,2944.999868774414,6516.871413943822,6535.018158755387,2970.999858856201,6534.948734602805,6550.192717853105,2977.9998561859134,-0.25263170902323284,2760.052913084711,-8.991861783931508,-0.0966777588619242,2770.0127332949996,-3.4380635582070145,-0.3637975185360512,2769.7456135353254,-12.937401588211001,-0.11101847209427347,2872.9253965163325,-4.537419072770283,-0.2940560807843865,2883.49329139042,-13.546966160051978,-0.4730764753087094,2883.3142709958956,-21.794315509574172,-0.4581076954001214,2976.554462246105,-16.290345949074357,0.229588677623757,2977.2421586191285,8.164191569003966,6.341514944096189,-12.324878528668593,-26.32161045591692,29.748018749585096,31.332984273759955
