batch,time_s,timestamp_epoch_s,acq_seconds,peak_01,peak_01_ref,peak_01_freq_mhz,peak_02,peak_02_ref,peak_02_freq_mhz,peak_03,peak_03_ref,peak_03_freq_mhz,peak_04,peak_04_ref,peak_04_freq_mhz,peak_05,peak_05_ref,peak_05_freq_mhz,peak_06,peak_06_ref,peak_06_freq_mhz,peak_07,peak_07_ref,peak_07_freq_mhz,peak_08,peak_08_ref,peak_08_freq_mhz,peak_09,peak_09_ref,peak_09_freq_mhz,peak_10,peak_10_ref,peak_10_freq_mhz,peak_11,peak_11_ref,peak_11_freq_mhz,peak_12,peak_12_ref,peak_12_freq_mhz,peak_13,peak_13_ref,peak_13_freq_mhz,peak_14,peak_14_ref,peak_14_freq_mhz,peak_15,peak_15_ref,peak_15_freq_mhz,peak_16,peak_16_ref,peak_16_freq_mhz,delta_f_mhz_b01,delta_B_proj_uT_b01,delta_f_mhz_b02,delta_B_proj_uT_b02,delta_f_mhz_b03,delta_B_proj_uT_b03,delta_f_mhz_b04,delta_B_proj_uT_b04,delta_f_mhz_b05,delta_B_proj_uT_b05,delta_f_mhz_b06,delta_B_proj_uT_b06,delta_f_mhz_b07,delta_B_proj_uT_b07,delta_f_mhz_b08,delta_B_proj_uT_b08,delta_Bx_uT,delta_By_uT,delta_Bz_uT,delta_B_total_uT,B_residual_uT,B_status,B_rank,B_condition_number
0,0.005705833667889237,1778432945.095565,0.010388582944869995,6623.974449063178,6632.949322981936,2761.9604501994295,6627.047429470917,6635.965565302443,2771.962121850904,6636.599640859492,6639.330154048354,2798.4373346124594,6642.112447657181,6644.665241311855,2810.379444817314,6641.900435553382,6646.200475288077,2835.2166222238043,6645.117620808754,6648.075659443103,2847.431062932534,6618.197340831983,6624.788310358529,2869.6505139619358,6623.464192927224,6630.806672372161,2875.3325768384166,6595.235770394596,6610.083910505242,2878.22715963926,6593.7172142922645,6609.879036892135,2882.898906285811,6630.983018002873,6642.100941406609,2902.8856162839447,6644.981914600971,6648.730118898432,2920.797167142933,6642.669980438304,6644.251269981966,2938.0571935918824,6643.925657914847,6648.317338081119,2950.2659411559443,6623.1501940887,6633.309565363573,2970.3073734000973,6627.746949598068,6637.341055108965,2980.362455548231,-0.2158089566439375,-7.691491354711339,-0.0636363649945686,-2.2622012703701695,-1.1740933916817664,-41.72535285267045,0.16591386203991157,6.882655260948812,-0.14530050729029956,-5.988481439017295,-4.654926663461782,-165.3541305641782,0.11070505037197263,3.935002321272101,-0.15364059588959855,-5.475764569038717,0.13262726055651536,-7.145606996333958,0.5857155876894862,7.17079856682378,167.1052739039259,ok,3,16.549168718162406
1,0.20951622957363725,1778432945.29936,0.010358041152358055,6625.032096463612,6631.266749701991,2761.9604501994295,6626.487686829476,6635.421242778984,2771.962121850904,6636.101017819482,6642.486280832595,2798.4373346124594,6643.188125439374,6647.192094324052,2810.379444817314,6642.678508115047,6646.298023963076,2835.2166222238043,6647.741472323256,6648.953932206498,2847.431062932534,6617.929111776752,6625.175118439956,2869.6505139619358,6624.360923984474,6632.778193294005,2875.3325768384166,6597.916075740441,6611.626039979215,2878.22715963926,6595.373727725647,6612.102889934897,2882.898906285811,6630.3613992725495,6642.798988293546,2902.8856162839447,6643.594476877464,6647.852714185286,2920.797167142933,6641.252225142892,6645.11011247975,2938.0571935918824,6643.3925436317495,6647.661819543357,2950.2659411559443,6626.4561879145385,6632.747339303724,2970.3073734000973,6629.410424244277,6636.689042393863,2980.362455548231,-0.09223988056714878,-3.2874550480885305,-0.3001345350074031,-10.66944547246936,-1.400112788162104,-49.75771138266878,0.17944529949419077,7.4439840012833045,-0.10425921792119866,-4.296987003081441,-5.023036935886415,-178.4302880311255,-0.11654112802713917,-4.142445243189768,-0.08942328026131525,-3.187053700663754,3.003839703917637,-8.684187874720209,-3.480363679870478,9.826042100175995,180.1200529769311,ok,3,16.549168718162406
2,0.3850974796805531,1778432945.474804,0.010083124972879887,6625.391192652138,6632.252564416053,2761.9604501994295,6626.9096585872785,6634.2180777577405,2771.962121850904,6636.054337194731,6641.0985405141055,2798.4373346124594,6642.694834489715,6647.148187486628,2810.379444817314,6643.693954213406,6645.929600819147,2835.2166222238043,6645.103210868967,6647.306339212031,2847.431062932534,6618.791354647432,6626.7225066479195,2869.6505139619358,6625.786545221139,6632.974742488615,2875.3325768384166,6596.589144787113,6610.475598312803,2878.22715963926,6591.864443561452,6610.978772503591,2882.898906285811,6631.295610844516,6641.609505761529,2902.8856162839447,6645.896287862578,6649.7204587828965,2920.797167142933,6642.694420331938,6645.175200965859,2938.0571935918824,6644.877788305775,6649.598089678149,2950.2659411559443,6626.219341626677,6633.012065592811,2970.3073734000973,6628.424543815141,6635.439962404866,2980.362455548231,-0.1931242705371255,-6.883002820276888,-0.10818058147471019,-3.8456981140007063,-0.8960224314781916,-31.843167146850647,0.11738789393299769,4.869637749468413,-0.05103114127718185,-2.103220752971693,-4.254793159247822,-151.1404312983572,0.05653434935371266,2.0095090078635516,-0.12095060655890165,-4.310690427645061,2.4606479877387253,-4.59511004697271,-1.524997772264853,5.430970729875548,151.57637632937892,ok,3,16.549168718162406
3,0.5629019170301035,1778432945.652938,0.010742834070697427,6626.352503285755,6632.393546168659,2761.9604501994295,6627.655822661001,6636.44992053061,2771.962121850904,6637.041053580707,6643.038290491182,2798.4373346124594,6644.744016871962,6648.132761255617,2810.379444817314,6642.784549316869,6647.671114405355,2835.2166222238043,6647.985131582968,6649.034274230522,2847.431062932534,6622.153429409787,6626.210289757619,2869.6505139619358,6624.465866369164,6633.92916220925,2875.3325768384166,6598.724450591435,6611.312738026104,2878.22715963926,6595.626827031818,6611.1692346486525,2882.898906285811,6632.12309502705,6641.252267934103,2902.8856162839447,6644.479993581319,6649.906087049548,2920.797167142933,6643.2948711678955,6646.116659534799,2938.0571935918824,6645.162337622642,6649.370552006602,2950.2659411559443,6627.085301219549,6634.056424794449,2970.3073734000973,6628.688042913471,6637.652489531436,2980.362455548231,-0.08982135563986048,-3.201258145704709,-0.3244620272962996,-11.534260487682111,-1.7035363591740984,-60.54088728161324,0.31689360895026913,13.145794076434408,-0.1057865246124788,-4.359934118291057,-2.986764933402963,-106.0970353494544,-0.02421378082592635,-0.8606769378329697,-0.047900699211271706,-1.7071852009851496,11.36955807757421,-16.56828516529325,-11.622415073814047,23.213260355792965,121.10855122478954,ok,3,16.549168718162406
4,0.7755293335067108,1778432945.865317,0.010245166951790452,6626.360867438945,6635.0824678301815,2761.9604501994295,6626.291120824036,6634.5470840847265,2771.962121850904,6636.251014762967,6639.916190359751,2798.4373346124594,6641.503829813245,6645.564170003362,2810.379444817314,6644.42228199407,6646.388454014732,2835.2166222238043,6645.974499495674,6650.6622550967395,2847.431062932534,6619.452376440383,6626.294389766788,2869.6505139619358,6624.131602836445,6633.05056392701,2875.3325768384166,6596.950759543967,6610.320202035638,2878.22715963926,6593.552272518874,6611.514756854233,2882.898906285811,6629.609229146927,6641.099585842223,2902.8856162839447,6644.69015955008,6649.735133111228,2920.797167142933,6642.10836568145,6645.352512455298,2938.0571935918824,6643.0810327964045,6647.418719625884,2950.2659411559443,6624.450981141303,6632.513456307117,2970.3073734000973,6627.8464101231775,6636.231093926706,2980.362455548231,-0.23393218499222912,-8.337408263481398,-0.0022961043184884368,-0.08162392849796349,-0.3119109884928117,-11.08480479124897,0.20886069438186064,8.664231784604784,-0.06636895882532093,-2.7353605673121533,-4.235682693231173,-150.46158182954318,-0.05188194285847533,-1.8441395843661827,-0.11692599160746228,-4.167252791078284,4.563468161958444,-6.713577515667646,-1.9227814512980894,8.342329005352314,146.14305025582235,ok,3,16.549168718162406
5,0.977096188114956,1778432946.067039,0.010555957909673452,6624.790145795763,6631.7913836843245,2761.9604501994295,6626.023516826115,6634.904358590335,2771.962121850904,6635.563240822814,6640.529952318367,2798.4373346124594,6642.627704251613,6646.463885747469,2810.379444817314,6643.8578567717095,6646.172783262524,2835.2166222238043,6646.623049179327,6648.431404162972,2847.431062932534,6616.998329614573,6624.833235015435,2869.6505139619358,6624.5509704435,6632.767183727114,2875.3325768384166,6596.348282238592,6609.854719259101,2878.22715963926,6592.485405141058,6611.339065317725,2882.898906285811,6631.777542256319,6641.4303557783405,2902.8856162839447,6643.5546076963055,6648.740544670967,2920.797167142933,6642.442661307576,6646.486369471529,2938.0571935918824,6644.570960051348,6647.817765993214,2950.2659411559443,6624.949569031391,6633.672476082769,2970.3073734000973,6628.451878228443,6637.134631842772,2980.362455548231,-0.12894245994387357,-4.595545205057536,-0.16603832097276158,-5.902475741139048,-0.9966932260109207,-35.42084201802933,0.15378954641552825,6.37969858396246,-0.04821012694824161,-1.9869541805893387,-3.3339904165731116,-118.43131514165806,-0.23092017377482482,-8.208039441555075,-0.13189165053836616,-4.700630212922229,1.5706953205688359,-4.703492449472095,-1.403479589695793,5.153608441761026,121.60060358351215,ok,3,16.549168718162406
6,1.1513225211529061,1778432946.241365,0.010755208088085055,6623.281104624507,6633.157161414556,2761.9604501994295,6626.44664547483,6635.278868783811,2771.962121850904,6633.6870357917915,6639.173406791577,2798.4373346124594,6642.190900754959,6647.133687379649,2810.379444817314,6643.987018980957,6647.552327536143,2835.2166222238043,6645.437569153651,6648.905764587218,2847.431062932534,6617.983448971482,6625.037879389919,2869.6505139619358,6623.121387963445,6632.308756915365,2875.3325768384166,6595.103444692361,6609.172456215422,2878.22715963926,6592.733748509949,6610.236580371061,2882.898906285811,6630.390955772227,6640.9483143319985,2902.8856162839447,6642.179359354464,6647.757855243452,2920.797167142933,6641.316697741236,6643.358475715987,2938.0571935918824,6643.15478650243,6647.708241892595,2950.2659411559443,6624.595085123941,6633.1806064125685,2970.3073734000973,6629.039910444112,6636.433033285447,2980.362455548231,-0.26002966057193416,-9.26752956577875,-0.10332568950057287,-3.673112159533622,-0.9097838144239913,-32.3322241189981,0.21065947266251833,8.738851051762046,-0.0942781360119227,-3.885622136779968,-3.567357378952243,-126.72106790392975,0.08240175604206333,2.928963947109207,-0.17946070909193432,-6.395995711226644,4.3755762071043165,-8.897377165930724,-3.589416010489198,10.544804164770392,125.83053577794098,ok,3,16.549168718162406
7,1.3141308545600623,1778432946.4038029,0.01001387508586049,6623.309922975823,6632.45236574258,2761.9604501994295,6626.341796313844,6636.146356634165,2771.962121850904,6634.324103676988,6640.4826710884245,2798.4373346124594,6641.659527157135,6646.211457346333,2810.379444817314,6642.921016596876,6645.6483571232075,2835.2166222238043,6645.134777027233,6648.7365192407615,2847.431062932534,6619.072072622797,6625.51608185347,2869.6505139619358,6624.1259926032335,6632.647939908917,2875.3325768384166,6595.006096219091,6608.829755173152,2878.22715963926,6592.2983555949495,6609.870590213039,2882.898906285811,6629.920973805665,6641.161946388727,2902.8856162839447,6644.993190084664,6648.852376440383,2920.797167142933,6640.364173059877,6644.014515389553,2938.0571935918824,6642.935748998991,6647.9513937708225,2950.2659411559443,6625.991952196106,6632.385805544518,2970.3073734000973,6628.867056881742,6637.038013876579,2980.362455548231,-0.18362462225574913,-6.544432708242303,-0.21719001021667297,-7.720860817015598,-0.7037343886223388,-25.00956558299434,0.20889817545265635,8.665786623277855,-0.08668623670897216,-3.5727261331082527,-4.661228894486673,-165.57800088632854,-0.026260449642112466,-0.9334256201695666,-0.05685041666873636,-2.0261539310446635,6.248876690045564,-9.030901032021749,-3.9734014136286397,11.678765008826591,160.98491508411027,ok,3,16.549168718162406
8,1.4753123335540295,1778432946.5649862,0.010018832981586456,6623.536189137146,6630.52618822019,2761.9604501994295,6624.942899715745,6634.958385548797,2771.962121850904,6636.667628450041,6640.447461564324,2798.4373346124594,6640.461727847907,6646.585013907144,2810.379444817314,6642.343416266772,6647.243440718892,2835.2166222238043,6646.73608980041,6647.967200537947,2847.431062932534,6620.457485405141,6625.532362380414,2869.6505139619358,6624.648213467005,6632.6399303114595,2875.3325768384166,6597.994169697709,6612.465777730232,2878.22715963926,6593.583257939298,6610.385837637926,2882.898906285811,6629.334420943242,6639.518525537182,2902.8856162839447,6643.021339059205,6647.998396857904,2920.797167142933,6640.709050340802,6643.06635541156,2938.0571935918824,6642.47388360791,6645.5317143992415,2950.2659411559443,6624.4901794174275,6631.325711403857,2970.3073734000973,6627.240784607391,6636.325408808877,2980.362455548231,-0.0776209478237494,-2.7664322112260202,0.20656150293329986,7.343029325844828,-1.6678043407375855,-59.271029970461846,0.23615590805369935,9.796527444939729,-0.12069088885559301,-4.9742093902411995,-3.6720972173729103,-130.44167752242848,-0.08907653453964237,-3.166218424603219,-0.03737865525615892,-1.3321786140237457,2.1866133598080086,-7.528707855672157,0.04749427595704403,7.839960182781492,141.33847957442129,ok,3,16.549168718162406
9,1.6594602086115628,1778432946.7493708,0.01049208315089345,6625.406680013449,6632.307861356482,2761.9604501994295,6625.341016902527,6633.87387749488,2771.962121850904,6637.084086254852,6640.368716569367,2798.4373346124594,6642.816850566984,6646.922382859064,2810.379444817314,6643.4890332243185,6647.458079897301,2835.2166222238043,6645.794288901794,6648.859686095913,2847.431062932534,6619.376700186447,6625.513196503346,2869.6505139619358,6625.381822905522,6633.2852018828125,2875.3325768384166,6596.970577986979,6611.853725891738,2878.22715963926,6595.8682412812905,6610.948326558059,2882.898906285811,6631.08121771556,6643.291449399394,2902.8856162839447,6644.3193309288745,6649.073897362228,2920.797167142933,6642.106554696335,6644.77543631751,2938.0571935918824,6642.952894519668,6646.301823211174,2950.2659411559443,6624.55214720176,6633.3014778249835,2970.3073734000973,6627.878819879574,6636.131240639423,2980.362455548231,-0.1399744778778511,-4.988729398539397,0.043329187612642026,1.5403039326616506,-1.0809591700644379,-38.41551541795373,0.1987953254967726,8.246687022168498,-0.17217534224815456,-7.096113155678978,-4.693641257564347,-166.72936555944105,-0.09099946906519055,-3.234568981296539,-0.15072109796849506,-5.371713402202264,-2.2568960470062125,-7.0274247155508265,2.4834805064040606,7.787551176423552,167.88762602086774,ok,3,16.549168718162406
