batch,time_s,timestamp_epoch_s,acq_seconds,peak_01,peak_01_ref,peak_01_freq_mhz,peak_01_spike_sig,peak_01_spike_ref,peak_02,peak_02_ref,peak_02_freq_mhz,peak_02_spike_sig,peak_02_spike_ref,peak_03,peak_03_ref,peak_03_freq_mhz,peak_03_spike_sig,peak_03_spike_ref,peak_04,peak_04_ref,peak_04_freq_mhz,peak_04_spike_sig,peak_04_spike_ref,peak_05,peak_05_ref,peak_05_freq_mhz,peak_05_spike_sig,peak_05_spike_ref,peak_06,peak_06_ref,peak_06_freq_mhz,peak_06_spike_sig,peak_06_spike_ref,peak_07,peak_07_ref,peak_07_freq_mhz,peak_07_spike_sig,peak_07_spike_ref,peak_08,peak_08_ref,peak_08_freq_mhz,peak_08_spike_sig,peak_08_spike_ref,peak_09,peak_09_ref,peak_09_freq_mhz,peak_09_spike_sig,peak_09_spike_ref,peak_10,peak_10_ref,peak_10_freq_mhz,peak_10_spike_sig,peak_10_spike_ref,peak_11,peak_11_ref,peak_11_freq_mhz,peak_11_spike_sig,peak_11_spike_ref,peak_12,peak_12_ref,peak_12_freq_mhz,peak_12_spike_sig,peak_12_spike_ref,peak_13,peak_13_ref,peak_13_freq_mhz,peak_13_spike_sig,peak_13_spike_ref,peak_14,peak_14_ref,peak_14_freq_mhz,peak_14_spike_sig,peak_14_spike_ref,peak_15,peak_15_ref,peak_15_freq_mhz,peak_15_spike_sig,peak_15_spike_ref,peak_16,peak_16_ref,peak_16_freq_mhz,peak_16_spike_sig,peak_16_spike_ref,delta_f_mhz_b01,delta_B_proj_uT_b01,delta_f_mhz_b02,delta_B_proj_uT_b02,delta_f_mhz_b03,delta_B_proj_uT_b03,delta_f_mhz_b04,delta_B_proj_uT_b04,delta_f_mhz_b05,delta_B_proj_uT_b05,delta_f_mhz_b06,delta_B_proj_uT_b06,delta_f_mhz_b07,delta_B_proj_uT_b07,delta_f_mhz_b08,delta_B_proj_uT_b08,delta_Bx_uT,delta_By_uT,delta_Bz_uT,delta_B_total_uT,B_residual_uT,B_status,B_rank,B_condition_number
0,0.006179103977046907,1778780005.224446,0.011499792104586959,6870.973148516062,6877.427253415655,2761.97317656762,False,False,6875.257801754441,6879.16504416664,2772.3305332749346,False,False,6888.056907723813,6888.421501054497,2798.513284819478,False,False,6892.662142005685,6892.836306812972,2813.355335027617,False,False,6895.977815814408,6892.016514350338,2827.9028165874015,False,False,6898.10464590274,6895.848508420699,2842.4409458018345,False,False,6893.668977901398,6894.405191490662,2861.3433521351694,False,False,6891.519489867654,6890.974041018431,2877.7674315404834,False,False,6892.945265458325,6893.0721673747585,2877.0888801495935,False,False,6887.358906684598,6887.255066173549,2890.5514287118735,False,False,6891.79402451325,6890.917688052083,2911.2404638333373,False,False,6894.68774490326,6897.85641256839,2924.98457584027,False,False,6892.0114328942145,6889.825604425833,2937.185655134742,False,False,6893.558708011126,6891.489083656816,2949.1042516421458,False,False,6878.268430785218,6879.712947397376,2970.054139700468,False,False,6872.478052694319,6876.994725983434,2980.00192267851,False,False,-0.28812613054539027,-10.268256432536475,-0.3666113472331508,-13.030862398598256,-0.17383301116936992,-6.176053207971354,2.014560595020864,75.21518923616526,-1.3359065536036958,-49.71834885232909,0.43715592982638213,15.525690226151763,-0.34363922947152636,-12.212817955749687,0.08591353619698898,3.061773400713096,30.7979843351644,2.0169561246665415,31.934672560666254,44.41179193271571,61.991896920778416,ok,3,9.735703548741913
1,0.21160752093419433,1778780005.430759,0.013269207905977964,6869.435247730538,6875.304454870557,2761.97317656762,False,False,6876.182062841947,6879.5736100498225,2772.3305332749346,False,False,6886.454760522052,6887.536563560228,2798.513284819478,False,False,6890.965956536357,6891.341356175688,2813.355335027617,False,False,6892.058660635144,6891.633968579025,2827.9028165874015,False,False,6894.987983311427,6893.535123941682,2842.4409458018345,False,False,6890.607445670446,6891.257217960083,2861.3433521351694,False,False,6888.440822813829,6887.774421554544,2877.7674315404834,False,False,6891.302811993764,6890.391675581503,2877.0888801495935,False,False,6885.761807317297,6886.082117859218,2890.5514287118735,False,False,6893.329408258704,6891.365076260049,2911.2404638333373,False,False,6894.648508420699,6894.262993245102,2924.98457584027,False,False,6891.947589937952,6888.402368799095,2937.185655134742,False,False,6891.2364963169,6891.863124675246,2949.1042516421458,False,False,6878.238402053978,6878.342022495951,2970.054139700468,False,False,6870.561420668155,6876.837486627747,2980.00192267851,False,False,-0.2848254484226782,-10.15062652380816,-0.4514274603126262,-16.04557295533318,-0.8341615844435226,-29.636639755088467,2.0227661142853814,75.52154869032468,-1.1663145558228543,-43.40665430641503,0.05769885681141387,2.0491877523264392,0.1796674184753132,6.38531717636828,0.23295224315925048,8.301916244095185,27.009874337255507,-13.026166767555656,21.911647766256944,37.13939472047193,74.97938247249495,ok,3,9.735703548741913
2,0.35592185391578823,1778780005.5743701,0.011861208127811551,6872.127300791637,6873.331127548369,2761.97317656762,False,False,6874.684199345907,6879.718614176117,2772.3305332749346,False,False,6886.421404774276,6887.346908335116,2798.513284819478,False,False,6893.87756059541,6895.262534767858,2813.355335027617,False,False,6894.628832105633,6893.015517926459,2827.9028165874015,False,False,6897.2707185866675,6893.998546627135,2842.4409458018345,False,False,6891.6523932512155,6892.186097441698,2861.3433521351694,False,False,6890.785580890668,6891.1079866735945,2877.7674315404834,False,False,6893.659507289788,6893.123883607909,2877.0888801495935,False,False,6888.227024177031,6888.622385915578,2890.5514287118735,False,False,6893.343096860959,6893.052998441177,2911.2404638333373,False,False,6895.286345019408,6894.04908457377,2924.98457584027,False,False,6889.672418008986,6887.924334443868,2937.185655134742,False,False,6890.135047528808,6889.867593300119,2949.1042516421458,False,False,6877.864254057524,6877.796110584711,2970.054139700468,False,False,6870.873866797077,6876.438223247853,2980.00192267851,False,False,0.024492863056060767,0.8728781320547765,-0.26005051042735106,-9.243255681087742,-0.9863877329120925,-35.045030176804254,1.764830430909395,65.89131900955228,-1.2011949429731346,-44.704795446425024,-0.3314067886011268,-11.769985919459764,-0.16758923910960477,-5.956062908579533,0.20735386788921834,7.389645279906852,19.114946545515267,-13.775771671943428,20.65270165609081,31.331887148573117,74.1626140309632,ok,3,9.735703548741913
3,0.5129031669348478,1778780005.731873,0.012907249853014946,6869.9096585872785,6874.724931992542,2761.97317656762,False,False,6875.960658067672,6878.912675367546,2772.3305332749346,False,False,6886.961795091238,6886.837439251765,2798.513284819478,False,False,6892.87127487239,6894.512293303176,2813.355335027617,False,False,6896.752274047132,6892.143295534431,2827.9028165874015,False,False,6894.395074426138,6894.047423357888,2842.4409458018345,False,False,6891.7969740501885,6893.049480392457,2861.3433521351694,False,False,6891.157720756794,6889.8632668031905,2877.7674315404834,False,False,6893.09793073937,6892.395439679678,2877.0888801495935,False,False,6888.096336766818,6886.701618424672,2890.5514287118735,False,False,6891.624222881073,6890.408391661827,2911.2404638333373,False,False,6895.717865329951,6893.818439954763,2924.98457584027,False,False,6890.983109698323,6887.934747990342,2937.185655134742,False,False,6891.161692697986,6890.025401167589,2949.1042516421458,False,False,6876.942814133325,6879.333774490327,2970.054139700468,False,False,6872.644175810741,6874.491200293426,2980.00192267851,False,False,-0.2546844037339695,-9.076458153787845,-0.04544721757116194,-1.6153794557601104,0.4431906172969266,15.745966863754061,2.3098945279217484,86.24171169764072,-1.3895351900047546,-51.71424238685062,-0.2907355155662962,-10.325536597926364,-0.11187060900499478,-3.975842293902185,-0.08556753003104886,-3.0494424861418565,34.36168810375391,-10.053199459936781,43.616689703935606,56.428787417862694,50.900549214115756,ok,3,9.735703548741913
4,0.6567727499641478,1778780005.8758342,0.013089499901980162,6871.174747073387,6874.75140141211,2761.97317656762,False,False,6874.490636366415,6879.36715621848,2772.3305332749346,False,False,6886.121291683223,6888.314561237278,2798.513284819478,False,False,6892.788152948009,6894.220266222454,2813.355335027617,False,False,6894.555730965553,6890.302750863467,2827.9028165874015,False,False,6896.445450377479,6895.032394473821,2842.4409458018345,False,False,6893.126185163676,6892.47772411896,2861.3433521351694,False,False,6891.684864137909,6891.722503591404,2877.7674315404834,False,False,6894.711848580249,6892.9612907662695,2877.0888801495935,False,False,6886.327429165266,6887.7748968426195,2890.5514287118735,False,False,6892.796099886909,6889.408857780359,2911.2404638333373,False,False,6894.203686157045,6892.564032460189,2924.98457584027,False,False,6889.047313323349,6888.654945441207,2937.185655134742,False,False,6891.149711159337,6890.772847449337,2949.1042516421458,False,False,6876.918154170615,6877.236759177186,2970.054139700468,False,False,6870.202040223737,6874.036036311397,2980.00192267851,False,False,-0.09960738543555596,-3.549814014753724,-0.4605790574266538,-16.370858038897335,0.1003173818020991,3.564141721565664,1.5554551905696092,58.07413130001036,-0.9382870947965812,-34.92017085842803,0.08386639496649587,2.9785336988360993,-0.35668172863817904,-12.676343811791522,0.106989496056631,3.812875219462473,19.041908845392364,-3.622764515284269,20.276551782159686,28.050976228716852,46.02294384244329,ok,3,9.735703548741913
5,0.8049671044573188,1778780006.02322,0.011472125072032213,6872.509145092765,6876.183633890638,2761.97317656762,False,False,6874.5741755050885,6879.224650793166,2772.3305332749346,False,False,6887.948396857903,6888.460624446008,2798.513284819478,False,False,6894.26810220986,6894.335259956599,2813.355335027617,False,False,6894.151386129534,6891.873212702876,2827.9028165874015,False,False,6894.041437173335,6892.327661460402,2842.4409458018345,False,False,6891.513966745118,6890.063925482165,2861.3433521351694,False,False,6890.467694165114,6887.845309777791,2877.7674315404834,False,False,6894.341348534402,6891.553273527525,2877.0888801495935,False,False,6886.021180120426,6887.353398844638,2890.5514287118735,False,False,6890.77726869823,6889.942970015587,2911.2404638333373,False,False,6894.363214842437,6892.874692056119,2924.98457584027,False,False,6888.887916068098,6886.44298071339,2937.185655134742,False,False,6889.755911299934,6890.258005012685,2949.1042516421458,False,False,6876.39961793563,6878.564915793014,2970.054139700468,False,False,6872.304273007916,6875.722473026256,2980.00192267851,False,False,-0.11544373402189483,-4.114190761603301,-0.4084449010248189,-14.517797506356677,-0.44960459053347834,-15.973846710723127,1.9893670994899217,74.27457045380459,-0.8313067872216855,-30.93869158655075,-0.28626425388462373,-10.166738743308954,0.021708949077699297,0.771528452977601,-0.00035396765749169467,-0.012614644983717681,19.107566159986956,-12.447858764458246,23.431936617839142,32.69715470863802,64.68623646966293,ok,3,9.735703548741913
6,0.9579499789979309,1778780006.1765509,0.012168957851827145,6873.21713176636,6874.507629061345,2761.97317656762,False,False,6876.144385182017,6880.173620747623,2772.3305332749346,False,False,6889.00036525354,6890.130242687288,2798.513284819478,False,False,6894.91753216982,6894.3858192988355,2813.355335027617,False,False,6894.978182596204,6894.91870892808,2827.9028165874015,False,False,6897.472852034111,6896.923472506649,2842.4409458018345,False,False,6894.582308891402,6893.0320597854325,2861.3433521351694,False,False,6891.3474890729585,6890.05837790751,2877.7674315404834,False,False,6894.558906684598,6895.287275728217,2877.0888801495935,False,False,6888.327390958829,6889.245233364918,2890.5514287118735,False,False,6895.043489623131,6892.014888284379,2911.2404638333373,False,False,6896.489372497478,6894.545473301342,2924.98457584027,False,False,6892.228848916466,6890.198590946602,2937.185655134742,False,False,6894.261854693279,6891.8331861111965,2949.1042516421458,False,False,6878.8222651832375,6879.996384142801,2970.054139700468,False,False,6874.266904055995,6877.721343643976,2980.00192267851,False,False,-0.029029147492358198,-1.0345425106193171,-0.6082140485006,-21.618407708109853,-0.7041642549048531,-25.01800938836973,1.6547444688531354,61.78117385493552,-1.2870970021468664,-47.901806894278145,-0.01835362832167013,-0.6518331981939397,-0.41002739619259265,-14.572230167874679,0.04833377852518792,1.7225117716614808,22.409195123859018,-6.665097035871249,28.90621046959041,37.1774736676529,68.04942889337288,ok,3,9.735703548741913
7,1.1066556874429807,1778780006.325265,0.012183875078335404,6872.693981722039,6875.252570529083,2761.97317656762,False,False,6875.328861142525,6879.004989760675,2772.3305332749346,False,False,6885.735235504477,6888.383927316075,2798.513284819478,False,False,6893.967993703579,6892.5853317846995,2813.355335027617,False,False,6893.357123208118,6889.707068190849,2827.9028165874015,False,False,6896.239681205489,6893.300330103617,2842.4409458018345,False,False,6890.858011125715,6890.074773053764,2861.3433521351694,False,False,6888.997751933244,6888.303651007122,2877.7674315404834,False,False,6893.309096188525,6892.521034935967,2877.0888801495935,False,False,6884.161860806307,6884.9247302625545,2890.5514287118735,False,False,6890.068773114894,6889.832047559374,2911.2404638333373,False,False,6895.71407983617,6893.264344224715,2924.98457584027,False,False,6890.881948222636,6886.177008894459,2937.185655134742,False,False,6889.3420011003445,6887.9998487025105,2949.1042516421458,False,False,6875.866618271846,6878.195922609042,2970.054139700468,False,False,6869.29669285081,6876.736699575145,2980.00192267851,False,False,-0.10849219985187576,-3.8664515672366506,-0.9976025103402792,-35.458861649672585,-0.41387358383264133,-14.70437207483973,1.694775939018457,63.2757799796301,-1.1292455008827849,-42.02705765710982,-0.5263703156265378,-18.6941590107333,0.0754791050805651,2.6825009799651625,0.18261466061209536,6.5079932126220505,22.608851483481708,-26.09815690350819,22.577020557435098,41.25525198581524,67.54907791360475,ok,3,9.735703548741913
8,1.2548310625134036,1778780006.473654,0.012612208956852555,6870.55750374423,6876.658983097472,2761.97317656762,False,False,6876.149345905798,6880.5135556438545,2772.3305332749346,False,False,6886.964902038696,6887.38394107039,2798.513284819478,False,False,6895.551447259835,6892.6476587095385,2813.355335027617,False,False,6895.670269278967,6893.203835926276,2827.9028165874015,False,False,6896.23245560412,6894.218792982242,2842.4409458018345,False,False,6893.149044839074,6891.945809517987,2861.3433521351694,False,False,6888.469625882569,6889.316479200415,2877.7674315404834,False,False,6893.874901427393,6893.535006265856,2877.0888801495935,False,False,6887.805792095851,6889.071742519179,2890.5514287118735,False,False,6895.255509368219,6892.521261118073,2911.2404638333373,False,False,6896.417324326803,6895.419896384143,2924.98457584027,False,False,6890.6273420545895,6888.09818595837,2937.185655134742,False,False,6890.270041568603,6892.765990158022,2949.1042516421458,False,False,6877.311341198767,6880.690977167833,2970.054139700468,False,False,6873.611192957789,6876.809679982884,2980.00192267851,False,False,-0.2485125999724957,-8.856507038787804,-0.8810295299549191,-31.315382517723993,-0.47654026319601817,-16.930834951548455,1.2370937760411795,46.18785987266662,-1.1229089240630477,-41.791229682463374,0.08203508688875143,2.9134943845232373,0.2896369021806332,10.293594142436083,-0.06833949078238204,-2.435472270819047,25.672386019047863,-16.443481799538674,30.92148994077191,43.42347334979115,70.94032602442682,ok,3,9.735703548741913
9,1.4078211670275778,1778780006.6261508,0.011626250110566616,6870.208124216768,6874.297554788031,2761.97317656762,False,False,6873.020885166732,6878.139734694501,2772.3305332749346,False,False,6886.773226457194,6886.3557661154755,2798.513284819478,False,False,6890.654988232416,6891.370281505027,2813.355335027617,False,False,6893.633803527217,6892.381136717915,2827.9028165874015,False,False,6894.744284317023,6893.45155882263,2842.4409458018345,False,False,6891.2453220038515,6891.569751199681,2861.3433521351694,False,False,6890.155530763824,6889.372237674604,2877.7674315404834,False,False,6895.709563835316,6893.648998991351,2877.0888801495935,False,False,6888.147739707185,6888.025627349697,2890.5514287118735,False,False,6893.805940336827,6891.881393465172,2911.2404638333373,False,False,6895.3282039918095,6894.552981630346,2924.98457584027,False,False,6888.37907662683,6887.854509887826,2937.185655134742,False,False,6891.466633554422,6889.169793990892,2949.1042516421458,False,False,6876.18886817251,6877.947357642815,2970.054139700468,False,False,6870.556229177493,6877.572960540392,2980.00192267851,False,False,-0.1128490511899261,-4.02172129821474,-0.1491962243258853,-5.303042266022936,-0.5955639984860776,-21.159588266111253,1.9740889339517766,73.70414824115274,-1.084464686757845,-40.36045295893753,-0.008459263235345642,-0.30043261814065125,-0.5873829783241699,-20.875385489634702,0.18956403080982845,6.755653799823828,22.312781962559797,2.3664294724444055,21.80304392339067,31.286306136744397,59.56024666245889,ok,3,9.735703548741913
