block_index,point_in_block,point_index,transition_index,transition_center_mhz,linewidth_mhz,frequency_mhz,slope_per_mhz
1,0,0,0,2722.8836222064697,10.611418545244659,2719.5233765329285,-0.0011798389923117756
1,1,1,0,2722.8836222064697,10.611418545244659,2725.9999900817875,0.0013525478238949394
2,0,2,1,2763.525662707555,8.220830687656226,2759.999977111817,-0.0022245294772546675
2,1,3,1,2763.525662707555,8.220830687656226,2766.8724627731613,0.0017470611351310093
3,0,4,2,2839.5787587818977,11.689355554962832,2833.734081004416,-0.0006337151769496767
3,1,5,2,2839.5787587818977,11.689355554962832,2845.4234365593793,0.0005149822104088714
4,0,6,3,2874.587088579379,9.401749447194398,2869.8862138557815,-0.0005976746307993834
4,1,7,3,2874.587088579379,9.401749447194398,2879.287963302976,0.0004989480829207391
5,0,8,4,2897.1626214499943,12.569127885500174,2890.878057507244,-0.0006604470063106295
5,1,9,4,2897.1626214499943,12.569127885500174,2903.4471853927444,0.000565829416398708
6,0,10,5,2929.6712194110964,11.556581145992446,2923.8929288381,-0.0005079536058634357
6,1,11,5,2929.6712194110964,11.556581145992446,2935.449509984093,0.0004335903325977019
7,0,12,6,2993.8776070951267,8.373053984040558,2990.669085619459,-0.0017694061580974935
7,1,13,6,2993.8776070951267,8.373053984040558,2996.9998867034915,0.0017199497155242981
8,0,14,7,3024.783535801487,9.243736350320514,3021.55901654996,-0.0011790242760457397
8,1,15,7,3024.783535801487,9.243736350320514,3027.9998748779303,0.0012178043513876382
