batch,time_s,timestamp_epoch_s,acq_seconds,peak_01,peak_01_ref,peak_01_freq_mhz,peak_01_spike_sig,peak_01_spike_ref,peak_02,peak_02_ref,peak_02_freq_mhz,peak_02_spike_sig,peak_02_spike_ref,peak_03,peak_03_ref,peak_03_freq_mhz,peak_03_spike_sig,peak_03_spike_ref,peak_04,peak_04_ref,peak_04_freq_mhz,peak_04_spike_sig,peak_04_spike_ref,peak_05,peak_05_ref,peak_05_freq_mhz,peak_05_spike_sig,peak_05_spike_ref,peak_06,peak_06_ref,peak_06_freq_mhz,peak_06_spike_sig,peak_06_spike_ref,peak_07,peak_07_ref,peak_07_freq_mhz,peak_07_spike_sig,peak_07_spike_ref,peak_08,peak_08_ref,peak_08_freq_mhz,peak_08_spike_sig,peak_08_spike_ref,peak_09,peak_09_ref,peak_09_freq_mhz,peak_09_spike_sig,peak_09_spike_ref,peak_10,peak_10_ref,peak_10_freq_mhz,peak_10_spike_sig,peak_10_spike_ref,peak_11,peak_11_ref,peak_11_freq_mhz,peak_11_spike_sig,peak_11_spike_ref,peak_12,peak_12_ref,peak_12_freq_mhz,peak_12_spike_sig,peak_12_spike_ref,peak_13,peak_13_ref,peak_13_freq_mhz,peak_13_spike_sig,peak_13_spike_ref,peak_14,peak_14_ref,peak_14_freq_mhz,peak_14_spike_sig,peak_14_spike_ref,peak_15,peak_15_ref,peak_15_freq_mhz,peak_15_spike_sig,peak_15_spike_ref,peak_16,peak_16_ref,peak_16_freq_mhz,peak_16_spike_sig,peak_16_spike_ref,delta_f_mhz_b01,f_new_mhz_b01,delta_f_mhz_b02,f_new_mhz_b02,delta_f_mhz_b03,f_new_mhz_b03,delta_f_mhz_b04,f_new_mhz_b04,delta_f_mhz_b05,f_new_mhz_b05,delta_f_mhz_b06,f_new_mhz_b06,delta_f_mhz_b07,f_new_mhz_b07,delta_f_mhz_b08,f_new_mhz_b08
0,0.28673587553203106,1781123329.73391,0.572799582965672,1208.8082086105421,1209.362967264725,2719.5233765329285,False,False,1208.7697871986359,1209.064026856578,2725.9999900817875,False,False,1208.747086631822,1209.1347435753755,2759.999977111817,False,False,1208.7463683508065,1209.4016958563852,2766.8724627731613,False,False,1208.6721938645562,1209.428631394484,2833.734081004416,False,False,1208.7049040084496,1210.031367145181,2845.4234365593793,False,False,1208.6689797692663,1210.1224645359362,2869.8862138557815,False,False,1208.7393422719415,1209.951361507609,2879.287963302976,False,False,1208.7932282911024,1209.804114069138,2890.878057507244,False,False,1208.774338858833,1209.4770868355904,2903.4471853927444,False,False,1208.820993673014,1209.4900642886982,2923.8929288381,False,False,1208.8123265852273,1209.1359385029189,2935.449509984093,False,False,1208.7602746448501,1209.0546110924329,2990.669085619459,False,False,1208.7426169881094,1209.0095578920914,2996.9998867034915,False,False,1208.7137974481498,1209.1122005888888,3021.55901654996,False,False,1208.7064793022994,1209.2577742458054,3027.9998748779303,False,False,-0.07974089776712197,2722.004621377437,0.05616498618639507,2762.8763621624094,0.2645277340041027,2838.148459736292,-0.4267791217091695,2873.251318208586,-0.5546141200045168,2895.6032776732395,-0.5121247123565426,2929.370585520024,-0.006344053919380358,2993.312331275437,0.05033087231162864,3024.1689939277576
1,0.6482610213570297,1781123329.816072,0.014076124876737595,1208.8204582734768,1209.509156809406,2719.5233765329285,False,False,1208.777380600639,1209.19828325743,2725.9999900817875,False,False,1208.7414947376997,1209.2653688364528,2759.999977111817,False,False,1208.7253602442497,1209.5505944921608,2766.8724627731613,False,False,1208.6816216849556,1209.605339731638,2833.734081004416,False,False,1208.700644585044,1210.2689395251534,2845.4234365593793,False,False,1208.6359908032855,1210.3960555674419,2869.8862138557815,False,False,1208.6828115183068,1210.2088265359837,2879.287963302976,False,False,1208.664269170292,1210.0229999354733,2890.878057507244,False,False,1208.6369851894872,1209.6732616071158,2903.4471853927444,False,False,1208.698580928026,1209.6763919878556,2923.8929288381,False,False,1208.709386727253,1209.277764702686,2935.449509984093,False,False,1208.7033351672424,1209.1795512356816,2990.669085619459,False,False,1208.6785955653359,1209.128441381137,2996.9998867034915,False,False,1208.7070033248092,1209.2582169310556,3021.55901654996,False,False,1208.7095570430592,1209.4299901851914,3027.9998748779303,False,False,-0.08194810031875494,2722.0024141748854,0.06322053707051975,2762.8834177132935,0.3180144404815085,2838.2019464427694,-0.4210985995743731,2873.256998730721,-0.5641574624357294,2895.5937343308083,-0.5682028499559081,2929.314507382425,-0.006103807201006225,2993.3125715221554,0.055689611053516996,3024.1743526664995
2,0.9976522920187563,1781123330.437763,0.558661584276706,1208.7605504104222,1209.294758416454,2719.5233765329285,False,False,1208.7477824983953,1209.484270834395,2725.9999900817875,False,False,1208.7333397859763,1209.579704061429,2759.999977111817,False,False,1208.7311932634411,1210.1849480222654,2766.8724627731613,False,False,1208.7195329984754,1210.3181893205362,2833.734081004416,False,False,1208.7582957212182,1210.242771851535,2845.4234365593793,False,False,1208.6083663606755,1210.0916307526156,2869.8862138557815,False,False,1208.6395378888992,1209.75095261383,2879.287963302976,False,False,1208.6145488414113,1209.7087584436229,2890.878057507244,False,False,1208.5512667556452,1209.244691173125,2903.4471853927444,False,False,1208.6426337989424,1209.19322183846,2923.8929288381,False,False,1208.6411106356531,1209.0831456972758,2935.449509984093,False,False,1208.6240948470554,1209.1923267889954,2990.669085619459,False,False,1208.6216105796163,1209.3016469521453,2996.9998867034915,False,False,1208.635919314797,1209.3780312987137,3021.55901654996,False,False,1208.6913631377502,1209.249026499985,3027.9998748779303,False,False,0.06190038293968726,2722.1462626581438,0.12731741904990085,2762.947514595273,-0.2276900235622975,2837.6562419787256,-0.5249959604075832,2873.1531013698877,-0.6170751315103503,2895.5408166617335,-0.30402480503472207,2929.578685427346,0.025883044293124647,2993.3445583736493,-0.06071257517780301,3024.0579504802686
3,1.3606470625381917,1781123330.5278971,0.01296037482097745,1208.8131518442674,1209.3081894224208,2719.5233765329285,False,False,1208.787969047692,1209.5619494452428,2725.9999900817875,False,False,1208.7715066581086,1209.6567978590813,2759.999977111817,False,False,1208.7689974291316,1210.3370300183733,2766.8724627731613,False,False,1208.7893830254748,1210.476617151124,2833.734081004416,False,False,1208.8090685100844,1210.2844065096979,2845.4234365593793,False,False,1208.6587609907183,1210.0967699429107,2869.8862138557815,False,False,1208.7110207741134,1209.7373373679334,2879.287963302976,False,False,1208.685491912122,1209.7201867530644,2890.878057507244,False,False,1208.6235619946137,1209.2406180273254,2903.4471853927444,False,False,1208.7075951000668,1209.1754716372393,2923.8929288381,False,False,1208.6815809314219,1209.1262821231228,2935.449509984093,False,False,1208.6875360414058,1209.2620280656,2990.669085619459,False,False,1208.6758227968462,1209.4032512828874,2996.9998867034915,False,False,1208.6777930603525,1209.44494893922,3021.55901654996,False,False,1208.7389152088788,1209.2542959317789,3027.9998748779303,False,False,0.08535814998319564,2722.1697204251873,0.14308945458733904,2762.96328663081,-0.29789926329746097,2837.5860327389905,-0.5550449548011331,2873.123052375494,-0.6284556401572274,2895.5294361530864,-0.22900404600091603,2929.6537061863796,0.03540298878423622,2993.3540783181406,-0.08286898159766498,3024.0357940738486
4,1.707299979403615,1781123331.149566,0.56298862490803,1209.0585241108092,1209.9460808685942,2719.5233765329285,False,False,1209.0462321660843,1209.9486746611508,2725.9999900817875,False,False,1209.0632661239656,1209.5994934675487,2759.999977111817,False,False,1209.0610875080238,1209.6082525903967,2766.8724627731613,False,False,1209.005431427087,1209.600861597606,2833.734081004416,False,False,1209.0231531008342,1209.6802863275295,2845.4234365593793,False,False,1208.9405699721178,1209.7653550821356,2869.8862138557815,False,False,1208.9500613001057,1209.7770068567822,2879.287963302976,False,False,1208.9344710361245,1209.5403476955585,2890.878057507244,False,False,1208.9568741021487,1209.5393256309153,2903.4471853927444,False,False,1208.9918891979366,1209.7619260119611,2923.8929288381,False,False,1208.9566394297224,1209.8300168447936,2935.449509984093,False,False,1208.9621853063138,1210.3955789209149,2990.669085619459,False,False,1208.9756428020767,1210.5420460990383,2996.9998867034915,False,False,1209.0091603753403,1210.3924723130683,3021.55901654996,False,False,1209.015762108045,1210.2269311231335,3027.9998748779303,False,False,0.004554781753469023,2722.0889170569576,0.002294579479806457,2762.8224917557027,-0.10116902323089268,2837.782762979057,-0.24320714401635118,2873.434890186279,-0.3627055178799658,2895.795186275364,-0.11790751260105117,2929.7648027197797,0.030734577598010706,2993.3494099069544,-0.056578340994202336,3024.062084714452
5,2.0745724169537425,1781123331.24248,0.0142815001308918,1209.1463379554634,1210.0543781180702,2719.5233765329285,False,False,1209.1019363022283,1210.0221121876832,2725.9999900817875,False,False,1209.1156637901465,1209.634688727913,2759.999977111817,False,False,1209.1308648578895,1209.530179349506,2766.8724627731613,False,False,1209.0653973639255,1209.510164270698,2833.734081004416,False,False,1209.0813966914925,1209.6268142963395,2845.4234365593793,False,False,1209.0035387651,1209.7582334022752,2869.8862138557815,False,False,1209.0053978054223,1209.8112797288534,2879.287963302976,False,False,1208.9960148139091,1209.5413959103837,2890.878057507244,False,False,1209.008888175702,1209.6092357693756,2903.4471853927444,False,False,1209.0526836201363,1209.8817239083994,2923.8929288381,False,False,1209.0307030324027,1209.9568963467852,2935.449509984093,False,False,1209.0087222748623,1210.5746667549663,2990.669085619459,False,False,1209.0382981324692,1210.7324865088829,2996.9998867034915,False,False,1209.078346289561,1210.5683672776297,3021.55901654996,False,False,1209.0843200782472,1210.4109336634367,3027.9998748779303,False,False,0.003720982723768764,2722.088083257928,-0.02511465012463204,2762.795082526098,-0.07312113026810205,2837.81081087202,-0.20624784464694285,2873.4718494856484,-0.3098415877055998,2895.848050205538,-0.12335918464256518,2929.759351047738,0.029620146217056647,2993.348295475573,-0.05369439992930688,3024.064968655517
6,2.4294023336842656,1781123331.864116,0.5478905830532312,1209.0125369753403,1209.4797748706924,2719.5233765329285,False,False,1208.9669101690256,1209.429521519563,2725.9999900817875,False,False,1208.9511590983964,1209.496341011978,2759.999977111817,False,False,1208.9472175525473,1209.6109788319366,2766.8724627731613,False,False,1208.8963751430622,1209.6266086608048,2833.734081004416,False,False,1208.9239878690319,1209.398849561729,2845.4234365593793,False,False,1208.8368371183178,1209.514072025077,2869.8862138557815,False,False,1208.854603111532,1209.7099827476716,2879.287963302976,False,False,1208.8875679650062,1209.7402558303029,2890.878057507244,False,False,1208.8681385484272,1210.2855961732434,2903.4471853927444,False,False,1208.9137390347526,1210.4394548535759,2923.8929288381,False,False,1208.910575202155,1210.325212003274,2935.449509984093,False,False,1208.866613517268,1210.2691098409593,2990.669085619459,False,False,1208.887715017337,1210.0005352297312,2996.9998867034915,False,False,1208.8749039744885,1209.9823970209168,3021.55901654996,False,False,1208.9323676444121,1209.6284824742827,3027.9998748779303,False,False,-0.0014104890145050513,2722.0829517861894,0.024874170994757434,2762.8450713472175,-0.329420248422774,2837.5545117538654,-0.11053719274221564,2873.567560137553,0.03362678358142992,2896.1915185768253,-0.3060626179538103,2929.5766476144267,-0.06698087852422607,2993.251694450832,-0.13531707018219424,3023.983345985264
7,2.773098604520783,1781123331.940844,0.013955791015177965,1208.9383502630294,1209.3408832649015,2719.5233765329285,False,False,1208.9018393427816,1209.2730688768663,2725.9999900817875,False,False,1208.8800222785983,1209.4187296444593,2759.999977111817,False,False,1208.864502484268,1209.5595385341642,2766.8724627731613,False,False,1208.8237207635857,1209.603481200735,2833.734081004416,False,False,1208.8679267998627,1209.3179624592035,2845.4234365593793,False,False,1208.769557450595,1209.4156753369805,2869.8862138557815,False,False,1208.7794722757108,1209.6493866593314,2879.287963302976,False,False,1208.832462226569,1209.7439998913244,2890.878057507244,False,False,1208.818346561251,1210.3621362322683,2903.4471853927444,False,False,1208.8423835043284,1210.493411512194,2923.8929288381,False,False,1208.8430357306602,1210.3396694888493,2935.449509984093,False,False,1208.7947976417292,1210.1607801584635,2990.669085619459,False,False,1208.8119635391724,1209.8150261671642,2996.9998867034915,False,False,1208.8022713302296,1209.807255317487,3021.55901654996,False,False,1208.8374543645339,1209.4174148336065,3027.9998748779303,False,False,-0.009577992269660426,2722.0747842829346,0.032795303171072654,2762.852992479394,-0.3829589526905071,2837.5009730495976,-0.07610461719183043,2873.6019927131033,0.0790439257948058,2896.2369357190387,-0.34403854389674315,2929.538671688484,-0.0839295895311362,2993.234745739825,-0.13983346865374155,3023.9788295867925
8,3.1190872294828296,1781123332.562997,0.5662150410935283,1209.4424515966891,1208.6311508118447,2719.5233765329285,False,False,1209.6494814112955,1208.5888423619388,2725.9999900817875,False,False,1209.7096149470374,1208.6699834948192,2759.999977111817,False,False,1210.329704910461,1208.6974726017397,2766.8724627731613,False,False,1210.404757465538,1208.7591017921366,2833.734081004416,False,False,1210.2314754816564,1208.6866146719506,2845.4234365593793,False,False,1209.9939333272202,1208.6564903397145,2869.8862138557815,False,False,1209.697421659823,1208.7149064536618,2879.287963302976,False,False,1209.6752916424698,1208.7185581400086,2890.878057507244,False,False,1209.2934818120382,1208.787170957674,2903.4471853927444,False,False,1209.226346140131,1208.8056890233759,2923.8929288381,False,False,1209.2359536156878,1208.7777711553285,2935.449509984093,False,False,1209.2429689967503,1208.717103918113,2990.669085619459,False,False,1209.4113578397905,1208.6945468376953,2996.9998867034915,False,False,1209.4941885462201,1208.6758586259946,3021.55901654996,False,False,1209.2754957497466,1208.6857510366679,3027.9998748779303,False,False,-0.07639756215549673,2722.0079647130488,-0.12445198772921601,2762.6957451884937,-0.07300107750681673,2837.810930924781,0.023163887972203784,2873.7012612182675,-0.04279784888794325,2896.115093944356,-0.24165209653201655,2929.6410581358487,-0.04424933331653689,2993.2744259960396,0.07531003689726394,3024.1939730923436
9,3.4863674170337617,1781123332.65522,0.01604908425360918,1209.5239751335528,1208.557990579142,2719.5233765329285,False,False,1209.756320363522,1208.521235647115,2725.9999900817875,False,False,1209.8357968843923,1208.5859317106635,2759.999977111817,False,False,1210.5308847252363,1208.5894127415922,2766.8724627731613,False,False,1210.6239449080163,1208.6306193178536,2833.734081004416,False,False,1210.4158797838709,1208.5933106471994,2845.4234365593793,False,False,1210.1581980825463,1208.5480293968815,2869.8862138557815,False,False,1209.8310088537046,1208.5963211446312,2879.287963302976,False,False,1209.7970083510784,1208.5964101231775,2890.878057507244,False,False,1209.3963982367309,1208.5914923604105,2903.4471853927444,False,False,1209.3058119631996,1208.5857216601635,2923.8929288381,False,False,1209.303970243129,1208.5773434130406,2935.449509984093,False,False,1209.3225971547245,1208.548262541051,2990.669085619459,False,False,1209.5234723368412,1208.5679400447605,2996.9998867034915,False,False,1209.6081844980358,1208.543359721246,3021.55901654996,False,False,1209.368936129026,1208.5810163251856,3027.9998748779303,False,False,-0.08245685526820629,2722.001905419936,-0.14526223437478727,2762.674934941848,-0.02254183436741469,2837.8613901679205,0.03870771186746563,2873.716805042163,-0.07974143088218637,2896.0781503623616,-0.2144026934897408,2929.668307538891,-0.04198961802665705,2993.2766857113297,0.0912457062339199,3024.2099087616803
