block_index,point_in_block,point_index,transition_index,transition_center_mhz,linewidth_mhz,frequency_mhz,slope_per_mhz
1,0,0,0,2756.2849883577046,9.243360742153437,2752.5020411718233,-0.0019703358170642692
1,1,1,0,2756.2849883577046,9.243360742153437,2760.0000457763676,0.0017573830156574555
2,0,2,1,2787.428999484846,9.278950161125417,2783.821798442183,-0.0026390312411983664
2,1,3,1,2787.428999484846,9.278950161125417,2791.000069427491,0.0024191983758521138
3,0,4,2,2840.794790143918,13.875386151040297,2837.115278428212,-0.0008506972592437295
3,1,5,2,2840.794790143918,13.875386151040297,2844.5001102447513,0.0006975224279316161
4,0,6,3,2868.9142477332643,9.045141649781403,2864.3916769083735,-0.000880061381809566
4,1,7,3,2868.9142477332643,9.045141649781403,2873.436818558155,0.0006463944797981859
5,0,8,4,2890.046942450974,10.666046002376312,2884.713919449786,-0.0009947410493685931
5,1,9,4,2890.046942450974,10.666046002376312,2895.3799654521617,0.0006201706023163533
6,0,10,5,2916.1564670053413,10.443545495721809,2910.9346942574803,-0.0007364898022688206
6,1,11,5,2916.1564670053413,10.443545495721809,2921.3782397532023,0.0007379320318348008
7,0,12,6,2963.3128773892217,8.262379872078712,2959.628611976395,-0.002514543715607086
7,1,13,6,2963.3128773892217,8.262379872078712,2967.0002037048343,0.002202339810947029
8,0,14,7,2988.6517312172577,10.015706180725571,2985.0002174377446,-0.0017692681402152826
8,1,15,7,2988.6517312172577,10.015706180725571,2992.3546199148395,0.001601780924267767
