batch,time_s,timestamp_epoch_s,acq_seconds,peak_01,peak_01_ref,peak_01_freq_mhz,peak_01_spike_sig,peak_01_spike_ref,peak_02,peak_02_ref,peak_02_freq_mhz,peak_02_spike_sig,peak_02_spike_ref,peak_03,peak_03_ref,peak_03_freq_mhz,peak_03_spike_sig,peak_03_spike_ref,peak_04,peak_04_ref,peak_04_freq_mhz,peak_04_spike_sig,peak_04_spike_ref,peak_05,peak_05_ref,peak_05_freq_mhz,peak_05_spike_sig,peak_05_spike_ref,peak_06,peak_06_ref,peak_06_freq_mhz,peak_06_spike_sig,peak_06_spike_ref,peak_07,peak_07_ref,peak_07_freq_mhz,peak_07_spike_sig,peak_07_spike_ref,peak_08,peak_08_ref,peak_08_freq_mhz,peak_08_spike_sig,peak_08_spike_ref,peak_09,peak_09_ref,peak_09_freq_mhz,peak_09_spike_sig,peak_09_spike_ref,peak_10,peak_10_ref,peak_10_freq_mhz,peak_10_spike_sig,peak_10_spike_ref,peak_11,peak_11_ref,peak_11_freq_mhz,peak_11_spike_sig,peak_11_spike_ref,peak_12,peak_12_ref,peak_12_freq_mhz,peak_12_spike_sig,peak_12_spike_ref,peak_13,peak_13_ref,peak_13_freq_mhz,peak_13_spike_sig,peak_13_spike_ref,peak_14,peak_14_ref,peak_14_freq_mhz,peak_14_spike_sig,peak_14_spike_ref,peak_15,peak_15_ref,peak_15_freq_mhz,peak_15_spike_sig,peak_15_spike_ref,peak_16,peak_16_ref,peak_16_freq_mhz,peak_16_spike_sig,peak_16_spike_ref,delta_f_mhz_b01,f_new_mhz_b01,delta_f_mhz_b02,f_new_mhz_b02,delta_f_mhz_b03,f_new_mhz_b03,delta_f_mhz_b04,f_new_mhz_b04,delta_f_mhz_b05,f_new_mhz_b05,delta_f_mhz_b06,f_new_mhz_b06,delta_f_mhz_b07,f_new_mhz_b07,delta_f_mhz_b08,f_new_mhz_b08
0,0.0062973543535918,1780513507.1414669,0.0119003751315176,7175.501065195465,7191.404818595836,2752.5020411718233,False,False,7178.988964452731,7189.982371549959,2760.0000457763676,False,False,7175.358691200296,7188.85643702051,2783.821798442183,False,False,7183.1430999174745,7195.783898279183,2791.000069427491,False,False,7197.627476541247,7204.007580157105,2837.115278428212,False,False,7207.405549102914,7208.640020478651,2844.5001102447513,False,False,7208.318803680045,7209.265569887214,2864.3916769083735,False,False,7212.078569245347,7214.051529785737,2873.436818558155,False,False,7216.07995079011,7218.006771708897,2884.713919449786,False,False,7220.912638689367,7223.376802579698,2895.3799654521617,False,False,7220.494641929273,7220.527597273589,2910.9346942574803,False,False,7220.929094965919,7220.977983922731,2921.3782397532023,False,False,7189.082237063301,7196.3889461136405,2959.628611976395,False,False,7186.02096005135,7198.343125897851,2967.0002037048343,False,False,7171.027737873276,7184.256360607635,2985.0002174377446,False,False,7169.411903597519,7190.1551685668,2992.3546199148395,False,False,-0.179810597033525,2755.48723269443,-0.0222273707704073,2786.895026313552,-0.4752480918893549,2839.3589155599925,0.052508687865684,2868.4678861355533,-0.1455545349563289,2889.191324870353,-0.1406823763255433,2916.360004522777,0.1455525802908892,2963.0229287033917,0.2887307085195638,2988.395646733306
1,0.0752321872860193,1780513507.2109828,0.0122083751484751,7177.879067457286,7194.30398569551,2752.5020411718233,False,False,7179.427060855213,7190.717140935905,2760.0000457763676,False,False,7174.3580416908635,7186.161888314944,2783.821798442183,False,False,7178.387044961334,7192.33499709631,2791.000069427491,False,False,7196.277232020051,7203.130988476938,2837.115278428212,False,False,7206.758533789772,7209.865207690191,2844.5001102447513,False,False,7208.46090106061,7209.106186386282,2864.3916769083735,False,False,7210.796379558027,7212.730135709264,2873.436818558155,False,False,7214.878497417247,7216.516930036372,2884.713919449786,False,False,7219.422590702081,7221.037983311429,2895.3799654521617,False,False,7218.420654399853,7219.607473179082,2910.9346942574803,False,False,7218.901166060457,7220.0979124002815,2921.3782397532023,False,False,7185.998036189138,7193.1349879267655,2959.628611976395,False,False,7184.879720023229,7197.608408472659,2967.0002037048343,False,False,7171.420874468931,7185.591122352294,2985.0002174377446,False,False,7170.321611089037,7188.6408518507205,2992.3546199148395,False,False,-0.1878324822733099,2755.47921080919,0.0545490556058464,2786.9718027399285,-0.3463354792761179,2839.4878281726055,0.0763974944802314,2868.491774942168,-0.1936043224609247,2889.1432750828485,-0.1412542959836827,2916.359432603119,0.1622286076524939,2963.0396047307536,0.1594472483034061,2988.2663632730896
2,0.1434175833128392,1780513507.278974,0.0119009166955947,7175.033494819208,7194.30398569551,2752.5020411718233,False,False,7179.427060855213,7190.717140935905,2760.0000457763676,False,False,7174.3580416908635,7186.161888314944,2783.821798442183,False,False,7178.387044961334,7192.33499709631,2791.000069427491,False,False,7196.277232020051,7203.130988476938,2837.115278428212,False,False,7206.758533789772,7209.865207690191,2844.5001102447513,False,False,7208.46090106061,7209.106186386282,2864.3916769083735,False,False,7210.796379558027,7212.730135709264,2873.436818558155,False,False,7214.878497417247,7216.516930036372,2884.713919449786,False,False,7219.422590702081,7221.037983311429,2895.3799654521617,False,False,7218.420654399853,7219.607473179082,2910.9346942574803,False,False,7218.901166060457,7220.0979124002815,2921.3782397532023,False,False,7185.998036189138,7193.1349879267655,2959.628611976395,False,False,7184.879720023229,7197.608408472659,2967.0002037048343,False,False,7171.420874468931,7185.591122352294,2985.0002174377446,False,False,7170.321611089037,7188.6408518507205,2992.3546199148395,False,False,-0.2920378742120425,2755.3750054172515,0.0545490556058464,2786.9718027399285,-0.3463354792761179,2839.4878281726055,0.0763974944802314,2868.491774942168,-0.1936043224609247,2889.1432750828485,-0.1412542959836827,2916.359432603119,0.1622286076524939,2963.0396047307536,0.1594472483034061,2988.2663632730896
3,0.2123034168034792,1780513507.348141,0.012439084239304,7174.640290980225,7189.467876027753,2752.5020411718233,False,False,7178.505926582511,7191.860483846319,2760.0000457763676,False,False,7176.0574640095365,7189.869459302504,2783.821798442183,False,False,7180.897898645964,7192.750168108323,2791.000069427491,False,False,7194.112455298469,7201.123603936791,2837.115278428212,False,False,7203.769052786012,7208.436297643426,2844.5001102447513,False,False,7207.404994345447,7208.986192193661,2864.3916769083735,False,False,7211.715276461779,7213.099711159336,2873.436818558155,False,False,7217.444444784056,7217.090029648195,2884.713919449786,False,False,7221.349720328881,7222.784616560198,2895.3799654521617,False,False,7220.339597151329,7220.701627594218,2910.9346942574803,False,False,7218.32360546505,7220.975391998043,2921.3782397532023,False,False,7187.02741999572,7194.539592566555,2959.628611976395,False,False,7186.119271326834,7198.907754378457,2967.0002037048343,False,False,7171.369971268759,7185.549850230767,2985.0002174377446,False,False,7168.123825534126,7188.125200965859,2992.3546199148395,False,False,-0.0541416396459889,2755.6129016518175,-0.0502336460417721,2786.8670200382808,-0.2169725359671376,2839.6171911159145,-0.0586796987898199,2868.3566977488977,-0.0379689390878551,2889.2989104662215,0.0730851911570176,2916.57377209026,0.1530389427365266,2963.0304150658376,0.2238673794641605,2988.3307834042503
4,0.2973448543343693,1780513507.433961,0.0119559592567384,7172.396301616897,7189.467876027753,2752.5020411718233,False,False,7178.505926582511,7191.860483846319,2760.0000457763676,False,False,7176.0574640095365,7189.869459302504,2783.821798442183,False,False,7180.897898645964,7192.750168108323,2791.000069427491,False,False,7194.112455298469,7201.123603936791,2837.115278428212,False,False,7203.769052786012,7208.436297643426,2844.5001102447513,False,False,7207.404994345447,7208.986192193661,2864.3916769083735,False,False,7211.715276461779,7213.099711159336,2873.436818558155,False,False,7217.444444784056,7217.090029648195,2884.713919449786,False,False,7221.349720328881,7222.784616560198,2895.3799654521617,False,False,7220.339597151329,7220.701627594218,2910.9346942574803,False,False,7218.32360546505,7220.975391998043,2921.3782397532023,False,False,7187.02741999572,7194.539592566555,2959.628611976395,False,False,7186.119271326834,7198.907754378457,2967.0002037048343,False,False,7171.369971268759,7185.549850230767,2985.0002174377446,False,False,7168.123825534126,7188.125200965859,2992.3546199148395,False,False,-0.1363722182426245,2755.5306710732207,-0.0502336460417721,2786.8670200382808,-0.2169725359671376,2839.6171911159145,-0.0586796987898199,2868.3566977488977,-0.0379689390878551,2889.2989104662215,0.0730851911570176,2916.57377209026,0.1530389427365266,2963.0304150658376,0.2238673794641605,2988.3307834042503
5,0.4038485002238303,1780513507.539327,0.0111631671898067,7173.477957942354,7190.382388360791,2752.5020411718233,False,False,7178.50636366415,7190.561170033927,2760.0000457763676,False,False,7174.652301555766,7188.308465018186,2783.821798442183,False,False,7183.201240945074,7195.120279976771,2791.000069427491,False,False,7197.919508206743,7204.590060213345,2837.115278428212,False,False,7205.801994376013,7207.688441788673,2844.5001102447513,False,False,7208.081098511478,7209.639963933123,2864.3916769083735,False,False,7212.662395696428,7214.107868997768,2873.436818558155,False,False,7218.36814500107,7219.192393862519,2884.713919449786,False,False,7221.395671974814,7222.269728275819,2895.3799654521617,False,False,7220.192273130176,7220.566680930402,2910.9346942574803,False,False,7220.299847174251,7218.974166335544,2921.3782397532023,False,False,7188.456278081731,7195.410269890272,2959.628611976395,False,False,7183.703716722193,7197.444851300546,2967.0002037048343,False,False,7170.2006525659435,7185.327667573432,2985.0002174377446,False,False,7169.8333863129255,7187.879613045206,2992.3546199148395,False,False,-0.1777019629976252,2755.489341328466,-0.0447183651217073,2786.872535319201,-0.4418286252941422,2839.3923350265877,-0.0511050079192662,2868.364272439768,-0.1872943500864567,2889.149585055223,-0.3020469674442019,2916.1986399316584,0.1970137795884625,2963.0743899026893,0.1121542930921973,2988.2190703178785
6,0.4845584379509091,1780513507.619742,0.011093707755208,7174.297116178133,7189.460526637527,2752.5020411718233,False,False,7177.537850353027,7189.89913806278,2760.0000457763676,False,False,7173.108799706575,7187.482316532689,2783.821798442183,False,False,7183.026911085981,7196.861790506466,2791.000069427491,False,False,7198.549879267659,7203.308384020541,2837.115278428212,False,False,7206.5615047223155,7210.485012378886,2844.5001102447513,False,False,7209.043552281689,7208.975804627563,2864.3916769083735,False,False,7212.294102454382,7213.968953449276,2873.436818558155,False,False,7217.152118164869,7218.2930586545235,2884.713919449786,False,False,7221.261886786686,7223.07180823425,2895.3799654521617,False,False,7219.115281046552,7220.764118042609,2910.9346942574803,False,False,7220.351774306934,7220.633490234434,2921.3782397532023,False,False,7188.644097869609,7194.74878656356,2959.628611976395,False,False,7183.397204817067,7196.758012653973,2967.0002037048343,False,False,7170.228016016137,7185.80999786044,2985.0002174377446,False,False,7170.779334902344,7189.985904881253,2992.3546199148395,False,False,-0.1027110124954467,2755.564332278968,-0.0142393183791905,2786.9030143659434,-0.0774761738424008,2839.756687478039,0.1176897093348285,2868.5330671570223,-0.1341986353028166,2889.2026807700067,-0.2707104569057099,2916.229976442197,0.2106586316107869,2963.088034754712,0.1391218673669073,2988.2460378921533
7,0.5621807295829058,1780513507.697648,0.0116607910022139,7176.445410642786,7193.045091236972,2752.5020411718233,False,False,7178.38832869762,7191.555231225357,2760.0000457763676,False,False,7174.032635938503,7189.595882874346,2783.821798442183,False,False,7182.55274169392,7195.221195403002,2791.000069427491,False,False,7199.379616101721,7203.493436134119,2837.115278428212,False,False,7205.899782987438,7210.497068802152,2844.5001102447513,False,False,7207.959218449125,7209.620611608644,2864.3916769083735,False,False,7211.877479597763,7214.572240731119,2873.436818558155,False,False,7217.456438548766,7217.547716783323,2884.713919449786,False,False,7222.443847235382,7221.00909924504,2895.3799654521617,False,False,7217.633478008375,7217.707159886299,2910.9346942574803,False,False,7218.799856343797,7219.09397560901,2921.3782397532023,False,False,7189.239682733746,7197.14035975181,2959.628611976395,False,False,7185.765109881713,7198.222569306477,2967.0002037048343,False,False,7170.9643350551705,7186.842031665494,2985.0002174377446,False,False,7170.877840266528,7190.68769141425,2992.3546199148395,False,False,-0.1256310548699766,2755.5414122365933,-0.074279018215544,2786.842974666107,0.0442365807711771,2839.878400232653,0.0531073793935052,2868.4684848270813,-0.3225270331897652,2889.01435237212,-0.1214521182090851,2916.3792347808935,0.1322615423212929,2963.0096376654224,0.1509634737946251,2988.2578794985807
8,0.6663200834300369,1780513507.801627,0.0112774171866476,7173.746168658494,7192.332285967539,2752.5020411718233,False,False,7179.419274383348,7193.35928110768,2760.0000457763676,False,False,7176.7659993275665,7190.673448054527,2783.821798442183,False,False,7184.439488645046,7196.856258214384,2791.000069427491,False,False,7199.68163645811,7204.88014487881,2837.115278428212,False,False,7207.784266589234,7209.498159977995,2844.5001102447513,False,False,7208.157445670446,7210.459472139865,2864.3916769083735,False,False,7212.420275391998,7214.752880765351,2873.436818558155,False,False,7218.636797383622,7220.519540300151,2884.713919449786,False,False,7222.195948589419,7221.950834428584,2895.3799654521617,False,False,7219.377835681755,7220.598965369684,2910.9346942574803,False,False,7220.053333129566,7219.783325182628,2921.3782397532023,False,False,7188.916121588164,7194.612964208209,2959.628611976395,False,False,7184.646083076077,7198.167287648624,2967.0002037048343,False,False,7171.489421401717,7184.442019439435,2985.0002174377446,False,False,7170.068389522266,7188.641713787938,2992.3546199148395,False,False,-0.1702609661744327,2755.496782325289,-0.0383867239103751,2786.8788669604123,-0.321850136252277,2839.5123135156296,-0.038055835062484,2868.377321612625,-0.3741889308564043,2888.962690474453,-0.2823765096460989,2916.2183103894567,0.2270829657898362,2963.104459088891,0.2160286195455591,2988.3229446443315
9,0.7461743543390185,1780513507.881262,0.0109404590912163,7174.811211296878,7190.985874316105,2752.5020411718233,False,False,7178.372613625945,7191.504479322675,2760.0000457763676,False,False,7175.140868661551,7188.599364244887,2783.821798442183,False,False,7183.84271938136,7195.555734022067,2791.000069427491,False,False,7199.954665770089,7204.9979108720245,2837.115278428212,False,False,7207.403595989852,7210.40611455818,2844.5001102447513,False,False,7208.891010789499,7209.088166702326,2864.3916769083735,False,False,7212.373529052175,7214.238397469206,2873.436818558155,False,False,7215.87588562521,7216.217603997921,2884.713919449786,False,False,7220.067610110951,7222.301101873643,2895.3799654521617,False,False,7218.267177614083,7218.556111501665,2910.9346942574803,False,False,7218.734952776844,7218.966505180794,2921.3782397532023,False,False,7190.417284592108,7198.025943698996,2959.628611976395,False,False,7186.400456948987,7196.28547696916,2967.0002037048343,False,False,7170.403275055782,7184.576732279855,2985.0002174377446,False,False,7171.358405416145,7189.060046764678,2992.3546199148395,False,False,-0.1115139065825543,2755.555529384881,-0.0449312906150141,2786.8723223937077,-0.1886334922718253,2839.6455301596097,0.1108601007071648,2868.526237548395,-0.0292142458772008,2889.3076651594324,-0.1475777938937603,2916.353109105209,0.0661602890924396,2962.943536412193,0.1354378907441261,2988.24235391553
