batch,time_s,timestamp_epoch_s,acq_seconds,peak_01,peak_01_ref,peak_01_freq_mhz,peak_01_spike_sig,peak_01_spike_ref,peak_02,peak_02_ref,peak_02_freq_mhz,peak_02_spike_sig,peak_02_spike_ref,peak_03,peak_03_ref,peak_03_freq_mhz,peak_03_spike_sig,peak_03_spike_ref,peak_04,peak_04_ref,peak_04_freq_mhz,peak_04_spike_sig,peak_04_spike_ref,peak_05,peak_05_ref,peak_05_freq_mhz,peak_05_spike_sig,peak_05_spike_ref,peak_06,peak_06_ref,peak_06_freq_mhz,peak_06_spike_sig,peak_06_spike_ref,peak_07,peak_07_ref,peak_07_freq_mhz,peak_07_spike_sig,peak_07_spike_ref,peak_08,peak_08_ref,peak_08_freq_mhz,peak_08_spike_sig,peak_08_spike_ref,peak_09,peak_09_ref,peak_09_freq_mhz,peak_09_spike_sig,peak_09_spike_ref,peak_10,peak_10_ref,peak_10_freq_mhz,peak_10_spike_sig,peak_10_spike_ref,peak_11,peak_11_ref,peak_11_freq_mhz,peak_11_spike_sig,peak_11_spike_ref,peak_12,peak_12_ref,peak_12_freq_mhz,peak_12_spike_sig,peak_12_spike_ref,peak_13,peak_13_ref,peak_13_freq_mhz,peak_13_spike_sig,peak_13_spike_ref,peak_14,peak_14_ref,peak_14_freq_mhz,peak_14_spike_sig,peak_14_spike_ref,peak_15,peak_15_ref,peak_15_freq_mhz,peak_15_spike_sig,peak_15_spike_ref,peak_16,peak_16_ref,peak_16_freq_mhz,peak_16_spike_sig,peak_16_spike_ref,delta_f_mhz_b01,f_new_mhz_b01,delta_f_mhz_b02,f_new_mhz_b02,delta_f_mhz_b03,f_new_mhz_b03,delta_f_mhz_b04,f_new_mhz_b04,delta_f_mhz_b05,f_new_mhz_b05,delta_f_mhz_b06,f_new_mhz_b06,delta_f_mhz_b07,f_new_mhz_b07,delta_f_mhz_b08,f_new_mhz_b08
0,0.006916349993844051,1786736244.9186468,0.013142099996912293,926.1684063330989,1055.4777287037323,2754.16989994428,False,False,938.2307515970291,1051.4013632056726,2760.9999687194827,False,False,855.4643732616071,1040.9778265122106,2794.6325865621557,False,False,854.9679524406272,1037.875576917199,2800.9999534606936,False,False,956.870408350399,1047.5719900968913,2822.6276449371826,False,False,972.8838126967632,1045.965844973561,2828.999942779541,False,False,972.1238041385213,1033.8755860867439,2860.99993057251,False,False,969.2798667359477,1037.0012317755293,2867.4401563384067,False,False,980.1365436928814,1045.7387122902467,2885.486537108773,False,False,990.6534446923617,1047.8351743741785,2891.9999187469484,False,False,980.8192606290307,1050.743789161598,2921.1422226070613,False,False,985.437515664639,1059.4254210349359,2927.999905014038,False,False,854.7454320383898,1037.5732203441635,2943.8048712605782,False,False,865.9383011889843,1042.757109453801,2949.9998966217045,False,False,915.3084787725036,1042.2472200996424,2978.9998855590825,False,False,909.8277011950973,1046.5301937830486,2985.2694445342363,False,False,-0.2624549296017706,2759.6559938747546,-0.015750616374500787,2800.501270934965,-0.37953276884520903,2827.665474713199,0.15125658731208172,2866.083537837321,-0.22848353077847078,2889.776958597741,0.09739175596540715,2925.662314154475,-0.054357600563219206,2949.7097890667374,0.1308609432266021,2983.2984384988513
1,0.10707739999634214,1786736245.0177603,0.01150900000357069,921.0404896536968,1055.105542989883,2754.16989994428,False,False,938.3857031512669,1046.4817128709844,2760.9999687194827,False,False,861.2948436592599,1037.416210227099,2794.6325865621557,False,False,854.2007198092736,1040.209608154782,2800.9999534606936,False,False,957.1901962282603,1046.9505180792862,2822.6276449371826,False,False,969.1980591129993,1048.2948390744873,2828.999942779541,False,False,970.9703395788123,1042.121617202066,2860.99993057251,False,False,977.2277653819114,1037.8250695357153,2867.4401563384067,False,False,974.4578216217867,1042.253441635847,2885.486537108773,False,False,981.4900051960755,1045.9294143717334,2891.9999187469484,False,False,978.5550860408961,1046.156585261485,2921.1422226070613,False,False,981.06494177339,1051.6712794571629,2927.999905014038,False,False,847.9159091603753,1039.4684430112784,2943.8048712605782,False,False,863.8754989760673,1034.2782620655928,2949.9998966217045,False,False,917.9073768988599,1040.8539138674082,2978.9998855590825,False,False,905.8073937096922,1047.9946572118472,2985.2694445342363,False,False,-0.4193794198014588,2759.4990693845552,0.07205760256431132,2800.5890791539036,-0.23350713584933946,2827.811500346195,-0.26816250781606804,2865.6641187421924,-0.09623163908800508,2889.9092104894316,0.07454666412958547,2925.6394690626394,-0.15986599756111647,2949.6042806697396,0.26012643161453497,2983.427703987239
2,0.21115554999414599,1786736245.121599,0.011876499993377365,921.3611302992327,1057.5710502185407,2754.16989994428,False,False,939.5213971329889,1047.0185561023322,2760.9999687194827,False,False,856.4374575908548,1040.2608720237185,2794.6325865621557,False,False,851.4357902619433,1036.0553871076202,2800.9999534606936,False,False,956.1930005807377,1052.8813705413086,2822.6276449371826,False,False,974.813629000214,1049.9894580798973,2828.999942779541,False,False,973.229368524009,1040.2478971177065,2860.99993057251,False,False,979.3233471895344,1047.7264740043404,2867.4401563384067,False,False,982.4442445823273,1044.2139636886022,2885.486537108773,False,False,990.1636091328667,1050.1117568848,2891.9999187469484,False,False,977.1260185836111,1048.5074640095363,2921.1422226070613,False,False,984.6823455695815,1057.3987147354587,2927.999905014038,False,False,849.4373597823762,1030.9049744781,2943.8048712605782,False,False,857.7890729590121,1036.6147339303727,2949.9998966217045,False,False,912.5204236329737,1038.5379787266559,2978.9998855590825,False,False,906.70577528502,1043.4728887122903,2985.2694445342363,False,False,-0.46096374424802233,2759.4574850601084,0.011830629234360542,2800.5288521805737,-0.45954217251889895,2827.5854653095253,0.023371453978028454,2865.9556527039867,-0.05786245950019934,2889.9475796690194,0.02042518159916775,2925.5853475801086,-0.028807619096401407,2949.7353390482044,0.1441476145320867,2983.3117251701565
3,0.3228871999963303,1786736245.2337198,0.012159599995356984,920.7716615215331,1051.7471681388881,2754.16989994428,False,False,933.8468899960266,1043.3889369440963,2760.9999687194827,False,False,856.6286838646574,1032.7311153223095,2794.6325865621557,False,False,844.6526270746093,1034.3286257908735,2800.9999534606936,False,False,955.4916633554421,1051.6733196809,2822.6276449371826,False,False,971.28903780909,1043.0974585078093,2828.999942779541,False,False,970.4235259956597,1035.8645169178103,2860.99993057251,False,False,976.4553733533024,1043.2851682611486,2867.4401563384067,False,False,974.4927453617386,1045.3242809548553,2885.486537108773,False,False,980.2346119754257,1039.7239065317724,2891.9999187469484,False,False,975.0937616529633,1042.2583855487974,2921.1422226070613,False,False,975.448979124003,1055.0649524711923,2927.999905014038,False,False,852.6579836170798,1039.6801036158572,2943.8048712605782,False,False,857.5218999297001,1028.950435553382,2949.9998966217045,False,False,910.54143411682,1034.0574991594583,2978.9998855590825,False,False,904.5447351529785,1045.127175474524,2985.2694445342363,False,False,-0.34485152961256565,2759.573597274744,0.10239769941816887,2800.619419250758,-0.5135663127034952,2827.5314411693407,0.02391852525708167,2865.9561997752658,-0.29517814924084007,2889.710263979279,0.32618552144292823,2925.8911079199524,-0.10873081751189323,2949.655415849789,0.2232234876211475,2983.3908010432456
4,0.42072579999512527,1786736245.3317933,0.012546599988127127,926.7154858330532,1054.2424977840267,2754.16989994428,False,False,943.7803680044013,1044.8911391631261,2760.9999687194827,False,False,861.4915899990831,1028.4504814011063,2794.6325865621557,False,False,854.7557752850201,1037.553359109943,2800.9999534606936,False,False,957.9636381697588,1046.8482058257173,2822.6276449371826,False,False,971.9550386649141,1050.5640446862487,2828.999942779541,False,False,974.7294648042301,1038.3722758810404,2860.99993057251,False,False,976.5294984258948,1039.376851483938,2867.4401563384067,False,False,978.6716875019104,1044.8039077543785,2885.486537108773,False,False,983.1888574747072,1034.8895268514839,2891.9999187469484,False,False,977.4047192591008,1049.2305697343888,2921.1422226070613,False,False,977.5361295351042,1054.4850964330474,2927.999905014038,False,False,853.465389552832,1035.6021594278204,2943.8048712605782,False,False,856.9392013326406,1035.6938839135616,2949.9998966217045,False,False,909.109910749763,1037.0350811504723,2978.9998855590825,False,False,903.8917764464957,1044.665727297735,2985.2694445342363,False,False,-0.4269711966975693,2759.491477607659,0.11021263563627781,2800.627234186976,-0.22894452794294204,2827.816062954101,-0.022365112312293094,2865.909916137696,-0.37341658774578235,2889.6320255407736,0.13371760772868677,2925.6986400062383,-0.02686616035248275,2949.7372805069485,0.16890144417735747,2983.336478999802
5,0.5203737999909208,1786736245.4310973,0.012235999995027669,926.2319039031697,1066.7514579576368,2754.16989994428,False,False,940.7698031604365,1053.2964498578722,2760.9999687194827,False,False,860.1710578598282,1043.3543463642752,2794.6325865621557,False,False,856.9475318641686,1044.7951737628755,2800.9999534606936,False,False,958.579750588379,1048.5603860378399,2822.6276449371826,False,False,971.283465782315,1039.6060595409115,2828.999942779541,False,False,972.3163599963322,1040.2754607696304,2860.99993057251,False,False,974.1544441727543,1045.6842681174926,2867.4401563384067,False,False,977.2492282299721,1039.8802274047132,2885.486537108773,False,False,990.4870357917902,1049.9098068282544,2891.9999187469484,False,False,986.3235152978575,1055.8455604120184,2921.1422226070613,False,False,985.1891402023414,1058.4635006265858,2927.999905014038,False,False,854.1032016994222,1037.7492542103496,2943.8048712605782,False,False,853.9672524987011,1034.7379496897636,2949.9998966217045,False,False,909.7949445242535,1038.6343582846837,2978.9998855590825,False,False,911.2864871473546,1046.7578965064035,2985.2694445342363,False,False,-0.43923464662444434,2759.4792141577323,0.03362041815595232,2800.5506419694952,-0.45632624352608697,2827.588681238518,0.08345449598459384,2866.015735745993,-0.10165237200311264,2889.9037897565163,0.10011755966224489,2925.6650399581717,-0.018536467318983545,2949.745610199982,0.07961820634124307,2983.247195761966
6,0.7095796999929007,1786736245.620147,0.01099640000029467,916.6693034202402,1053.4555506311704,2754.16989994428,False,False,934.2595730048599,1047.1067701806398,2760.9999687194827,False,False,860.5214750741204,1039.164420637589,2794.6325865621557,False,False,857.8870036983832,1032.0374209126753,2800.9999534606936,False,False,953.1976587095393,1044.242415258123,2822.6276449371826,False,False,975.736485619097,1044.239123391509,2828.999942779541,False,False,971.7609132866704,1034.6668200018337,2860.99993057251,False,False,975.8325824494912,1041.326987498854,2867.4401563384067,False,False,978.6386817250971,1047.9529357826207,2885.486537108773,False,False,987.3587232937003,1041.378777088364,2891.9999187469484,False,False,979.3394855885319,1048.0718632515204,2921.1422226070613,False,False,980.3957269920836,1054.7841259895467,2927.999905014038,False,False,853.2757373842345,1034.3576749090687,2943.8048712605782,False,False,862.5365864840909,1038.9735794846715,2949.9998966217045,False,False,911.3230537640981,1031.3503744230827,2978.9998855590825,False,False,903.1753935263014,1047.3536815722714,2985.2694445342363,False,False,-0.38949595461658604,2759.52895284974,-0.02520902899211585,2800.491812522347,-0.49023300242254014,2827.5547744796218,0.05687596648787863,2865.9891572164966,-0.39946069939231116,2889.605981429127,0.14637629592503093,2925.711298694435,-0.042975364354052685,2949.721171302947,0.3153395199654183,2983.48291707559
7,0.8167273999933968,1786736245.7277477,0.01164920000883285,924.4060305040191,1059.1337958859308,2754.16989994428,False,False,934.5195861478742,1043.2210211816487,2760.9999687194827,False,False,854.5277378732769,1034.1502735580889,2794.6325865621557,False,False,855.2633921203044,1038.9278968120548,2800.9999534606936,False,False,956.1979444936882,1050.433065378855,2822.6276449371826,False,False,974.7265381911544,1050.2084237552342,2828.999942779541,False,False,974.5808494055079,1035.205024910597,2860.99993057251,False,False,975.8642571140387,1044.0532506036618,2867.4401563384067,False,False,979.3062689121862,1046.8190818229057,2885.486537108773,False,False,984.9773191307273,1044.2351331112266,2891.9999187469484,False,False,979.474947275117,1046.6739050035148,2921.1422226070613,False,False,979.996776904973,1060.3650823730782,2927.999905014038,False,False,857.0701714704894,1040.094790170248,2943.8048712605782,False,False,860.7079668062476,1035.911480270196,2949.9998966217045,False,False,922.1832533545252,1043.3605984656294,2978.9998855590825,False,False,911.147145215026,1051.39303573066,2985.2694445342363,False,False,-0.40595640230347874,2759.512492402053,0.024618876456680806,2800.541640427796,-0.4050858286871485,2827.639921653357,0.1830661634767778,2866.1153474134853,-0.21684236619746305,2889.788599762322,0.3430988445684241,2925.908021243078,-0.05600168258110368,2949.7081449847196,0.2555985936413439,2983.423176149266
8,0.9270688499964308,1786736245.8383527,0.012471699999878183,926.1242687287955,1060.4023504600057,2754.16989994428,False,False,937.9249656142067,1054.8448176788825,2760.9999687194827,False,False,856.5417703334657,1035.9880352721825,2794.6325865621557,False,False,855.5753110003974,1037.4799569031388,2800.9999534606936,False,False,954.6051089647583,1048.0657838432621,2822.6276449371826,False,False,971.3994406577622,1051.5264648347952,2828.999942779541,False,False,966.8134119876519,1034.6815936669009,2860.99993057251,False,False,979.9199712687594,1041.6486750007641,2867.4401563384067,False,False,978.1797735122415,1044.118421615674,2885.486537108773,False,False,986.9465308555185,1043.5889873765932,2891.9999187469484,False,False,976.055512424733,1047.6136794327108,2921.1422226070613,False,False,978.3712657028457,1053.14380597243,2927.999905014038,False,False,853.6403811474156,1038.635738301189,2943.8048712605782,False,False,865.1098710150685,1039.2673365528622,2949.9998966217045,False,False,911.4427652290857,1034.6854280649202,2978.9998855590825,False,False,910.3811275483692,1045.2746783018003,2985.2694445342363,False,False,-0.27857902100441867,2759.639869783352,0.016884748642521614,2800.533906299982,-0.294631553414306,2827.75037592863,-0.17176665112192038,2865.760514598887,-0.24848099599743914,2889.756961132522,0.07973081736434422,2925.644653215874,-0.08627556922686336,2949.677871098074,0.14728497597062037,2983.3148625315953
9,1.02968234999571,1786736245.9406366,0.011862899991683662,924.8614817984535,1053.2138001650517,2754.16989994428,False,False,937.9231683834092,1049.5048644435615,2760.9999687194827,False,False,853.7988813155241,1036.7968196961824,2794.6325865621557,False,False,854.4392746889995,1037.9230354250085,2800.9999534606936,False,False,955.5709799186967,1041.7079454106429,2822.6276449371826,False,False,963.059855732494,1045.1870174527005,2828.999942779541,False,False,968.7935140752516,1037.9399150288841,2860.99993057251,False,False,971.4481691475379,1040.9532307363145,2867.4401563384067,False,False,973.9002384081672,1039.1118852584282,2885.486537108773,False,False,978.2478390439221,1041.7970443500321,2891.9999187469484,False,False,981.5451477824985,1045.8892257847601,2921.1422226070613,False,False,979.3606290307791,1057.9497753461503,2927.999905014038,False,False,856.2759895467188,1038.7498624568268,2943.8048712605782,False,False,857.2886863098695,1035.332009352936,2949.9998966217045,False,False,912.1908533789772,1036.2326252407006,2978.9998855590825,False,False,907.8491441758106,1047.0113534248248,2985.2694445342363,False,False,-0.27434997205839873,2759.6440988322984,0.002202110588618933,2800.519223661928,-0.09337559057744363,2827.9516318914666,0.004114772169662902,2865.936396022178,-0.04920132646015718,2889.9562408020593,0.3778147426176316,2925.9427371411275,-0.030291539871666318,2949.7338551274293,0.19573422430345774,2983.363311779928
