block_index,point_in_block,point_index,transition_index,transition_center_mhz,linewidth_mhz,frequency_mhz,slope_per_mhz
1,0,0,0,2757.695477273805,8.0803599550206,2754.16989994428,-0.02903601553877679
1,1,1,0,2757.695477273805,8.0803599550206,2760.9999687194827,0.02875307042839176
2,0,2,1,2797.8953600645177,7.653833991719264,2794.6325865621557,-0.06348622940731609
2,1,3,1,2797.8953600645177,7.653833991719264,2800.9999534606936,0.061772270430636766
3,0,4,2,2825.8823933389162,7.589676983529684,2822.6276449371826,-0.022827186652588916
3,1,5,2,2825.8823933389162,7.589676983529684,2828.999942779541,0.020995049639028616
4,0,6,3,2864.211607657154,7.548967152801056,2860.99993057251,-0.022032331349968622
4,1,7,3,2864.211607657154,7.548967152801056,2867.4401563384067,0.015680452309253412
5,0,8,4,2888.9195067203855,7.272975926344168,2885.486537108773,-0.019663944665573356
5,1,9,4,2888.9195067203855,7.272975926344168,2891.9999187469484,0.017416585824418625
6,0,10,5,2924.57375960595,7.5383809393882215,2921.1422226070613,-0.01654010421396517
6,1,11,5,2924.57375960595,7.5383809393882215,2927.999905014038,0.01750349163543611
7,0,12,6,2946.9615477889647,7.051960497163047,2943.8048712605782,-0.06296473233752559
7,1,13,6,2946.9615477889647,7.051960497163047,2949.9998966217045,0.0605393942239137
8,0,14,7,2982.1357388218485,7.41213642760009,2978.9998855590825,-0.03511935291648681
8,1,15,7,2982.1357388218485,7.41213642760009,2985.2694445342363,0.03268414472644649
