batch,sample,time_s,timestamp_epoch_s,acq_seconds,peak_01,peak_01_freq_mhz,peak_01_raw,peak_01_spike_sig,peak_02,peak_02_freq_mhz,peak_02_raw,peak_02_spike_sig,z_minus,z_plus,lockin_signal,delta_f_mhz,peak_shift_kHz,f_new_mhz,B_shift_uT
0,0,0.006000749999657273,1786737011.2309859,0.011050100001739338,1037.249666341146,2794.818820156159,1037.249666341146,False,1021.8280978732639,2800.81881786734,1021.8280978732639,False,0.8599075085330674,0.847122618887678,-0.012784889645389375,0.09704563506189672,97.04563506189672,2797.956213918814,3.4629472973842677
1,0,0.01773805000266293,1786737011.2429852,0.012294300002395175,1047.8070638020831,2794.818820156159,1047.8070638020831,False,1055.139222547743,2800.81881786734,1055.139222547743,False,0.8686598712879782,0.8747384255297836,0.006078554241805478,-0.07430786053566558,-74.30786053566558,2797.7848604232163,-2.6515793796626315
2,0,0.029693200005567633,1786737011.2539856,0.011523599998326972,1029.3204616970484,2794.818820156159,1029.3204616970484,False,1035.5067355685765,2800.81881786734,1035.5067355685765,False,0.8533339873921002,0.8584625726542519,0.0051285852621516526,-0.06567844448913797,-65.67844448913797,2797.7934898392627,-2.3436498889929336
3,0,0.041434000006120186,1786737011.265999,0.011839800004963763,1031.646847873264,2794.818820156159,1031.646847873264,False,1038.0445773654512,2800.81881786734,1038.0445773654512,False,0.8552626232891181,0.8605665108741596,0.005303887585041522,-0.06727087193733809,-67.27087193733809,2797.7918974118147,-2.4004735918262234
4,0,0.05297299999801908,1786737011.277998,0.011111400002846494,1012.6255533854168,2794.818820156159,1012.6255533854168,False,1018.93779296875,2800.81881786734,1018.93779296875,False,0.8394934652137864,0.8447264793949476,0.0052330141811611774,-0.0666270655585867,-66.62706555858671,2797.792541218193,-2.3775001983509387
5,0,0.06415655000455445,1786737011.288526,0.011113300002762116,1033.1026421440972,2794.818820156159,1033.1026421440972,False,1033.1171223958333,2800.81881786734,1033.1171223958333,False,0.8564695153855838,0.8564815198986702,1.200451308636108e-05,-0.019199975228564876,-19.199975228564877,2797.839968308523,-0.6851261500344303
6,0,0.07618150000052992,1786737011.3015268,0.012838800001190975,1062.1501085069444,2794.818820156159,1062.1501085069444,False,1034.8746771918402,2800.81881786734,1034.8746771918402,False,0.8805506361030128,0.857938579481129,-0.022612056621883814,0.18631456301128094,186.31456301128094,2798.045482846763,6.648392913619788
7,0,0.0882666000034078,1786737011.312526,0.011221600012504496,1047.1624837239583,2794.818820156159,1047.1624837239583,False,1034.9412787543401,2800.81881786734,1034.9412787543401,False,0.8681254972919994,0.8579937939444662,-0.010131703347533216,0.07294437606974481,72.9443760697448,2797.9321126598215,2.6029252094542112
8,0,0.09935479999694508,1786737011.323526,0.010782400000607595,1015.5279568142363,2794.818820156159,1015.5279568142363,False,1022.0904595269096,2800.81881786734,1022.0904595269096,False,0.8418996347043373,0.8473401236632804,0.005440488958943113,-0.06851174412703176,-68.51174412703176,2797.7906565396247,-2.444752502391941
9,0,0.11059455000213347,1786737011.335526,0.011616700008744374,1037.5271348741321,2794.818820156159,1037.5271348741321,False,1027.8684326171874,2800.81881786734,1027.8684326171874,False,0.8601375373126747,0.8521302167389022,-0.008007320573772514,0.05364671142017087,53.64671142017087,2797.912814995172,1.9143131394579955
10,0,0.12238775000150781,1786737011.3465261,0.01189429999794811,1040.1247422960068,2794.818820156159,1040.1247422960068,False,1047.7711452907986,2800.81881786734,1047.7711452907986,False,0.8622910228222633,0.8686300938886199,0.006339071066356561,-0.0766743673525416,-76.6743673525416,2797.7824939163993,-2.7360250982208676
11,0,0.13402155000221683,1786737011.3590498,0.011300500002107583,1046.7534939236111,2794.818820156159,1046.7534939236111,False,1038.8392822265625,2800.81881786734,1038.8392822265625,False,0.8677864338903475,0.861225342300491,-0.006561091589856516,0.04050932286532998,40.509322865329985,2797.8996776066174,1.4455225116089774
12,0,0.14518560000578873,1786737011.3700585,0.010954199999105185,1029.0667697482636,2794.818820156159,1029.0667697482636,False,1017.2452012803818,2800.81881786734,1017.2452012803818,False,0.8531236700319761,0.8433232759532511,-0.009800394078725017,0.06993479830262798,69.93479830262798,2797.9291030820546,2.4955323402308016
13,0,0.1564120000039111,1786737011.3815908,0.011425999997300096,1063.4570610894095,2794.818820156159,1063.4570610894095,False,1057.0241129557294,2800.81881786734,1057.0241129557294,False,0.8816341344886259,0.8763010497148623,-0.005333084773763597,0.02935424101423719,29.35424101423719,2797.888522524766,1.047467920862018
14,0,0.1680792500046664,1786737011.3925939,0.011815499994554557,1018.5830891927083,2794.818820156159,1018.5830891927083,False,1024.229527452257,2800.81881786734,1024.229527452257,False,0.8444324205485377,0.8491134677577227,0.004681047209184941,-0.061613056946578426,-61.613056946578425,2797.7975552268053,-2.1985818208171004
15,0,0.17988419999892358,1786737011.4045944,0.011688200000207871,1007.3659939236111,2794.818820156159,1007.3659939236111,False,996.3201822916666,2800.81881786734,996.3201822916666,False,0.8351331507981293,0.8259758797298665,-0.009157271068262807,0.06409273804041171,64.09273804041172,2797.9232610217923,2.2870660162864582
16,0,0.19103639999957522,1786737011.4155917,0.010504599995329045,1004.6676323784723,2794.818820156159,1004.6676323784723,False,1015.7518690321182,2800.81881786734,1015.7518690321182,False,0.832896137445706,0.8420852638770012,0.009189126431295214,-0.10256396377773862,-102.56396377773862,2797.756604319974,-3.6598616820489087
17,0,0.2018426500071655,1786737011.4265897,0.011009900001226924,1006.9031195746526,2794.818820156159,1006.9031195746526,False,1004.0865451388888,2800.81881786734,1004.0865451388888,False,0.8347494156752434,0.8324144006983777,-0.0023350149768657236,0.0021200974073711386,2.1200974073711385,2797.8612883811593,0.07565291918966381
18,0,0.2130061000061687,1786737011.437592,0.011217399995075539,1020.842192925347,2794.818820156159,1020.842192925347,False,1019.6658148871529,2800.81881786734,1019.6658148871529,False,0.8463052775137307,0.8453300288915887,-0.0009752486221420442,-0.010231873922531463,-10.231873922531463,2797.848936409829,-0.36511111627645815
19,0,0.2244750500030932,1786737011.4495897,0.01139569999941159,1052.802533637153,2794.818820156159,1052.802533637153,False,1039.1577880859372,2800.81881786734,1039.1577880859372,False,0.87280124839247,0.8614893921130633,-0.011311856279406673,0.08366475838304577,83.66475838304576,2797.9428330421347,2.9854681124409708
