batch,time_s,timestamp_epoch_s,acq_seconds,peak_01,peak_01_ref,peak_01_freq_mhz,peak_01_spike_sig,peak_01_spike_ref,peak_02,peak_02_ref,peak_02_freq_mhz,peak_02_spike_sig,peak_02_spike_ref,peak_03,peak_03_ref,peak_03_freq_mhz,peak_03_spike_sig,peak_03_spike_ref,peak_04,peak_04_ref,peak_04_freq_mhz,peak_04_spike_sig,peak_04_spike_ref,peak_05,peak_05_ref,peak_05_freq_mhz,peak_05_spike_sig,peak_05_spike_ref,peak_06,peak_06_ref,peak_06_freq_mhz,peak_06_spike_sig,peak_06_spike_ref,peak_07,peak_07_ref,peak_07_freq_mhz,peak_07_spike_sig,peak_07_spike_ref,peak_08,peak_08_ref,peak_08_freq_mhz,peak_08_spike_sig,peak_08_spike_ref,peak_09,peak_09_ref,peak_09_freq_mhz,peak_09_spike_sig,peak_09_spike_ref,peak_10,peak_10_ref,peak_10_freq_mhz,peak_10_spike_sig,peak_10_spike_ref,peak_11,peak_11_ref,peak_11_freq_mhz,peak_11_spike_sig,peak_11_spike_ref,peak_12,peak_12_ref,peak_12_freq_mhz,peak_12_spike_sig,peak_12_spike_ref,peak_13,peak_13_ref,peak_13_freq_mhz,peak_13_spike_sig,peak_13_spike_ref,peak_14,peak_14_ref,peak_14_freq_mhz,peak_14_spike_sig,peak_14_spike_ref,peak_15,peak_15_ref,peak_15_freq_mhz,peak_15_spike_sig,peak_15_spike_ref,peak_16,peak_16_ref,peak_16_freq_mhz,peak_16_spike_sig,peak_16_spike_ref,delta_f_mhz_b01,f_new_mhz_b01,delta_f_mhz_b02,f_new_mhz_b02,delta_f_mhz_b03,f_new_mhz_b03,delta_f_mhz_b04,f_new_mhz_b04,delta_f_mhz_b05,f_new_mhz_b05,delta_f_mhz_b06,f_new_mhz_b06,delta_f_mhz_b07,f_new_mhz_b07,delta_f_mhz_b08,f_new_mhz_b08
0,0.007122600014554337,1786984595.4357123,0.013516799954231828,1495.4668093040318,1555.6317281535594,2753.999971389771,False,False,1503.0116988110158,1554.0540789192162,2760.8635341430245,False,False,1460.3629107191978,1544.0263563285143,2794.61998739598,False,False,1465.079142341902,1541.5980774520892,2800.9999534606936,False,False,1510.12348931748,1547.3200537946632,2822.99994506836,False,False,1510.50058837913,1548.924543815142,2828.7440316308603,False,False,1518.826509154262,1543.0931518782286,2860.99993057251,False,False,1518.8509047284285,1542.180516245377,2867.9402628838575,False,False,1515.7951416694684,1548.06852706544,2885.29421064284,False,False,1520.2274551456428,1549.7580355778343,2891.9999187469484,False,False,1517.760308096708,1553.6169728275822,2921.1994142829058,False,False,1523.7001635235504,1549.2519378304855,2927.999905014038,False,False,1464.9163508267873,1539.0477702723354,2943.999898910523,False,False,1465.0673441941499,1546.9698872145977,2950.162809336516,False,False,1499.071609560779,1548.884219213253,2978.9998855590825,False,False,1493.9891661827182,1551.0086942568082,2985.7750850130146,False,False,-0.3586885506946026,2759.31054496084,-0.12398009204644565,2800.260824724461,0.05863524837677737,2828.208129298588,-0.052478241217952776,2866.0760060852267,-0.14563554552014474,2889.719000154569,-0.5725711003934404,2924.9467109928564,0.1341124143820578,2950.0588987600427,0.24033010411884784,2983.650964489585
1,0.12663025001529604,1786984595.5553157,0.012005700031295419,1498.0771326833142,1552.2960953021363,2753.999971389771,False,False,1504.009605098267,1555.1313002414645,2760.8635341430245,False,False,1470.7364749212945,1551.060971360455,2794.61998739598,False,False,1472.4708546015831,1552.5844805452823,2800.9999534606936,False,False,1515.4640874774582,1557.6279976770486,2822.99994506836,False,False,1513.2898370877524,1556.5787159580645,2828.7440316308603,False,False,1523.0300210899532,1553.5761744658741,2860.99993057251,False,False,1519.3185133111224,1551.829946205337,2867.9402628838575,False,False,1514.9003056514962,1553.3169025277377,2885.29421064284,False,False,1532.6890485068927,1553.5868906073297,2891.9999187469484,False,False,1527.199839532965,1556.5705321392547,2921.1994142829058,False,False,1526.8525567747654,1560.2956032032278,2927.999905014038,False,False,1472.3395023993642,1551.4201668857172,2943.999898910523,False,False,1474.843388758138,1553.5818106794632,2950.162809336516,False,False,1504.686945624599,1552.9549668368124,2978.9998855590825,False,False,1493.820342635327,1551.9125638047497,2985.7750850130146,False,False,-0.1264335791173425,2759.5427999324174,-0.00508649741673391,2800.379718319091,0.05660714086535352,2828.2061011910764,0.11302271489647987,2866.2415070413413,-0.9164905789419692,2888.9481451211473,0.2229729089814098,2925.742255002231,-0.008176154231362533,2949.9166101914293,0.33164201019890865,2983.7422763956647
2,0.22678075000294484,1786984595.6553102,0.011997300025541335,1497.8315661582662,1560.180831066418,2753.999971389771,False,False,1500.527678271235,1546.5552052449798,2760.8635341430245,False,False,1465.5864810343246,1545.5547834459148,2794.61998739598,False,False,1472.67249442186,1547.4041400495157,2800.9999534606936,False,False,1507.2063422685455,1547.1763318763944,2822.99994506836,False,False,1515.9846272580003,1552.1636519240762,2828.7440316308603,False,False,1525.1118791453982,1547.5527707308127,2860.99993057251,False,False,1519.5569398172204,1549.5120121037992,2867.9402628838575,False,False,1516.6656371305435,1546.5943026561115,2885.29421064284,False,False,1518.1661613228596,1545.1160084971116,2891.9999187469484,False,False,1514.621005899074,1548.977534615032,2921.1994142829058,False,False,1525.7731607421215,1552.6284011370237,2927.999905014038,False,False,1466.1392487086225,1541.2115138918605,2943.999898910523,False,False,1469.4912430846348,1545.607593911422,2950.162809336516,False,False,1491.3068771586636,1546.73965675337,2978.9998855590825,False,False,1498.3442079041477,1548.729232509093,2985.7750850130146,False,False,-0.6275488099857143,2759.041684701549,-0.09391561242869671,2800.290889204079,-0.1929301953861023,2827.956563854825,0.4237457144036957,2866.5522300408484,-0.15512680951508456,2889.7095088905744,-0.42452783408944644,2925.0947542591603,0.015076057636343216,2949.939862403297,-0.1725934337214876,2983.2380409517446
3,0.3313223000150174,1786984595.7596014,0.012273999978788197,1486.4957713115505,1543.554745239478,2753.999971389771,False,False,1494.3883500932238,1546.4866216340129,2760.8635341430245,False,False,1456.172986520769,1538.5228581471406,2794.61998739598,False,False,1464.0522495950117,1545.947310266834,2800.9999534606936,False,False,1497.7910367698746,1540.3049729498427,2822.99994506836,False,False,1502.3066891829938,1535.50099489562,2828.7440316308603,False,False,1502.485331784699,1531.4785310389095,2860.99993057251,False,False,1511.2510804780388,1540.306693767766,2867.9402628838575,False,False,1513.8192927224377,1539.6691796313842,2885.29421064284,False,False,1512.8504752880765,1539.4386205947978,2891.9999187469484,False,False,1507.349333679738,1531.982626768958,2921.1994142829058,False,False,1507.2490142739248,1546.5024390989395,2927.999905014038,False,False,1458.7927010422713,1537.5404025430205,2943.999898910523,False,False,1466.5812314698778,1545.733996087661,2950.162809336516,False,False,1493.861365650885,1541.9827872359933,2978.9998855590825,False,False,1488.0644557875112,1544.220979918697,2985.7750850130146,False,False,-0.20163486461222851,2759.467598646923,-0.015023589990005895,2800.3697812265177,-0.45708631291422674,2827.692407737297,-0.005963089248540213,2866.1225212371965,0.039166252980521815,2889.90380195307,0.8086939277777686,2926.3279760210276,-0.0002649227306464572,2949.92452142293,0.2693393920305182,2983.6799737774963
4,0.44139905003248714,1786984595.8695104,0.01155210001161322,1493.3284332304306,1556.3011354953082,2753.999971389771,False,False,1507.4744200262862,1551.3549561390105,2760.8635341430245,False,False,1465.02030442889,1543.06653116117,2794.61998739598,False,False,1473.4985007794114,1539.8816914753795,2800.9999534606936,False,False,1501.0415410948435,1544.4634578353762,2822.99994506836,False,False,1509.2470810282114,1546.1226564171534,2828.7440316308603,False,False,1516.2138185041415,1546.131894733625,2860.99993057251,False,False,1516.5845248647495,1551.2096417764465,2867.9402628838575,False,False,1520.2456108445153,1547.3718785340952,2885.29421064284,False,False,1520.3625699177796,1551.3704419720632,2891.9999187469484,False,False,1516.625549408564,1549.5801998960785,2921.1994142829058,False,False,1522.6125531069476,1556.2512180212123,2927.999905014038,False,False,1464.584378152031,1540.4311092092796,2943.999898910523,False,False,1472.4959608154782,1541.8973041538038,2950.162809336516,False,False,1493.797342360241,1539.2311902069262,2978.9998855590825,False,False,1490.934472903995,1548.501954641318,2985.7750850130146,False,False,-0.749117419940764,2758.920116091594,-0.20356708109026014,2800.1812377354177,-0.3257701670700597,2827.823723883141,0.26060319249765496,2866.3890875189422,0.1996071392521542,2890.0642428393417,0.03028369954892052,2925.5495657927986,-0.11867641027962486,2949.8061099353813,0.39992828906645395,2983.8105626745323
5,0.5575216000142973,1786984595.985895,0.011924200050998479,1501.0055322920805,1555.8175428676223,2753.999971389771,False,False,1507.7225631934466,1549.921927438335,2760.8635341430245,False,False,1470.6934651710121,1553.8890637894672,2794.61998739598,False,False,1472.6525399639331,1549.7100849711157,2800.9999534606936,False,False,1519.6064828682336,1563.2934376623775,2822.99994506836,False,False,1518.83783659871,1548.2817877556013,2828.7440316308603,False,False,1522.5699773817892,1551.8979918696705,2860.99993057251,False,False,1525.0161215881649,1556.5528150502796,2867.9402628838575,False,False,1530.108251062139,1546.729473973775,2885.29421064284,False,False,1524.8590258886816,1553.41414096647,2891.9999187469484,False,False,1521.9573417489378,1555.6724057829263,2921.1994142829058,False,False,1522.643656203197,1557.6886572729773,2927.999905014038,False,False,1470.160040651649,1551.3712259681513,2943.999898910523,False,False,1470.3658770669686,1553.6139056148181,2950.162809336516,False,False,1495.5201256227651,1553.7787297123818,2978.9998855590825,False,False,1506.9076290613443,1556.0536800440138,2985.7750850130146,False,False,-0.49234256457328546,2759.1768909469615,-0.10401045993508926,2800.2807943565726,-0.6820886064303214,2827.467405443781,0.11950373979855404,2866.247988066243,0.6203940486933402,2890.485029748783,0.07178209645917161,2925.591064189709,0.03468692064472653,2949.9594732663054,-0.30865372521104256,2983.101980660255
6,0.672107650025282,1786984596.1002302,0.01152689999435097,1513.013982027692,1565.4437341443286,2753.999971389771,False,False,1517.1308952532322,1561.2276400647982,2760.8635341430245,False,False,1477.6234679218755,1558.1137191674054,2794.61998739598,False,False,1480.4704328025186,1559.7220053794665,2800.9999534606936,False,False,1511.7483586514659,1559.0462114497052,2822.99994506836,False,False,1521.6263196503346,1562.0063621358925,2828.7440316308603,False,False,1529.0012913775713,1558.8560839930312,2860.99993057251,False,False,1529.8731515725772,1556.3714750741206,2867.9402628838575,False,False,1526.935561023321,1564.4417153161967,2885.29421064284,False,False,1537.0888238530429,1563.327164776722,2891.9999187469484,False,False,1532.2142418314638,1564.3369150594494,2921.1994142829058,False,False,1520.000511966256,1552.8744643457528,2927.999905014038,False,False,1466.4520860714613,1548.4076871351285,2943.999898910523,False,False,1482.7976678790842,1560.4711617813368,2950.162809336516,False,False,1509.017105785983,1551.147559372803,2978.9998855590825,False,False,1503.8176009414067,1561.859351407525,2985.7750850130146,False,False,-0.32277188666498924,2759.34646162487,-0.02309558913094602,2800.3617092273767,-0.342736457674405,2827.8067575925365,-0.18647994893339837,2865.9420043775112,-0.5841891455936846,2889.2804465544955,0.05523355352295523,2925.574515646773,-0.08853135349012183,2949.836254992171,0.522226232881405,2983.9328606183476
7,0.7944715000048745,1786984596.222758,0.012179400015156716,1495.4308066142983,1553.0010162912245,2753.999971389771,False,False,1499.4486306812971,1547.516089494758,2760.8635341430245,False,False,1469.5214200568512,1553.2796818167926,2794.61998739598,False,False,1480.038446373445,1550.1845600146712,2800.9999534606936,False,False,1514.4944677079193,1555.5174496439158,2822.99994506836,False,False,1518.3332808631599,1560.21115016658,2828.7440316308603,False,False,1527.5333282391416,1543.6979643610355,2860.99993057251,False,False,1519.1312620350277,1548.5547803894,2867.9402628838575,False,False,1525.7100956689183,1546.5399608766083,2885.29421064284,False,False,1522.2130452058564,1546.8747455451294,2891.9999187469484,False,False,1521.1857810923987,1556.1136228871842,2921.1994142829058,False,False,1527.8851896567535,1562.8654873613107,2927.999905014038,False,False,1467.134041935385,1545.1072607512915,2943.999898910523,False,False,1473.212091573188,1544.2597105480331,2950.162809336516,False,False,1495.6848442705627,1546.2383653757986,2978.9998855590825,False,False,1498.1888742855394,1552.9410337133602,2985.7750850130146,False,False,-0.36966072297847286,2759.2995727885564,-0.23637895492774202,2800.14842586158,0.035798742268130124,2828.1852927924792,0.7481265864433868,2866.8766109128883,0.2010180829429676,2890.0656537830323,-0.005511859905976669,2925.5137702333436,-0.12513538680295058,2949.799650958858,0.13380828033830194,2983.544442665804
8,0.927395050006453,1786984596.35525,0.01202909997664392,1492.9580875385886,1554.3706238347036,2753.999971389771,False,False,1501.2603661704923,1545.0173075159703,2760.8635341430245,False,False,1458.019651862946,1546.0343124369595,2794.61998739598,False,False,1469.0313720695665,1546.0365085429596,2800.9999534606936,False,False,1504.3852263349331,1547.7142693400983,2822.99994506836,False,False,1512.6724103676988,1546.099300058074,2828.7440316308603,False,False,1511.6970901977566,1538.1670798056057,2860.99993057251,False,False,1510.9274031848886,1536.9206834367455,2867.9402628838575,False,False,1507.6205810434942,1540.5409252070788,2885.29421064284,False,False,1513.6219793990892,1546.9524956444661,2891.9999187469484,False,False,1516.5832640523274,1545.9239890576766,2921.1994142829058,False,False,1517.4735580890667,1553.8701577161721,2927.999905014038,False,False,1459.9230430662958,1540.3383302258767,2943.999898910523,False,False,1462.514579576367,1538.2892425955924,2950.162809336516,False,False,1499.1176666564784,1545.131225356848,2978.9998855590825,False,False,1489.3760369227007,1550.9165418589723,2985.7750850130146,False,False,-0.6882478730629429,2758.980985638472,-0.19407836268223583,2800.1907264538254,-0.48705465280421856,2827.662439397407,-0.02598197716683694,2866.102502349278,0.014346191051555473,2889.878981891141,0.3863025107818705,2925.9055846040314,-0.08274531545193073,2949.8420410302087,0.5169654223455472,2983.9275998078115
9,1.0402438000019174,1786984596.4684832,0.012144999986048788,1487.8138429562614,1553.474270257053,2753.999971389771,False,False,1499.5654950025983,1546.2282804046827,2760.8635341430245,False,False,1466.6908610202647,1550.0265320781245,2794.61998739598,False,False,1476.4966439465722,1548.2997661766055,2800.9999534606936,False,False,1506.849419262157,1551.0530840235963,2822.99994506836,False,False,1512.8646514044685,1549.2388406638752,2828.7440316308603,False,False,1513.5661873032368,1549.7364199040253,2860.99993057251,False,False,1523.3611608643826,1549.8800898615398,2867.9402628838575,False,False,1516.2559510346302,1545.729969129199,2885.29421064284,False,False,1521.2751459485894,1547.083300730507,2891.9999187469484,False,False,1517.0897988813153,1546.9708591863557,2921.1994142829058,False,False,1517.0549668368126,1551.6927132683318,2927.999905014038,False,False,1462.9406852706543,1546.6320185224808,2943.999898910523,False,False,1468.693659259712,1550.0500687715867,2950.162809336516,False,False,1504.1598297521166,1548.6216905584254,2978.9998855590825,False,False,1491.24580798973,1547.8922074151053,2985.7750850130146,False,False,-0.743618458934118,2758.9256150526007,-0.2013647230404344,2800.183440093467,-0.3835391376540701,2827.765954912557,-0.546389733548773,2865.582094592896,-0.19386697593635113,2889.670768724153,0.26137575452615314,2925.7806578477757,-0.04564233716103271,2949.8791440084997,0.41174082014292485,2983.8223752056088
