batch,time_s,timestamp_epoch_s,acq_seconds,peak_01,peak_01_ref,peak_01_freq_mhz,peak_01_raw,peak_01_ref_raw,peak_01_spike_sig,peak_01_spike_ref,peak_02,peak_02_ref,peak_02_freq_mhz,peak_02_raw,peak_02_ref_raw,peak_02_spike_sig,peak_02_spike_ref,z_minus,z_plus,lockin_signal,f0_mhz,delta_f_mhz,peak_shift_kHz,delta_f_linear_mhz,peak_shift_linear_kHz,B_shift_nT,B_shift_linear_nT
0,0.005579104472417384,1785869694.3946838,0.010144790983758867,-5536.351309716661,-5526.106386588012,2930.2169026906186,-5536.351309716661,-5526.106386588012,False,False,-5569.593581318581,-5561.217608582694,2936.2169004017996,-5569.593581318581,-5561.217608582694,False,False,-1.0018539134812012,-1.0015061400803593,0.0003477734008419109,2932.8485928870473,-0.3683086184655622,-368.3086184655622,-0.03667989811858624,-36.67989811858624,-13142.614133084577,-1308.8744689761004
1,0.1076471249689348,1785869694.4967968,0.010243750060908496,-5538.95596937372,-5525.854754409023,2930.2169026906186,-5538.95596937372,-5525.854754409023,False,False,-5570.223078216218,-5557.263410459394,2936.2169004017996,-5570.223078216218,-5557.263410459394,False,False,-1.00237089383398,-1.0023320232998911,3.887053408879737e-05,2933.1881538590173,-0.02874764649550343,-28.74764649550343,-0.004099701779289257,-4.099701779289257,-1025.8223842243588,-146.2925270942498
2,0.25715522945392877,1785869694.646108,0.009854125091806054,-5537.546536968549,-5526.115666167437,2930.2169026906186,-5537.546536968549,-5526.115666167437,False,False,-5566.273558089068,-5561.949613350857,2936.2169004017996,-5566.273558089068,-5561.949613350857,False,False,-1.0020685181946327,-1.0007774153019708,0.0012911028926618773,2931.300033779385,-1.916867726127748,-1916.867726127748,-0.13617350392156308,-136.17350392156308,-68400.93227689652,-4859.1744191251455
3,0.3571811044239439,1785869694.746304,0.010191209032200277,-5538.3180319100165,-5523.053767154691,2930.2169026906186,-5538.3180319100165,-5523.053767154691,False,False,-5570.912796099887,-5560.3927270226495,2936.2169004017996,-5570.912796099887,-5560.3927270226495,False,False,-1.0027637364036,-1.00189196511716,0.000871771286439893,2932.550985978046,-0.6659155274669502,-665.9155274669502,-0.09194631300687302,-91.94631300687301,-23762.32969836391,-3280.98462057069
4,0.4645197919453494,1785869694.8536801,0.010098833939991891,-5541.516746645475,-5523.087489684262,2930.2169026906186,-5541.516746645475,-5523.087489684262,False,False,-5571.755822661002,-5558.886568145002,2936.2169004017996,-5571.755822661002,-5558.886568145002,False,False,-1.003336767160693,-1.0023150777333265,0.0010216894273664678,2932.5797378558254,-0.6371636496874089,-637.1636496874089,-0.10775828172555106,-107.75828172555106,-22736.356326270656,-3845.2141637721616
5,0.563235874986276,1785869694.952321,0.009925249963998795,-5538.3180319100165,-5528.239016413487,2930.2169026906186,-5547.637119845951,-5528.239016413487,True,False,-5570.223078216218,-5560.3927270226495,2936.2169004017996,-5577.02769966684,-5569.702313781826,True,True,-1.0018231873597732,-1.0017679238996544,5.52634601187485e-05,2933.162698925121,-0.05420258039202963,-54.20258039202963,-0.0058286748841528,-5.8286748841528,-1934.14860091456,-207.98868413334284
6,0.6771060419850983,1785869695.066077,0.009731500060297549,-5543.7450117675835,-5533.027034874835,2930.2169026906186,-5543.7450117675835,-5533.027034874835,False,False,-5574.410201118685,-5560.805167802671,2936.2169004017996,-5574.410201118685,-5572.725798514534,False,True,-1.0019370910037475,-1.002446594136185,-0.0005095031324375832,2933.6257000427636,0.4087985372507319,408.7985372507319,0.05373764337234674,53.73764337234674,14587.444235324432,1917.5579279312994
7,0.7804901879862882,1785869695.1696901,0.010188042069785297,-5540.00417978421,-5529.202734052634,2930.2169026906186,-5540.00417978421,-5529.202734052634,False,False,-5574.181274261087,-5561.217608582694,2936.2169004017996,-5574.181274261087,-5575.067489378611,False,True,-1.0019535268014415,-1.0023310840522381,-0.00037755725079668956,2933.5260502938686,0.309148788355742,309.148788355742,0.03982122111570989,39.82122111570989,11031.572521971952,1420.968495422134
8,0.886116104433313,1785869695.275148,0.00985387503169477,-5543.739860011615,-5532.4374163279035,2930.2169026906186,-5543.739860011615,-5532.4374163279035,False,False,-5571.334309380444,-5566.648126356327,2936.2169004017996,-5581.151569520433,-5566.648126356327,True,False,-1.0020429410824159,-1.000841832089571,0.0012011089928449792,2931.5174833232913,-1.6994181822215069,-1699.4181822215069,-0.1266817858414038,-126.6817858414038,-60641.52805529213,-4520.474801648722
9,0.9821591459331103,1785869695.370993,0.009333541966043413,-5543.159588287435,-5527.537115261179,2930.2169026906186,-5543.159588287435,-5527.537115261179,False,False,-5575.329180548338,-5564.996828865727,2936.2169004017996,-5575.329180548338,-5564.996828865727,False,False,-1.002826299073257,-1.0018566680270178,0.000969631046239261,2932.476985698073,-0.7399158074399566,-739.9158074399566,-0.1022676487118215,-102.2676487118215,-26402.933465599363,-3649.2880642242894
10,1.0770638544927351,1785869695.4658492,0.009371291031129658,-5543.930235046,-5521.033939542134,2930.2169026906186,-5543.930235046,-5521.033939542134,False,False,-5565.52564263227,-5567.305012684537,2936.2169004017996,-5565.52564263227,-5567.305012684537,False,False,-1.0041471028351918,-0.9996803893359152,0.004466713499276631,,,,-0.4711073235657599,-471.1073235657599,,-16810.852253988007
11,1.1707891874248162,1785869695.559784,0.009797625010833144,-5547.267697221629,-5526.115666167437,2930.2169026906186,-5547.267697221629,-5534.5393755539935,False,True,-5571.755822661002,-5564.996828865727,2936.2169004017996,-5581.515814408411,-5576.653383562063,True,True,-1.0038276489910791,-1.0012145548332059,0.0026130941578732525,2930.9649372880176,-2.2519642174952423,-2251.9642174952423,-0.2756048255928053,-275.6048255928053,-80358.41484068093,-9834.599828461507
