batch,sample,time_s,timestamp_epoch_s,acq_seconds,peak_01,peak_01_freq_mhz,peak_01_raw,peak_01_spike_sig,peak_02,peak_02_freq_mhz,peak_02_raw,peak_02_spike_sig,z_minus,z_plus,lockin_signal,delta_f_mhz,peak_shift_kHz,f_new_mhz,B_shift_uT
0,0,0.0063018000073498115,1786042458.2164006,0.011658399977022782,-1977.0966177668568,2809.1916999043146,-1977.0966177668568,False,-1978.5641177103778,2817.191696852557,-1978.5641177103778,False,-0.9658944764731384,-0.9666114116380331,-0.0007169351648946831,0.1264728113752354,126.4728113752354,2813.3060353172805,4.51301781955593
1,0,0.018053850013529882,1786042458.2283983,0.011711700004525483,-1982.333071757669,2809.1916999043146,-1982.333071757669,False,-1985.3609511608777,2817.191696852557,-1985.3609511608777,False,-0.9684527034917775,-0.9699319493539699,-0.001479245862192391,0.26544547708328986,265.44547708328986,2813.4450079829885,9.472076687242716
2,0,0.02986044999852311,1786042458.2393982,0.011768900003517047,-1982.4240529122603,2809.1916999043146,-1982.4240529122603,False,-1985.044532094072,2817.191696852557,-1985.044532094072,False,-0.9684971515950686,-0.9697773653917438,-0.0012802137966752003,0.22916103715039204,229.16103715039205,2813.4087235430557,8.177313629403084
3,0,0.04153020000376273,1786042458.251402,0.011440600006608292,-1969.784256555892,2809.1916999043146,-1969.784256555892,False,-1969.2840891120295,2817.191696852557,-1969.2840891120295,False,-0.9623220818616778,-0.9620777291239324,0.00024435273774536803,-0.048774293009317425,-48.774293009317425,2813.130788212896,-1.7404472241406446
4,0,0.053729050006950274,1786042458.2639287,0.012844300013966858,-1971.8529131909881,2809.1916999043146,-1971.8529131909881,False,-1973.6169030593057,2817.191696852557,-1973.6169030593057,False,-0.9633327072401258,-0.9641944901469657,-0.0008617829068399141,0.15287920563321827,152.87920563321828,2813.3324417115386,5.455295662047469
5,0,0.06596365000586957,1786042458.2759337,0.01154749997658655,-1986.1472788378865,2809.1916999043146,-1986.1472788378865,False,-1981.2121812752575,2817.191696852557,-1981.2121812752575,False,-0.9703161033467973,-0.9679051015607625,0.0024110017860348165,-0.44376415076939074,-443.76415076939077,2812.735798355136,-15.835146687460417
6,0,0.07747215000563301,1786042458.2869277,0.01139370002783835,-1980.6284188116535,2809.1916999043146,-1980.6284188116535,False,-1979.104862383736,2817.191696852557,-1979.104862383736,False,-0.9676199091558488,-0.9668755880513077,0.0007443211045411458,-0.13992077298082511,-139.92077298082512,2813.0396417329243,-4.992890842878429
7,0,0.08899010000459384,1786042458.2989347,0.01154920001863502,-1978.7535266202517,2809.1916999043146,-1978.7535266202517,False,-1976.43279853181,2817.191696852557,-1976.43279853181,False,-0.9667039458208333,-0.9655701729834928,0.0011337728373405076,-0.2109195739468981,-210.91957394689808,2812.9686429319586,-7.5263907346166885
8,0,0.10088310000719503,1786042458.3109334,0.012163200008217245,-1969.7659486957316,2809.1916999043146,-1969.7659486957316,False,-1966.7207003140236,2817.191696852557,-1966.7207003140236,False,-0.962313137705461,-0.9608254063700532,0.0014877313354078048,-0.27544779872559483,-275.44779872559485,2812.90411470718,-9.828996528889338
9,0,0.11303510000288952,1786042458.3229346,0.01201139998738654,-1969.3872312094097,2809.1916999043146,-1969.3872312094097,False,-1967.923175160899,2817.191696852557,-1967.923175160899,False,-0.9621281183569401,-0.9614128656789497,0.0007152526779904411,-0.13462146819603005,-134.62146819603004,2813.044941037709,-4.803792042393307
10,0,0.12497725000139326,1786042458.3349295,0.011764099996071309,-1978.380697576449,2809.1916999043146,-1978.380697576449,False,-1978.6874507469192,2817.191696852557,-1978.6874507469192,False,-0.9665218032230252,-0.9666716649901919,-0.00014986176716669242,0.023092782715338954,23.092782715338952,2813.2026552886205,0.8240359233278245
11,0,0.13676454999949783,1786042458.3469446,0.011727900011464953,-1988.3462526462108,2809.1916999043146,-1988.3462526462108,False,-1992.29380152055,2817.191696852557,-1992.29380152055,False,-0.9713903941205929,-0.9733189370249041,-0.0019285429043112146,0.34735434686478267,347.35434686478266,2813.5269168527702,12.394888198143828
