batch,sample,time_s,timestamp_epoch_s,acq_seconds,peak_01,peak_01_freq_mhz,peak_01_raw,peak_01_spike_sig,peak_02,peak_02_freq_mhz,peak_02_raw,peak_02_spike_sig,z_minus,z_plus,lockin_signal,delta_f_mhz,peak_shift_kHz,f_new_mhz,B_shift_uT
0,0,0.005583707825280726,1787084076.6295328,0.010296833934262395,1742.7374232881136,2794.148260314823,1742.7374232881136,False,1742.9904583282866,2800.148258026004,1742.9904583282866,False,0.9451941541681089,0.9453313907004605,0.00013723653235153677,0.021143838613738006,21.143838613738005,2797.2018990320885,0.7544903873015275
1,0,0.016041291411966085,1787084076.640057,0.010450167115777731,1745.868136935764,2794.148260314823,1745.868136935764,False,1741.496045174217,2800.148258026004,1741.496045174217,False,0.9468921335645404,0.9445208781365692,-0.0023712554279712306,0.10400041885313722,104.00041885313722,2797.284755612328,3.7111197135718395
2,0,0.02653329086024314,1787084076.6505191,0.010410750051960349,1746.3593062368782,2794.148260314823,1746.3593062368782,False,1741.3618883236436,2800.148258026004,1741.3618883236436,False,0.9471585250162395,0.9444481165895862,-0.0027104084266533768,0.11520278987653264,115.20278987653263,2797.2959579833514,4.110861756941644
3,0,0.037085687392391264,1787084076.6611688,0.010598125169053674,1740.702839853843,2794.148260314823,1740.702839853843,False,1743.5573042837532,2800.148258026004,1743.5573042837532,False,0.9440906738947517,0.945638826276389,0.0015481523816373022,-0.02545932540929683,-25.45932540929683,2797.1552958680654,-0.9084829221130756
4,0,0.04779554146807641,1787084076.671938,0.010711333015933633,1741.1910485555957,2794.148260314823,1741.1910485555957,False,1743.5573042837532,2800.148258026004,1743.5573042837532,False,0.9443554596305397,0.945638826276389,0.001283366645849271,-0.016713337417074422,-16.71333741707442,2797.164041856058,-0.5963937131413939
5,0,0.058493686956353486,1787084076.682576,0.010567791992798448,1740.5793343477467,2794.148260314823,1740.5793343477467,False,1743.1088343578408,2800.148258026004,1743.1088343578408,False,0.9440236892298159,0.9453955933334176,0.0013719041036016622,-0.01963776814616853,-19.63776814616853,2797.1611174253285,-0.7007482210308495
6,0,0.06924899993464351,1787084076.693426,0.010790999978780746,1741.295283985384,2794.148260314823,1741.295283985384,False,1743.1088343578408,2800.148258026004,1743.1088343578408,False,0.944411992942774,0.9453955933334176,0.000983600390643602,-0.006811927657596106,-6.811927657596105,2797.1739432658173,-0.2430747808163041
7,0,0.08013887435663491,1787084076.7043672,0.010887583019211888,1740.5945556009767,2794.148260314823,1740.5945556009767,False,1743.9927287730138,2800.148258026004,1743.9927287730138,False,0.944031944655665,0.9458749838732426,0.0018430392175776689,-0.0351995658286808,-35.1995658286808,2797.145555627646,-1.2560507361076505
8,0,0.0909543123561889,1787084076.715057,0.01063287490978837,1741.5462006167227,2794.148260314823,1741.5462006167227,False,1744.8802859284158,2800.148258026004,1744.8802859284158,False,0.9445480805311597,0.9463563609433426,0.0018082804121829499,-0.034051467372011784,-34.051467372011786,2797.1467037261027,-1.2150823355699323
9,0,0.10169510392006487,1787084076.7259362,0.010722458129748702,1741.188352284197,2794.148260314823,1741.188352284197,False,1745.1616387576714,2800.148258026004,1745.1616387576714,False,0.9443539972760105,0.9465089559619136,0.0021549586859030967,-0.04550240150219483,-45.50240150219483,2797.1352527919726,-1.6236940301953622
10,0,0.11377064534462988,1787084076.7391171,0.013120375107973814,1744.1412558543282,2794.148260314823,1744.1412558543282,False,1747.4117176144618,2800.148258026004,1747.4117176144618,False,0.9459555392840108,0.9477293127141334,0.0017737734301226382,-0.03291168674958083,-32.91168674958083,2797.147843506725,-1.174410746131203
11,0,0.12564377044327557,1787084076.749685,0.010513708926737309,1744.2218525415858,2794.148260314823,1744.2218525415858,False,1745.9782279554263,2800.148258026004,1745.9782279554263,False,0.9459992518459971,0.9469518427248653,0.0009525908788682313,-0.005787669999512963,-5.787669999512963,2797.1749675234755,-0.20652547814419653
12,0,0.13641887437552214,1787084076.7606668,0.010922166984528303,1746.0395646600448,2794.148260314823,1746.0395646600448,False,1742.8944170653667,2800.148258026004,1742.8944170653667,False,0.9469851094085703,0.9452793015910755,-0.0017058078174947422,0.08202039491657767,82.02039491657767,2797.2627755883914,2.9267911403289206
13,0,0.14714912429917604,1787084076.7711391,0.0104265830013901,1746.9043296794248,2794.148260314823,1746.9043296794248,False,1743.0332346677167,2800.148258026004,1743.0332346677167,False,0.9474541248954271,0.9453545909516432,-0.0020995339437839267,0.09502534007535349,95.02534007535348,2797.27578053355,3.390855697807361
14,0,0.15769445791374892,1787084076.781771,0.010580584174022079,1739.864336669291,2794.148260314823,1739.864336669291,False,1738.719156270187,2800.148258026004,1738.719156270187,False,0.9436359018231252,0.9430147997544849,-0.0006211020686403002,0.04619209235963765,46.19209235963765,2797.2269472858343,1.64830475162852
15,0,0.1682148118270561,1787084076.79217,0.010342458030208945,1740.3914047359494,2794.148260314823,1740.3914047359494,False,1738.719156270187,2800.148258026004,1738.719156270187,False,0.9439217633928585,0.9430147997544849,-0.0009069636383736146,0.05563422431166566,55.63422431166566,2797.2363894177865,1.9852349526001163
16,0,0.17891281191259623,1787084076.803164,0.010939791798591614,1742.114828104813,2794.148260314823,1742.114828104813,False,1746.9130190669412,2800.148258026004,1746.9130190669412,False,0.9448564823422759,0.9474588376870238,0.002602355344747842,-0.06028010768931731,-60.28010768931731,2797.1204750857855,-2.15101725982434
17,0,0.18972731183748692,1787084076.813822,0.010589292040094733,1742.8972634800955,2794.148260314823,1742.8972634800955,False,1746.6889698905843,2800.148258026004,1746.6889698905843,False,0.9452808453776069,0.947337321979087,0.0020564766014801172,-0.04224949542986046,-42.24949542986046,2797.138505698045,-1.5076183068034705
18,0,0.2003407704178244,1787084076.824366,0.010473874863237143,1746.6554879279713,2794.148260314823,1746.6554879279713,False,1749.4481961351341,2800.148258026004,1749.4481961351341,False,0.9473191626425692,0.9488338208099064,0.0015146581673372017,-0.024352996946376493,-24.352996946376493,2797.1564021965287,-0.8690050294881706
19,0,0.21075872844085097,1787084076.834665,0.01023212494328618,1747.322488947432,2794.148260314823,1747.322488947432,False,1749.4481961351341,2800.148258026004,1749.4481961351341,False,0.9476809184963162,0.9488338208099064,0.0011529023135902206,-0.012404043791588474,-12.404043791588474,2797.168351149683,-0.4426221735508305
