batch,time_s,timestamp_epoch_s,acq_seconds,peak_01,peak_01_freq_mhz,peak_01_raw,peak_01_spike_sig,peak_02,peak_02_freq_mhz,peak_02_raw,peak_02_spike_sig,z_minus,z_plus,lockin_signal,delta_f_mhz,peak_shift_kHz,f_new_mhz,B_shift_uT
0,0.005421520443633199,1785872545.0934532,0.009687209036201239,-5295.849656142067,2806.913354404411,-5295.849656142067,False,-5299.581191735184,2813.913351734123,-5299.581191735184,False,-1.0117388382978891,-1.0124517247525997,-0.0007128864547105707,0.04279811045062038,42.798110450620385,2810.5537394793073,1.5271949204474873
1,0.015486874443013221,1785872545.103838,0.01033608301077038,-5284.219865818993,2806.913354404411,-5284.219865818993,False,-5295.094962863343,2813.913351734123,-5295.094962863343,False,-1.0095170398490851,-1.0115946588836942,-0.002077619034609013,0.18604015169594357,186.04015169594356,2810.6969815205525,6.638600902652853
2,0.02553860394982621,1785872545.113562,0.009687957935966551,-5288.221878534095,2806.913354404411,-5288.221878534095,False,-5292.602283216677,2813.913351734123,-5292.602283216677,False,-1.0102815992603469,-1.0111184480820825,-0.0008368488217356251,0.05580917412112506,55.80917412112506,2810.566750542978,1.9914778090609855
3,0.035281124408356845,1785872545.123323,0.009730166988447309,-5288.951386129536,2806.913354404411,-5288.951386129536,False,-5292.767533698077,2813.913351734123,-5292.767533698077,False,-1.0104209671078246,-1.011150018149387,-0.0007290510415625118,0.04449474204765579,44.49474204765579,2810.5554361109043,1.5877370128338493
4,0.0450914369430393,1785872545.133185,0.009832957992330194,-5292.225116911698,2806.913354404411,-5292.225116911698,False,-5286.593400984197,2813.913351734123,-5286.593400984197,False,-1.011046392826737,-1.0099704888453038,0.0010759039814332017,-0.14495295316978024,-144.95295316978024,2810.365988415687,-5.1724576495068595
5,0.055007874965667725,1785872545.1431592,0.009945000056177378,-5301.1059510346295,2806.913354404411,-5301.1059510346295,False,-5304.100796222147,2813.913351734123,-5304.100796222147,False,-1.012743020446864,-1.013315166823298,-0.0005721463764341017,0.02802606177655106,28.02606177655106,2810.538967430633,1.0000735718152676
6,0.06487662444123998,1785872545.1529238,0.009728083037771285,-5297.6776018583605,2806.913354404411,-5297.6776018583605,False,-5300.3590732646635,2813.913351734123,-5300.3590732646635,False,-1.0120880558541938,-1.0126003341365644,-0.0005122782823705485,0.02174231936031261,21.74231936031261,2810.532683688217,0.7758463945301388
7,0.07464120793156326,1785872545.162678,0.009712584083899856,-5308.920495461075,2806.913354404411,-5308.920495461075,False,-5303.390249717272,2813.913351734123,-5303.390249717272,False,-1.014235940112865,-1.013179421373167,0.0010565187396980313,-0.14291828232138118,-142.91828232138118,2810.3680230865352,-5.099853065992763
8,0.084693165961653,1785872545.173027,0.010313000064343214,-5304.024962557693,2806.913354404411,-5304.024962557693,False,-5305.075531069475,2813.913351734123,-5305.075531069475,False,-1.013300679277661,-1.013501383798121,-0.0002007045204599489,-0.010960396403884826,-10.960396403884825,2810.4999809724527,-0.39110749371555903
9,0.09478468692395836,1785872545.182867,0.009811541996896267,-5296.827418467463,2806.913354404411,-5296.827418467463,False,-5294.86995292967,2813.913351734123,-5294.86995292967,False,-1.0119256336533955,-1.0115516721481028,0.0003739615052926748,-0.0712772202092262,-71.2772202092262,2810.4396641486474,-2.5434349203977376
10,0.10467852040892467,1785872545.1928189,0.009925040998496115,-5295.100985726075,2806.913354404411,-5295.100985726075,False,-5301.423117950913,2813.913351734123,-5301.423117950913,False,-1.0115958095138176,-1.0128036131955753,-0.0012078036817577686,0.09474451731004428,94.74451731004429,2810.6056858861666,3.38083490258508
11,0.11468387499917299,1785872545.2028742,0.010021249996498227,-5292.483178469908,2806.913354404411,-5292.483178469908,False,-5292.795323532109,2813.913351734123,-5292.795323532109,False,-1.011095693867753,-1.0111553272227607,-5.963335500758227e-05,-0.02576719591749903,-25.76719591749903,2810.485174172939,-0.9194688808699341
12,0.12473195797065273,1785872545.2129102,0.009999584057368338,-5291.126680319101,2806.913354404411,-5291.126680319101,False,-5293.876229483144,2813.913351734123,-5293.876229483144,False,-1.0108365434098734,-1.0113618275205818,-0.0005252841107084016,0.023107408335721245,23.107408335721246,2810.5340487771923,0.8245578195732673
13,0.13479729142272845,1785872545.223011,0.01006808306556195,-5292.728207048324,2806.913354404411,-5292.728207048324,False,-5297.195004126295,2813.913351734123,-5297.195004126295,False,-1.0111425050397789,-1.011995858586426,-0.0008533535466470621,0.05754150653652229,57.54150653652229,2810.568482875393,2.053293838728315
14,0.14481564541347325,1785872545.2329412,0.009892791043967009,-5290.7910000916945,2806.913354404411,-5290.7910000916945,False,-5291.470995201273,2813.913351734123,-5291.470995201273,False,-1.0107724138092677,-1.0109023226070781,-0.00012990879781038522,-0.018391100391706314,-18.391100391706313,2810.4925502684646,-0.6562625032724205
15,0.15483649942325428,1785872545.243059,0.010077583021484315,-5290.811623926399,2806.913354404411,-5290.811623926399,False,-5296.933257939298,2813.913351734123,-5296.933257939298,False,-1.0107763538634462,-1.011945853620206,-0.0011694997567597287,0.09072414549124055,90.72414549124055,2810.6016655143476,3.2373731619768966
16,0.16586706246016547,1785872545.2550132,0.011886875028721988,-5288.385224806675,2806.913354404411,-5288.385224806675,False,-5289.345101934774,2813.913351734123,-5289.345101934774,False,-1.0103128055405082,-1.0104961840413242,-0.0001833785008160671,-0.01277893173967265,-12.77893173967265,2810.4981624371167,-0.4559995625061608
17,0.17785356246167794,1785872545.267016,0.0118893749313429,-5287.4784500412625,2806.913354404411,-5287.4784500412625,False,-5290.485256900083,2813.913351734123,-5290.485256900083,False,-1.010139571912795,-1.0107140034914561,-0.0005744315786611054,0.028265916116130708,28.265916116130708,2810.5392072849727,1.0086324620372076
18,0.1904650409705937,1785872545.280201,0.013092000037431717,-5289.803586820308,2806.913354404411,-5289.803586820308,False,-5293.162932114803,2813.913351734123,-5293.162932114803,False,-1.0105837747011024,-1.011225556535251,-0.000641781834148647,0.03533498460363425,35.33498460363425,2810.54627635346,1.2608829790049332
19,0.20244822843233123,1785872545.291015,0.010749624925665557,-5292.714197511998,2806.913354404411,-5292.714197511998,False,-5283.52149341321,2813.913351734123,-5283.52149341321,False,-1.0111398286057922,-1.0093836201841773,0.0017562084216149465,-0.21635756247949697,-216.35756247949698,2810.294583806377,-7.720438284309769
20,0.21326593693811446,1785872545.301871,0.010760291945189238,-5293.983260995813,2806.913354404411,-5293.983260995813,False,-5294.714946358162,2813.913351734123,-5294.714946358162,False,-1.011382275219312,-1.0115220591154888,-0.00013978389617674836,-0.01735461216805632,-17.35461216805632,2810.4935867566883,-0.6192767687716357
21,0.2250770414248109,1785872545.3145752,0.01262066699564457,-5292.179614573463,2806.913354404411,-5292.179614573463,False,-5296.724015038054,2813.913351734123,-5296.724015038054,False,-1.011037699890605,-1.011905879077201,-0.0008681791865960964,0.059097602551483636,59.09760255148363,2810.570038971408,2.108821101608751
22,0.23693652043584734,1785872545.32562,0.01098845899105072,-5292.491794785585,2806.913354404411,-5292.491794785585,False,-5288.205437540118,2813.913351734123,-5288.205437540118,False,-1.0110973399607843,-1.0102784583116369,0.0008188816491474515,-0.11797594385343177,-117.97594385343177,2810.3929654250032,-4.209818150636304
23,0.2477518119267188,1785872545.336163,0.010450292029418051,-5292.720573402206,2806.913354404411,-5292.720573402206,False,-5298.877306904667,2813.913351734123,-5298.877306904667,False,-1.0111410466795994,-1.0123172519735442,-0.0011762052939447987,0.09142795724761214,91.42795724761214,2810.602369326104,3.262487769326725
