batch,sample,time_s,timestamp_epoch_s,acq_seconds,peak_01,peak_01_freq_mhz,peak_01_raw,peak_01_spike_sig,peak_01_ref,peak_01_ref_raw,peak_01_spike_ref,peak_02,peak_02_freq_mhz,peak_02_raw,peak_02_spike_sig,peak_02_ref,peak_02_ref_raw,peak_02_spike_ref,z_minus,z_plus,lockin_signal,delta_f_mhz,peak_shift_kHz,f_new_mhz,B_shift_uT
0,0,0.006467729457654059,1785874175.631535,0.010789124993607402,-5292.784645264859,2806.827483148631,-5292.784645264859,False,-5286.365470151803,-5286.365470151803,False,-5287.704886835854,2812.827480859813,-5287.704886835854,False,-5278.307231581507,-5278.307231581507,False,-1.0012142889380806,-1.0017804297556077,-0.0005661408175270388,0.030514863652887657,30.514863652887655,2809.975011824899,1.0888832305483749
1,0,0.0217275419854559,1785874175.651089,0.019388666027225554,-5288.0194846184195,2806.827483148631,-5288.0194846184195,False,-5281.37175062559,-5281.37175062559,False,-5292.365311345916,2812.827480859813,-5292.365311345916,False,-5280.874386537514,-5280.874386537514,False,-1.0012587135135946,-1.0021759511715893,-0.0009172376579946739,0.0698136630980852,69.8136630980852,2810.014310624344,2.491209787970497
2,0,0.03719956299755722,1785874175.662484,0.011255708057433367,-5285.678634694633,2806.827483148631,-5285.678634694633,False,-5281.37175062559,-5281.37175062559,False,-5292.365311345916,2812.827480859813,-5292.365311345916,False,-5280.874386537514,-5280.874386537514,False,-1.0008154858760951,-1.0021759511715893,-0.001360465295494162,0.11942480175561683,119.42480175561683,2810.0639217630014,4.261518760905539
3,0,0.05274037551134825,1785874175.6821918,0.019590666983276606,-5284.576040112107,2806.827483148631,-5284.576040112107,False,-5281.319711464988,-5281.319711464988,False,-5291.124909799585,2812.827480859813,-5291.124909799585,False,-5286.004875805825,-5286.004875805825,False,-1.0006165748004328,-1.0009686018295585,-0.00035202702912573436,0.006548784044689108,6.548784044689108,2809.9510457452907,0.23368484315904609
4,0,0.06797831295989454,1785874175.6929548,0.010638542007654905,-5283.286782831954,2806.827483148631,-5283.286782831954,False,-5281.319711464988,-5281.319711464988,False,-5291.124909799585,2812.827480859813,-5291.124909799585,False,-5286.004875805825,-5286.004875805825,False,-1.000372458301037,-1.0009686018295585,-0.0005961435285215533,0.03387311239307914,33.87311239307914,2809.978370073639,1.2087179700642001
5,0,0.08342770900344476,1785874175.713121,0.020022750017233193,-5290.362288718403,2806.827483148631,-5290.362288718403,False,-5287.940833179401,-5287.940833179401,False,-5279.035943287029,2812.827480859813,-5279.035943287029,False,-5288.977119992132,-5288.977119992132,False,-1.0004579203163182,-0.9981203971052311,0.0023375232110870447,-0.2944966350685262,-294.4966350685262,2809.6500003261776,-10.508729484317948
6,0,0.10030181251931936,1785874175.726621,0.013331125024706125,-5288.580137171075,2806.827483148631,-5288.580137171075,False,-5287.940833179401,-5287.940833179401,False,-5279.035943287029,2812.827480859813,-5279.035943287029,False,-5288.977119992132,-5288.977119992132,False,-1.0001208984767118,-0.9981203971052311,0.0020005013714806674,-0.2567732717203918,-256.77327172039185,2809.6877236895257,-9.162620315457888
7,0,0.1170912710367702,1785874175.746778,0.020017458009533584,-5293.587970487354,2806.827483148631,-5293.587970487354,False,-5289.429399820066,-5289.429399820066,False,-5288.8250975759165,2812.827480859813,-5288.8250975759165,False,-5278.691914587684,-5278.691914587684,False,-1.0007862040218232,-1.001919639022734,-0.0011334350009108984,0.09401295810892286,94.01295810892286,2810.038509919355,3.3547301637497453
8,0,0.13299608347006142,1785874175.758361,0.011350916931405663,-5291.922272824525,2806.827483148631,-5291.922272824525,False,-5289.429399820066,-5289.429399820066,False,-5288.8250975759165,2812.827480859813,-5288.8250975759165,False,-5278.691914587684,-5278.691914587684,False,-1.0004712933694784,-1.001919639022734,-0.0014483456532556893,0.1292613828830418,129.2613828830418,2810.073758344129,4.612524367793384
9,0,0.14843862544512376,1785874175.777608,0.019036583020351827,-5293.797703228343,2806.827483148631,-5293.797703228343,False,-5288.5051495632515,-5288.5051495632515,False,-5289.42222963464,2812.827480859813,-5289.42222963464,False,-5277.611830573389,-5277.611830573389,False,-1.0010007655311688,-1.0022378301853943,-0.0012370646542254615,0.10561238166613879,105.61238166613879,2810.050109342912,3.76864051049596
10,0,0.16374583350261673,1785874175.789119,0.011377167073078454,-5293.539123391509,2806.827483148631,-5293.539123391509,False,-5288.5051495632515,-5288.5051495632515,False,-5289.42222963464,2812.827480859813,-5289.42222963464,False,-5277.611830573389,-5277.611830573389,False,-1.0009518708379574,-1.0022378301853943,-0.0012859593474368047,0.11108523849927844,111.08523849927845,2810.055582199745,3.963932290154098
11,0,0.17946306249359623,1785874175.808963,0.019697625073604286,-5292.546656371969,2806.827483148631,-5292.546656371969,False,-5290.608251128586,-5290.608251128586,False,-5290.22462195561,2812.827480859813,-5290.22462195561,False,-5276.317250305984,-5276.317250305984,False,-1.000366386084808,-1.0026358103559485,-0.002269424271140519,0.22116595226059046,221.16595226059047,2810.1656629135064,7.892019421231461
12,0,0.19447885447880253,1785874175.8191848,0.010128708905540407,-5291.056914966424,2806.827483148631,-5291.056914966424,False,-5290.608251128586,-5290.608251128586,False,-5290.22462195561,2812.827480859813,-5290.22462195561,False,-5276.317250305984,-5276.317250305984,False,-1.0000848038290764,-1.0026358103559485,-0.002551006526872124,0.2526838792820464,252.68387928204638,2810.197180840528,9.016695663789836
13,0,0.2097226459882222,1785874175.839478,0.020200708066113293,-5288.116444582061,2806.827483148631,-5288.116444582061,False,-5282.32550621868,-5282.32550621868,False,-5294.473957828066,2812.827480859813,-5294.473957828066,False,-5282.689701272175,-5282.689701272175,False,-1.001096285784843,-1.0022307304086124,-0.0011344446237693262,0.09412596671981151,94.1259667198115,2810.0386229279657,3.358762729082626
14,0,0.22534568753326312,1785874175.850402,0.0108206250006333,-5287.568814112062,2806.827483148631,-5287.568814112062,False,-5282.32550621868,-5282.32550621868,False,-5294.473957828066,2812.827480859813,-5294.473957828066,False,-5282.689701272175,-5282.689701272175,False,-1.0009926135538616,-1.0022307304086124,-0.001238116854750837,0.10573015605957334,105.73015605957333,2810.0502271173054,3.7728431365819777
15,0,0.24066616699565202,1785874175.870137,0.019647334003821015,-5292.730232653945,2806.827483148631,-5292.730232653945,False,-5285.896907737103,-5285.896907737103,False,-5288.305949838602,2812.827480859813,-5288.305949838602,False,-5275.851331112266,-5275.851331112266,False,-1.0012927465359454,-1.0023606841710815,-0.0010679376351361292,0.08668173906877694,86.68173906877693,2810.0311787003147,3.0931251451890143
16,0,0.2560733749996871,1785874175.8812,0.010976250050589442,-5292.267288246636,2806.827483148631,-5292.267288246636,False,-5285.896907737103,-5285.896907737103,False,-5288.305949838602,2812.827480859813,-5288.305949838602,False,-5275.851331112266,-5275.851331112266,False,-1.0012051654848222,-1.0023606841710815,-0.0011555186862592937,0.09648481835227198,96.48481835227197,2810.040981779598,3.442935282339137
17,0,0.27148375049000606,1785874175.900973,0.019701416953466833,-5284.214112859821,2806.827483148631,-5284.214112859821,False,-5293.386397312394,-5293.386397312394,False,-5287.1787935005195,2812.827480859813,-5287.1787935005195,False,-5285.565968895309,-5285.565968895309,False,-0.9982672180407556,-1.0003051375415049,-0.0020379195007492745,0.19525327378107368,195.2532737810737,2810.139750235027,6.967359184308938
18,0,0.2866186669562012,1785874175.9114702,0.010430834023281932,-5282.8974878104855,2806.827483148631,-5282.8974878104855,False,-5293.386397312394,-5293.386397312394,False,-5287.1787935005195,2812.827480859813,-5287.1787935005195,False,-5285.565968895309,-5285.565968895309,False,-0.9980184878422564,-1.0003051375415049,-0.002286649699248411,0.22309402043593515,223.09402043593516,2810.1675909816818,7.960820026974563
19,0,0.30217833345523104,1785874175.93213,0.020558667019940913,-5292.864867486787,2806.827483148631,-5292.864867486787,False,-5287.523555098999,-5287.523555098999,False,-5287.23474965149,2812.827480859813,-5287.23474965149,False,-5278.338261188506,-5278.338261188506,False,-1.001010172783559,-1.0016854714538475,-0.0006752986702884822,0.042733066920757304,42.7330669207573,2809.987230028167,1.524873926661337
