file,f_lo,f_hi,amp_nt_rthz
twopoint_lockin_live_20260806_142358.csv,3,10,152.7415726965935
twopoint_lockin_live_20260806_142358.csv,10,20,172.94317560399864
twopoint_lockin_live_20260806_142358.csv,20,40,201.19979530418158
twopoint_lockin_live_20260806_142358.csv,40,55,166.47146920706697
twopoint_lockin_live_20260806_142358.csv,55,65,164.50188286611603
twopoint_lockin_live_20260806_142358.csv,65,100,175.88275872895227
twopoint_lockin_live_20260806_142358.csv,100,200,172.38586900676643
twopoint_lockin_live_20260806_142358.csv,200,400,178.0568877664371
twopoint_lockin_live_20260806_142358.csv,400,700,169.32473487379394
twopoint_lockin_live_20260806_142358.csv,700,1100,155.83039304793934
twopoint_lockin_live_20260806_142443.csv,3,10,169.18357117860106
twopoint_lockin_live_20260806_142443.csv,10,20,163.1775419942917
twopoint_lockin_live_20260806_142443.csv,20,40,196.71285889787342
twopoint_lockin_live_20260806_142443.csv,40,55,161.05816782733427
twopoint_lockin_live_20260806_142443.csv,55,65,154.4257888084726
twopoint_lockin_live_20260806_142443.csv,65,100,174.45308083154057
twopoint_lockin_live_20260806_142443.csv,100,200,172.5925543767167
twopoint_lockin_live_20260806_142443.csv,200,400,188.17789458044064
twopoint_lockin_live_20260806_142443.csv,400,700,174.1694277687482
twopoint_lockin_live_20260806_142443.csv,700,1100,154.42533654842646
twopoint_lockin_live_20260806_145051.csv,1,3,229.92527473020377
twopoint_lockin_live_20260806_145051.csv,3,10,173.22409717487344
twopoint_lockin_live_20260806_145051.csv,10,20,154.21412418619383
twopoint_lockin_live_20260806_145051.csv,20,40,160.97505087571818
twopoint_lockin_live_20260806_145051.csv,40,55,169.3148325246425
twopoint_lockin_live_20260806_145051.csv,55,65,172.7426186047896
twopoint_lockin_live_20260806_145051.csv,65,100,156.6600691785992
twopoint_lockin_live_20260806_145051.csv,100,200,157.29350942002287
twopoint_lockin_live_20260806_145051.csv,200,400,154.99863553711276
twopoint_lockin_live_20260806_145051.csv,400,700,159.65864148866154
twopoint_lockin_live_20260806_145051.csv,700,1100,151.82820297853118
twopoint_lockin_live_20260806_145144.csv,1,3,184.80149630785692
twopoint_lockin_live_20260806_145144.csv,3,10,167.56568553025883
twopoint_lockin_live_20260806_145144.csv,10,20,168.90690391217265
twopoint_lockin_live_20260806_145144.csv,20,40,162.77082885760342
twopoint_lockin_live_20260806_145144.csv,40,55,125.71006329124769
twopoint_lockin_live_20260806_145144.csv,55,65,102.98486391783035
twopoint_lockin_live_20260806_145144.csv,65,100,159.90805457049956
twopoint_lockin_live_20260806_145144.csv,100,200,145.87483099412145
twopoint_lockin_live_20260806_145144.csv,200,400,148.49507969512635
twopoint_lockin_live_20260806_145144.csv,400,700,143.5106558352383
twopoint_lockin_live_20260806_145144.csv,700,1100,138.57816541468264
