file	notebook	cell	output	bytes	title
Lockin_module_cell007_out01.png	nv_magnetometer_project/Modules/Lockin_module.ipynb	7	1	68398	qd.LockinODMR.plot_sequence(config_odmr)  # Plot ODMR spectrum with subplots for MW On, MW Off, and Contrast
Lockin_module_cell007_out02.png	nv_magnetometer_project/Modules/Lockin_module.ipynb	7	2	166098	qd.LockinODMR.plot_sequence(config_odmr)  # Plot ODMR spectrum with subplots for MW On, MW Off, and Contrast
Lockin_module_cell008_out01.png	nv_magnetometer_project/Modules/Lockin_module.ipynb	8	1	80262	# Detect and mark ODMR dips from frequency (column 1) vs MW-off PL (column 3) import pandas as pd from pathlib import Path
Lockin_module_cell011_out04.png	nv_magnetometer_project/Modules/Lockin_module.ipynb	11	4	76789	# Step 1 — Generate parked frequencies from the most recent ODMR sweep using the newer # candidate clustering + local fitting + spurious-pair rejection workflow. 
Lockin_module_cell013_out05.png	nv_magnetometer_project/Modules/Lockin_module.ipynb	13	5	66444	# Step 2 — Acquire all 16 parked frequencies in ONE FPGA program upload. # Avoids the ~5 s overhead of building 16 separate LockinODMR programs. #
Lockin_module_cell019_out02.png	nv_magnetometer_project/Modules/Lockin_module.ipynb	19	2	184880	# Step 4 — Live (continuous) two-point lock-in time series. # Reuses the program + calibrations built above. Fixes the per-batch peaking # transient by priming pre_init=True ONCE, then running with pre_init=False.
Lockin_module_cell019_out06.png	nv_magnetometer_project/Modules/Lockin_module.ipynb	19	6	184863	# Step 4 — Live (continuous) two-point lock-in time series. # Reuses the program + calibrations built above. Fixes the per-batch peaking # transient by priming pre_init=True ONCE, then running with pre_init=False.
Lockin_module_cell019_out07.png	nv_magnetometer_project/Modules/Lockin_module.ipynb	19	7	1121755	# Step 4 — Live (continuous) two-point lock-in time series. # Reuses the program + calibrations built above. Fixes the per-batch peaking # transient by priming pre_init=True ONCE, then running with pre_init=False.
Lockin_module_cell021_out03.png	nv_magnetometer_project/Modules/Lockin_module.ipynb	21	3	220798	# Post-processing — per-block Δf and new peak frequency over the live run. # Reads either LIVE_CSV (set by lockin_live) or LIVE_CSV_OVERRIDE if defined. from pathlib import Path
Lockin_module_cell021_out04.png	nv_magnetometer_project/Modules/Lockin_module.ipynb	21	4	354184	# Post-processing — per-block Δf and new peak frequency over the live run. # Reads either LIVE_CSV (set by lockin_live) or LIVE_CSV_OVERRIDE if defined. from pathlib import Path
