rep,trial,column,sigma
10,1,peak_01,1.5572899508967084
10,1,peak_02,1.5514788503660912
10,1,peak_03,1.5438718288535174
10,1,peak_04,1.5452350936186605
10,1,peak_05,1.5229577146058586
10,1,peak_06,1.5095354353717374
10,1,peak_07,1.4983231553968583
10,1,peak_08,1.497202554200602
10,1,peak_09,1.5018029468967717
10,1,peak_10,1.5031911381628702
10,1,peak_11,1.5251508207129252
10,1,peak_12,1.531164186386503
10,1,peak_13,1.5575908783362358
10,1,peak_14,1.5387548865593748
10,1,peak_15,1.5325882319796778
10,1,peak_16,1.528348394345804
10,1,delta_f_mhz_b01,0.05486363902209783
10,1,delta_f_mhz_b02,0.028449939996293225
10,1,delta_f_mhz_b03,0.09638306338457912
10,1,delta_f_mhz_b04,0.1034857495509572
10,1,delta_f_mhz_b05,0.08021812388480101
10,1,delta_f_mhz_b06,0.09783604643433144
10,1,delta_f_mhz_b07,0.02939670172396929
10,1,delta_f_mhz_b08,0.03972523564370217
10,1,delta_Bx_uT,0.8429524179177494
10,1,delta_By_uT,3.0135348933830204
10,1,delta_Bz_uT,1.1787544749194048
10,1,delta_B_mag_uT,2.2953499512418545
10,2,peak_01,0.6908451990075033
10,2,peak_02,0.697078555267333
10,2,peak_03,0.6943626175074814
10,2,peak_04,0.6898329944981025
10,2,peak_05,0.702068262688807
10,2,peak_06,0.704209695889651
10,2,peak_07,0.7115650402275661
10,2,peak_08,0.704321455367338
10,2,peak_09,0.7042522635725444
10,2,peak_10,0.7027433924636816
10,2,peak_11,0.6979545311535036
10,2,peak_12,0.6994800665762925
10,2,peak_13,0.6998134723071022
10,2,peak_14,0.6972439943367469
10,2,peak_15,0.6896337391478133
10,2,peak_16,0.6955499744931053
10,2,delta_f_mhz_b01,0.044625691679628966
10,2,delta_f_mhz_b02,0.026935810164371625
10,2,delta_f_mhz_b03,0.07828019678377192
10,2,delta_f_mhz_b04,0.09025597495150864
10,2,delta_f_mhz_b05,0.07420936854052068
10,2,delta_f_mhz_b06,0.09585134477950628
10,2,delta_f_mhz_b07,0.025340132742479253
10,2,delta_f_mhz_b08,0.03691960314698565
10,2,delta_Bx_uT,0.733018713050968
10,2,delta_By_uT,2.686894113376949
10,2,delta_Bz_uT,1.03922767436222
10,2,delta_B_mag_uT,2.2278432488864857
10,3,peak_01,0.5802239111415819
10,3,peak_02,0.5876003439177894
10,3,peak_03,0.5688848921476464
10,3,peak_04,0.5769831924205017
10,3,peak_05,0.5473402159656802
10,3,peak_06,0.5316253986944328
10,3,peak_07,0.5062035461114961
10,3,peak_08,0.49614108250531663
10,3,peak_09,0.5045064334817716
10,3,peak_10,0.502146291291596
10,3,peak_11,0.5175699377524806
10,3,peak_12,0.5290848096079045
10,3,peak_13,0.5863488521927591
10,3,peak_14,0.5784337114063463
10,3,peak_15,0.5611486959075459
10,3,peak_16,0.5627345147024605
10,3,delta_f_mhz_b01,0.037519492164432004
10,3,delta_f_mhz_b02,0.024699967983121084
10,3,delta_f_mhz_b03,0.08220351259326131
10,3,delta_f_mhz_b04,0.08118729521996086
10,3,delta_f_mhz_b05,0.07708502712951357
10,3,delta_f_mhz_b06,0.09370576926586122
10,3,delta_f_mhz_b07,0.02453193185906125
10,3,delta_f_mhz_b08,0.03656441652983044
10,3,delta_Bx_uT,0.6895792047310502
10,3,delta_By_uT,2.6175069318780517
10,3,delta_Bz_uT,0.901898054959894
10,3,delta_B_mag_uT,2.1630427149038
20,1,peak_01,0.49772811804081596
20,1,peak_02,0.521635315039848
20,1,peak_03,0.5292449100024201
20,1,peak_04,0.4897438658630706
20,1,peak_05,0.4825775120455948
20,1,peak_06,0.4854623201154028
20,1,peak_07,0.48473648074996073
20,1,peak_08,0.4956200779575081
20,1,peak_09,0.4729894098633455
20,1,peak_10,0.4837876454428431
20,1,peak_11,0.48750776642082966
20,1,peak_12,0.4975505317465427
20,1,peak_13,0.48946286116248866
20,1,peak_14,0.4814985798180562
20,1,peak_15,0.4914784526702867
