block_index,point_in_block,point_index,transition_index,transition_center_mhz,linewidth_mhz,frequency_mhz,slope_per_mhz
1,0,0,0,2739.60781027997,9.05523934473211,2735.99998626709,-0.16339232496642114
1,1,1,0,2739.60781027997,9.05523934473211,2742.9489658889534,0.1370380256016804
2,0,2,1,2803.2943197301506,7.1051162212564245,2799.999961853028,-0.6948191184261759
2,1,3,1,2803.2943197301506,7.1051162212564245,2806.4859518302424,0.52585496365973
3,0,4,2,2831.670193535252,7.9860371954622265,2828.0582251837063,-0.4263456210465623
3,1,5,2,2831.670193535252,7.9860371954622265,2834.9999485015874,0.3327412887464573
4,0,6,3,2868.4583613527943,7.853953467433733,2864.9999370574956,-0.48566045591538803
4,1,7,3,2868.4583613527943,7.853953467433733,2871.8116125173897,0.38802291775802766
5,0,8,4,2892.0294236433606,8.685277160384851,2888.999927902222,-0.40984835811983816
5,1,9,4,2892.0294236433606,8.685277160384851,2894.537434490983,0.35657573976194246
6,0,10,5,2926.7638460211465,8.57360353672841,2923.3323210956282,-0.43434738525859456
6,1,11,5,2926.7638460211465,8.57360353672841,2929.9999122619633,0.32092942148811354
7,0,12,6,2951.979794543871,7.894128041835738,2948.656698842187,-0.5926061697139645
7,1,13,6,2951.979794543871,7.894128041835738,2954.99990272522,0.5769928461681515
8,0,14,7,3004.16699891195,9.247646398605156,3000.9998851776127,-0.15141767644789372
8,1,15,7,3004.16699891195,9.247646398605156,3007.0096426112327,0.14534510112330282
